Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
ATOMED,90.06,235.27,1.55,10.17,9.54,46.9,31.8,18.6,679.36,-4.3219,-1.3545,2.08,1.8,1.85,-0.0019,-0.0941,0.0067,0.1157,2.5716,3.0136,1.9247,2.0941,29.0005,7.3296,8.5674,8.3666,0.8899,0.3855,0.605,3.0213,3.8292,1.4387,1.116,6.3074,12.5058,4.2296,4.1328,4.1434,10.1881,2.079,2.0756,2.0837,1.892,2.0578,1.4074,0.0674,0.0149,0.0038,0.022,0.0076,1.4268,1.577,0.0879,0.0157,0.0267,0.0111,0.0243,10.8
ATRYMA,76.06,196.76,2.61,8.98,7.55,41.3,31.8,17.7,623.15,-4.1131,-0.2986,2.44,1.95,1.91,-0.1434,-0.1289,0.0923,0.079,1.8921,3.0033,2.0349,3.0349,29.209,7.3459,8.4335,7.3308,0.889,0.106,0.6812,3.0269,3.8667,1.3243,1.2175,6.478,12.4083,4.1104,4.1345,4.1634,10.2568,2.0346,2.0158,2.0558,2.0735,2.0771,1.5761,0.0693,0.0128,0.0213,0.0111,0.0128,1.2133,1.2251,0.2232,0.0344,0.049,0.0512,0.0313,28.6
ATUWAN,83.23,183.52,2.14,4.68,8.53,28.3,17.1,10.8,494.84,-4.6229,-3.0119,1.98,1.98,1.79,-0.0178,-0.0583,0.1612,0.1602,2.1408,3.2395,2.1633,2.1595,28.9536,7.247,8.3614,8.3586,1.0175,0.4477,0.4237,3.0157,3.7838,1.3172,1.1731,6.3763,12.4892,4.1534,4.1843,4.1515,10.1519,2.0257,2.0362,2.0466,2.0116,2.0317,1.5195,0.0765,0.0102,0.0193,0.017,0.0129,1.4197,1.409,0.0772,0.0233,0.0114,0.0116,0.0167,15
ATZTHD10,70.6,158.91,2.22,4.81,7.93,24.8,16.9,10.7,473.13,-4.328,-1.1354,3.02,1.84,1.84,-0.0447,-0.1312,0.0931,-0.0287,1.7905,3.0241,3.0257,3.316,29.2057,7.292,7.1742,7.2736,0.914,0,0.7503,3.02,3.8726,1.2921,1.2094,6.5285,12.4164,4.1588,4.1166,4.1409,10.0995,2.0169,1.9949,2.0092,2.0513,2.0271,1.0919,0.2743,0.0231,0.0942,0.0749,0.0392,1.2858,1.2854,0.166,0.0334,0.0357,0.0187,0.0447,35.4
AVAJAK,94.41,222.93,2.74,7.55,13.72,37.5,27.7,18.7,728.53,-3.7874,-1.0473,1.93,2.03,1.91,-0.1855,-0.1219,0.1825,0.0196,2.0876,2.9939,3.336,1.9593,29.1466,7.3688,7.1883,8.5479,0.8717,0.5884,0.3945,3.0256,3.8595,1.2999,1.234,6.3942,12.5099,4.1277,4.1971,4.1852,10.2811,2.0006,2.0763,2.0863,2.0433,2.0746,1.3192,0.2468,0.0362,0.0467,0.0722,0.0364,1.4554,1.5093,0.0711,0.0179,0.0158,0.0095,0.0173,21.3
AVAJIR,86.9,217.31,2.9,7.06,8.43,44.7,34.5,22.2,669.62,-4.0574,-1.3601,1.98,2.05,1.92,-0.1922,-0.117,0.1426,0.1434,1.9939,2.971,2.0485,3.0751,29.1039,7.3861,8.4321,7.1781,0.8654,0.3394,0.4596,3.0285,3.8546,1.2649,1.1411,6.3809,12.4682,4.143,4.1943,4.1309,10.3429,2.061,2.0568,2.0771,2.0774,2.0705,1.5116,0.0782,0.0172,0.0227,0.0031,0.032,1.1819,1.2298,0.2296,0.0539,0.053,0.0307,0.0665,24.1
AVERUF,87.33,192.04,1.55,8.33,7.66,33.9,26.7,19.2,691.72,-3.9794,-2.6049,1.91,1.95,1.84,-0.0336,-0.0784,0.0486,0.0837,2.1575,3.1024,1.9721,1.9151,28.973,7.261,8.5391,8.5527,0.9086,0.5734,0.3806,3.0211,3.8114,1.3552,1.2771,6.3932,12.4698,4.0911,4.21,4.1687,10.1702,2.0379,1.9843,2.0298,2.032,2.0862,1.5207,0.0744,0.0211,0.015,0.01,0.0179,1.4424,1.4218,0.0796,0.0221,0.0142,0.0079,0.0231,18.2
AVIYAG,74.91,163.23,3.34,6.16,12.96,30.3,24.3,18.3,749.25,-4.0695,-0.3168,2.73,1.87,1.87,-0.1243,-0.1426,0.1426,-0.0734,1.7338,2.9999,2.1271,1.8719,29.2045,7.3152,8.3315,8.6275,0.8957,0,0.7696,3.0266,3.877,1.2847,1.3947,6.5411,12.3806,4.0914,4.1845,4.1046,10.2024,1.9937,2.0512,2.0529,2.0542,2.0503,1.4504,0.0686,0.0213,0.0074,0.016,0.0084,1.4543,1.6232,0.0702,0.014,0.0194,0.0092,0.0176,28.8
AWAZUV,99.81,256.04,2.25,7.17,7.83,45.6,35,21.6,599.8,-4.7195,-0.885,1.89,2,1.98,-0.1293,0.0657,0.0595,0.1039,1.9129,3.2311,1.9503,3.1805,29.0245,7.144,8.5986,7.0346,0.5914,0.5884,0.5252,2.9534,3.7201,1.1623,1.1937,6.3459,12.4873,4.1776,4.193,4.1166,10.2958,2.0774,2.0394,2.0467,2.074,2.0584,1.5675,0.0803,0.0236,0.0178,0.0075,0.0236,1.2335,1.2207,0.3136,0.0778,0.0611,0.0485,0.0673,37.5
AWULAG,80.6,231.39,1.69,8.29,8.74,37.3,27,17.5,671.11,-4.141,-2.8938,2.07,2.01,1.87,-0.12,-0.1061,0.1381,0.1553,2.0221,3.048,3.1593,2.0988,29.1007,7.3439,7.024,8.4228,0.9238,0.4926,0.3788,3.0154,3.8491,1.3171,1.1922,6.3975,12.4639,4.1307,4.1972,4.136,10.2583,2.0204,2.0729,2.0522,2.0365,2.0762,1.3526,0.2987,0.0448,0.0693,0.0575,0.0502,1.4329,1.4623,0.0786,0.0244,0.0119,0.0128,0.0142,16.4
AWULEK,81.79,232.54,1.95,8.28,10.81,37.6,26.9,16.9,698.75,-4.1671,-2.0032,2.02,2.02,1.86,-0.1318,-0.1092,0.1259,0.1284,2.1297,3.0581,2.0751,3.1884,29.1277,7.3417,8.4475,7.0119,0.9421,0.3973,0.5362,3.019,3.8495,1.3129,1.1567,6.3939,12.4838,4.1469,4.1977,4.1391,10.2537,2.0146,2.0843,2.061,2.0483,2.0455,1.469,0.0764,0.0239,0.0125,0.0113,0.0154,1.0986,1.3722,0.3024,0.049,0.067,0.0557,0.0596,15.6
AXIHOG,83.94,202.6,1.58,9.67,7.4,35,27.7,20,657.03,-3.8419,-1.1745,1.92,2.02,1.87,-0.1096,-0.1226,0.1324,0.0363,1.9854,2.9944,2.0477,1.9709,29.0148,7.3725,8.4278,8.5067,0.8977,0.4589,0.3875,3.0236,3.8595,1.315,1.382,6.4047,12.436,4.0716,4.1869,4.1776,10.2685,2.0375,2.0381,2.0711,2.0165,2.1053,1.3981,0.0815,0.0211,0.0181,0.0059,0.0288,1.4535,1.5802,0.0714,0.0196,0.0165,0.0073,0.0184,17.4
AXOYER,89.37,198.21,4.87,7.93,8.07,38.3,33.8,26.1,787.04,-3.7972,-2.802,1.86,1.87,1.8,0.0501,-0.0224,-0.0353,-0.0539,2.7297,3.2421,1.8673,1.8677,28.9974,7.139,8.6009,8.5821,0.9879,0.6821,0.5972,3.0248,3.7403,1.262,1.3123,6.3689,12.5386,4.1074,4.2221,4.2092,10.0418,2.0569,2.001,2.0393,2.0594,1.8852,1.4038,0.073,0.0114,0.0058,0.0187,0.0094,1.6363,1.4455,0.0745,0.011,0.0129,0.0199,0.01,11.8
AYANEV,94.82,191.02,1.55,7.09,10.59,30.3,19.6,13,637.95,-4.1505,-2.6699,1.92,2.19,1.84,-0.0493,-0.1139,0.1449,0.1113,1.8484,3.0576,2.1467,2.0594,28.9868,7.3292,8.4263,8.4129,0.9486,0.5252,0.2036,3.0186,3.8515,1.3427,1.1407,6.4101,12.4193,4.1824,4.1605,4.0765,10.2195,2.0301,2.0754,2.0555,2.0637,1.9948,1.5667,0.0792,0.0129,0.0197,0.0166,0.014,1.399,1.5173,0.0712,0.0172,0.0131,0.0175,0.0112,15.4
AYUMUC,83.99,184.74,3.37,6.1,8.11,29.5,22.5,17.2,600.14,-4.2512,-2.7366,1.98,1.97,1.79,-0.104,-0.0919,0.0982,0.1105,2.0152,3.1277,1.9607,2.0851,29.0181,7.2882,8.5321,8.4434,0.9677,0.423,0.4417,3.0115,3.8222,1.311,1.1426,6.3954,12.5116,4.183,4.1827,4.1458,10.1966,2.0089,2.0563,2.0461,2.0221,2.0632,1.5408,0.0756,0.0136,0.0206,0.013,0.0143,1.4396,1.4354,0.0768,0.0219,0.0122,0.0138,0.0144,17
AYUZID,84.36,215.78,1.73,6.67,8.52,35.7,24.4,14.4,528.87,-4.513,-2.5477,2.17,1.9,1.81,-0.0609,-0.0908,0.1375,0.247,2.2143,3.1368,2.1171,3.4806,29.1529,7.2231,8.3915,7.0666,0.981,0.2535,0.7504,3.0126,3.8272,1.3097,1.1423,6.4046,12.506,4.1792,4.1982,4.1286,10.15,1.9919,2.0449,2.0453,2.0058,2.062,1.4274,0.0712,0.0232,0.0091,0.0116,0.0121,1.1666,1.22,0.2612,0.0271,0.0634,0.0661,0.0368,19.8
AZALIX,76.32,170.18,1.72,7.27,9.16,28,17.5,10,519.59,-4.1992,-1.4483,1.93,2.33,1.84,-0.1023,-0.1223,0.1358,-0.0594,1.7348,3.0377,2.1254,2.9667,29.0369,7.3207,8.4367,7.4484,0.9539,0.4809,0.1967,3.0146,3.8637,1.2355,1.4408,6.4488,12.4428,4.1166,4.1786,4.1476,10.2104,2.002,2.0427,2.0276,2.0459,2.0921,1.5764,0.0803,0.0176,0.0206,0.0103,0.0219,1.3727,1.032,0.1885,0.0599,0.0182,0.05,0.0183,18.4
AZHPXB,69.47,174.47,1.7,5.5,12.1,29.6,21.8,11.2,577.59,-4.6194,-2.0395,1.82,3.23,1.8,0.0585,-0.1223,0.1256,0.0765,1.9662,3.1023,3.4006,2.1461,29.2084,7.2366,6.9482,8.3793,1.0045,0.8008,0,3.014,3.8639,1.3297,1.1438,6.4859,12.4152,4.1967,4.1768,4.0417,10.0399,1.9712,2.0196,2.0196,2.0178,2.0116,1.1637,0.311,0.0429,0.075,0.0778,0.0481,1.4387,1.4178,0.0663,0.0226,0.0087,0.0112,0.0124,29.3
AZIWUD,65.41,232.32,2.95,7.74,5.83,42.2,35,22.8,643.93,-3.8196,-2.415,2.11,1.94,1.83,-0.1169,-0.0942,0.1287,0.1233,2.1121,3.0849,2.7918,3.0496,29.2402,7.2658,7.3741,7.1694,0.8989,0.2882,0.6429,3.013,3.8318,1.3955,1.2153,6.4267,12.4676,4.1041,4.1966,4.1669,10.2222,2.0229,1.9994,2.0267,2.0616,2.1117,1.2229,0.213,0.0224,0.0522,0.0529,0.0287,1.2752,1.208,0.2299,0.0343,0.0385,0.0626,0.0295,35.1
AZOLOR,80.72,179.78,1.7,6.17,6.11,29.7,19,9.8,452.8,-4.5173,-2.3597,1.9,2.17,1.81,-0.058,-0.0986,0.112,0.1477,2.1239,3.1219,3.2215,2.1241,29.1015,7.2844,6.9365,8.3557,0.9934,0.6797,0.2447,3.0149,3.8352,1.3395,1.1409,6.4149,12.5075,4.1886,4.1897,4.1291,10.1353,1.9963,2.0333,2.0228,2.0215,2.0614,1.1886,0.3231,0.0364,0.0804,0.0907,0.0476,1.4066,1.415,0.0706,0.0233,0.0109,0.0097,0.0146,24.5
BABFUI,84.42,181.65,2.21,5.21,11.65,30.9,20.5,11.8,605.09,-4.5028,-2.6916,2.17,1.95,1.81,-0.0691,-0.0892,0.1448,-0.0347,2.0818,3.1333,2.1357,3.2949,29.0579,7.276,8.3827,7.1725,0.9891,0.2615,0.6373,3.0127,3.8256,1.3036,1.1498,6.4062,12.5003,4.1819,4.1898,4.1286,10.1623,2.001,2.0552,2.0385,2.013,2.0547,1.4189,0.0706,0.0235,0.01,0.0105,0.0134,1.27,1.2472,0.2471,0.0263,0.0602,0.0712,0.0388,22.5
BACJEX,100.8,203.15,2.77,10.85,8.59,31.6,22.6,17.9,796.53,-3.7813,-2.874,1.94,1.97,1.85,-0.0673,-0.0658,0.0657,0.1289,2.0994,3.1062,2.0286,2.0623,28.9777,7.2685,8.5247,8.4531,0.906,0.53,0.3959,3.0155,3.8033,1.3441,1.2251,6.3667,12.4908,4.1527,4.1779,4.1602,10.2094,2.052,2.0259,2.0676,2.0583,2.0057,1.5128,0.0756,0.0189,0.0126,0.0156,0.012,1.3974,1.5346,0.0779,0.0163,0.0157,0.0193,0.0112,13.8
BACJOG,79.1,180.6,1.7,5.13,6.63,30.7,20.5,10.5,463.8,-4.1357,-0.9489,2,2.05,1.87,-0.1776,-0.1155,0.1325,-0.0178,2.0501,3.0278,3.1022,3.1124,29.1627,7.3336,7.0926,7.4814,0.9105,0.5138,0.4487,3.0172,3.8553,1.352,1.1446,6.4138,12.5544,4.192,4.1617,4.2007,10.209,2.0096,2.0449,2.0286,2.0605,2.0654,1.2633,0.2967,0.0325,0.085,0.0717,0.0405,1.2808,1.2298,0.1448,0.0301,0.029,0.029,0.0377,25.8
BACTEF,81.75,177.44,1.94,6.23,7.64,29.3,19.8,13.2,511.16,-4.4747,-2.1646,1.87,2.37,1.82,-0.0359,-0.1099,0.1073,0.1237,2.007,3.0969,3.264,2.115,29.1164,7.2803,6.9818,8.3851,0.9947,0.7011,0.1585,3.0149,3.8497,1.243,1.3735,6.4408,12.47,4.1261,4.213,4.1309,10.1247,1.996,2.0492,2.0162,2.0439,2.0194,1.0203,0.3211,0.0737,0.0359,0.0718,0.062,1.4606,1.4995,0.0675,0.0175,0.0054,0.0161,0.0095,25.1
BACTIJ,81.43,177.12,1.83,6.24,9.56,30.1,22.7,16.1,591.69,-4.4445,-2.0219,2.4,1.86,1.81,-0.0409,-0.109,0.1189,0.1026,2.0292,3.1038,2.1106,3.2616,29.1491,7.2542,8.3903,6.9776,1.0139,0.1508,0.7109,3.0133,3.8501,1.2838,1.1991,6.4477,12.472,4.1828,4.1855,4.1037,10.1209,1.981,2.0417,2.0282,2.0305,2.0394,1.4528,0.0675,0.023,0.0087,0.0112,0.0115,1.2775,1.0879,0.3239,0.0484,0.0631,0.0875,0.0508,27.7
BADQEF,91.7,236.09,2.28,5.69,7.75,45.4,32.5,16.5,528.94,-3.6909,-1.1199,2.33,1.97,1.9,-0.4018,-0.1111,0.2701,0.1796,2.1571,2.9529,2.0345,3.1509,29.1439,7.3485,16.5564,7.1688,0.8014,0.6087,0.5415,3.0176,3.8554,1.3773,1.1705,6.4319,12.5771,4.1316,4.2642,4.1814,10.3926,2.0386,2.0076,2.1061,2.0678,2.1725,3.477,0.1959,0.0495,0.0384,0.0262,0.0584,1.2698,1.1131,0.2248,0.0515,0.0341,0.0515,0.0463,25.3
BALJEE,44.84,128.42,2.32,4.82,8.77,19,13.4,10,508.71,-4.3933,0.5272,1.86,3.14,1.82,-0.0136,-0.1392,0.0705,0.0171,1.6395,3.0081,2.1099,1.9842,29.0951,7.3356,8.4254,8.4627,0.9088,0.6386,0,3.0159,3.8787,1.2403,1.4503,6.5421,12.3684,4.0994,4.1378,4.1311,10.1028,1.9721,2.0112,2.0152,2.0549,2.0494,1.5987,0.0781,0.0212,0.0176,0.0048,0.0298,1.5651,1.5116,0.0656,0.0228,0.0061,0.01,0.013,28.3
BALPUC,100.59,201.53,2.89,6.47,12.53,39.3,29.1,17.3,707.21,-3.9544,-1.1527,1.97,1.97,1.91,-0.2047,-0.1205,0.0274,0.1409,1.8588,2.9559,1.9428,2.072,29.0044,7.3928,8.5584,8.4489,0.8124,0.4683,0.3484,3.0242,3.8581,1.2459,1.282,6.3785,12.5062,4.2311,4.167,4.1081,10.3197,2.074,2.0844,2.055,2.0596,2.0468,1.4892,0.073,0.0166,0.0191,0.0085,0.0201,1.4051,1.6102,0.0796,0.0049,0.0205,0.0194,0.0114,20.4
BALSOW,93.11,237.87,1.55,5.78,7.26,47.2,32.8,16.6,509.38,-3.9484,-1.986,2.16,1.96,1.88,-0.1422,-0.1122,0.1668,0.1625,2.0187,2.9789,2.0853,2.0839,28.925,7.3759,8.3838,8.394,0.8778,0.2118,0.392,3.0245,3.8509,1.3699,1.2962,6.3398,12.4523,4.139,4.1422,4.1711,10.3498,2.0678,2.0662,2.0906,2.07,2.0552,1.4704,0.0729,0.0186,0.01,0.0186,0.0093,1.4587,1.4931,0.0785,0.0123,0.0118,0.0252,0.0098,7.3
BANFIG,77.82,171.06,2.11,6.14,10.34,28.3,17,9.6,525.36,-4.0078,-2.9715,2.03,2.21,1.87,-0.1058,-0.1146,0.1498,-0.0344,1.7183,3.0279,2.0984,3.0611,29.0379,7.3342,8.4377,7.4019,0.959,0.3533,0.316,3.0126,3.8615,1.3392,1.2733,6.4337,12.4247,4.1312,4.1595,4.134,10.2471,2.0092,2.0601,2.0323,2.0424,2.1031,1.4582,0.0776,0.0244,0.0129,0.012,0.0143,1.2454,1.4501,0.1917,0.0338,0.0576,0.0239,0.0317,19.2
BAPHUV,88.15,188.62,1.55,7.42,11.36,30.3,19.8,10.9,579.73,-3.7524,-1.6242,2,1.96,1.89,-0.1371,-0.1253,0.1227,0.0344,1.8504,2.9744,2.0546,1.9917,29.0315,7.3677,8.4022,8.5189,0.8741,0.2813,0.5328,3.0292,3.8608,1.1941,1.409,6.4232,12.442,4.1816,4.1378,4.1226,10.2716,2.0115,2.1085,2.0559,2.0616,2.0341,1.501,0.0777,0.0126,0.0142,0.0225,0.0103,1.4678,1.5343,0.0726,0.0137,0.0136,0.0183,0.0102,18.8
BAPREQ,81.63,196.89,2.03,7.03,7.02,34.8,25.8,14.4,513.28,-4.2224,-1.8637,2.07,1.94,1.84,-0.1462,-0.1011,0.0673,-0.0468,2.2497,3.0816,2.9377,3.2626,29.1493,7.2953,7.1331,7.1416,0.9573,0.4493,0.5663,3.016,3.839,1.3236,1.1791,6.3974,12.5553,4.191,4.2141,4.1502,10.1932,2.028,2.037,2.0371,2.0271,2.064,1.0474,0.2695,0.0615,0.0192,0.0786,0.0347,1.1624,1.3058,0.2561,0.0561,0.0325,0.0649,0.0469,20.3
BAVHUE,85.86,188.85,1.55,8.81,7.42,32.1,25.6,20.7,686.49,-3.7472,-1.8159,1.94,1.99,1.85,-0.1057,-0.1148,0.1199,0.0395,1.9829,3.0249,2.0596,1.962,29.0193,7.3419,8.4371,8.5053,0.9166,0.4692,0.3788,3.0204,3.8524,1.3094,1.4025,6.4086,12.4482,4.0677,4.1984,4.1821,10.2486,2.0265,2.025,2.0631,2.0193,2.1147,1.4856,0.0784,0.0213,0.016,0.0078,0.0239,1.452,1.5898,0.0727,0.0199,0.0169,0.0068,0.0202,16.7
BAZZUZ,82,202.69,2.45,6.78,7.54,40.3,29.2,17.8,588.06,-3.8277,-1.3865,2.03,2,1.9,-0.1336,-0.1246,0.1447,0.1343,2.0099,2.9942,2.0604,2.9681,29.1463,7.3364,8.3762,7.1957,0.8728,0.2658,0.5739,3.0296,3.8621,1.2701,1.2081,6.4146,12.4349,4.209,4.163,4.0629,10.2838,2.0164,2.0771,2.0435,2.1046,2.0422,1.5686,0.0754,0.0091,0.0163,0.0229,0.0118,1.2608,1.2882,0.2214,0.0194,0.0502,0.0635,0.0269,21.3
BECWAJ,79.71,214.58,1.77,5.61,8.57,34.4,24.8,13.6,535.15,-4.1097,-1.9721,1.97,2.09,1.85,-0.1282,-0.1118,0.1414,0.1427,2.0208,3.0658,2.1084,3.1525,29.1129,7.3193,8.4326,7.0781,0.9644,0.4139,0.4474,3.0151,3.8526,1.3437,1.2015,6.4062,12.477,4.1441,4.1812,4.1517,10.2447,2.0081,2.0476,2.0456,2.0505,2.0929,1.4672,0.0792,0.0238,0.0152,0.0101,0.019,1.1435,1.3291,0.3027,0.042,0.0764,0.0637,0.0437,13.6
BEGRUA,69.11,154.85,1.7,6.42,12.08,25.3,17.6,10.1,645.69,-4.5589,-2.0464,3.29,1.82,1.8,0.0483,-0.1275,0.0734,0.0709,1.9143,3.0693,2.1423,3.4896,29.1822,7.2633,8.3849,6.8669,0.976,0,0.7737,3.0142,3.8704,1.2313,1.3019,6.503,12.4079,4.1501,4.1539,4.1039,10.0403,1.9787,2.0205,2.0037,2.0201,2.0173,1.4786,0.0666,0.02,0.0024,0.0148,0.0089,1.2219,1.1726,0.3362,0.0758,0.0396,0.0809,0.0584,30.9
BEGSEL,68.74,154.28,3.51,9.15,14.8,25.2,17.6,9.8,801.35,-4.5561,-1.9877,1.82,3.31,1.8,0.0501,-0.127,0.0727,0.0781,1.9178,3.071,3.488,2.1572,29.1864,7.2603,6.8653,8.3735,0.9771,0.7743,0,3.014,3.87,1.3083,1.1655,6.5029,12.4077,4.1935,4.1588,4.0554,10.0388,1.9777,2.0117,2.0081,2.0232,2.0182,1.171,0.3351,0.0463,0.0707,0.0864,0.0521,1.4293,1.431,0.0669,0.0235,0.0074,0.0113,0.0119,32.5
BEHZOD,90.25,190.45,1.9,7.16,9.01,31.4,21.3,14.5,574.37,-4.3436,-1.9629,1.96,2,1.82,-0.1034,-0.1053,0.2124,0.1963,1.9759,3.0988,2.1932,2.1637,28.9819,7.318,8.3389,8.3469,0.9996,0.3936,0.3647,3.0122,3.8441,1.1873,1.3315,6.3794,12.4986,4.1408,4.1799,4.1779,10.225,2.0443,2.0294,2.013,2.0518,2.0865,1.5654,0.0826,0.0234,0.0156,0.009,0.0255,1.3796,1.4095,0.0802,0.0232,0.0172,0.0126,0.0152,-14
BEJLUX,85.7,181.68,3.4,7.11,13.18,28.4,19.7,15.5,705.71,-4.2917,-2.7453,2.06,2.03,1.8,-0.091,-0.1057,0.1579,0.1586,1.8547,3.0943,2.1453,2.1451,29.0219,7.3163,8.4077,8.4098,0.9786,0.3551,0.3821,3.0092,3.8424,1.2355,1.2117,6.3944,12.4639,4.1587,4.1614,4.1438,10.2324,2.0186,2.0383,2.0392,2.0511,2.0852,1.5353,0.0735,0.0096,0.0219,0.0132,0.0121,1.4133,1.4394,0.0745,0.0212,0.0075,0.0146,0.0114,16.3
BEKKOU,84.74,187.09,2.51,5.75,8.88,32.7,25.2,17.5,589.67,-4.3491,-2.1993,1.87,2.09,1.81,-0.0935,-0.0953,0.1171,0.0776,2.253,3.1175,3.2706,2.0369,29.0913,7.2724,7.0139,8.4468,1.0035,0.6782,0.3409,3.0125,3.8318,1.2694,1.2513,6.3975,12.5437,4.1803,4.2036,4.1599,10.1518,1.9853,2.0603,2.0363,2.038,2.0318,1.1212,0.3265,0.047,0.0539,0.0975,0.0621,1.4418,1.4659,0.0688,0.0227,0.0093,0.0109,0.0114,27.2
BEKLIP,86.79,185.69,1.55,7.38,7.14,30.5,22.2,14.7,548.28,-4.2039,-2.7849,1.97,2.03,1.83,-0.0289,-0.0945,0.1456,0.1584,1.9316,3.0968,2.0914,2.0855,28.951,7.3069,8.4348,8.3961,0.9518,0.4414,0.2946,3.0195,3.8298,1.2916,1.2613,6.3946,12.4214,4.175,4.1388,4.1076,10.2125,2.0167,2.0817,2.0546,2.0585,2.001,1.5269,0.0776,0.0129,0.013,0.0231,0.0105,1.3725,1.5071,0.0777,0.0131,0.0141,0.0238,0.0103,14.2
BENBUU,96.21,216.66,1.91,9.19,8.04,39.5,28.6,18.5,682.47,-3.9696,-0.7161,1.91,2,1.92,-0.2049,-0.1167,0.1268,0.0518,2.1266,2.9616,3.261,2.0192,29.1632,7.3712,7.0653,8.5078,0.8141,0.6334,0.4347,3.0243,3.856,1.2811,1.2345,6.3919,12.5449,4.1559,4.1836,4.2054,10.2679,2.0358,1.9984,2.0892,2.0659,2.0786,1.1355,0.2524,0.0498,0.0346,0.0718,0.0365,1.4495,1.5043,0.0735,0.0163,0.0136,0.0164,0.0115,27.2
BENRAQ,102.54,234.3,2.28,7.2,12.2,45.6,34.7,21.3,686.62,-4.2151,-1.5306,1.95,1.95,1.98,-0.1408,-0.0917,0.0228,0.1854,1.9092,2.892,1.9702,2.0638,29.0331,7.3953,8.5687,8.3921,0.7267,0.5661,0.3779,3.0458,3.8177,1.3578,1.3094,6.391,12.4448,4.0966,4.1717,4.1765,10.3047,2.0602,2.0267,2.0842,2.058,2.0756,1.5319,0.0718,0.0177,0.0151,0.0131,0.014,1.5002,1.3778,0.0848,0.019,0.0186,0.0083,0.0265,15.6
BERMYA,83.49,235.39,1.87,6.07,9.83,38.9,25.9,15.3,576.2,-4.1457,-2.6844,2.02,1.96,1.85,-0.065,-0.0631,0.0658,0.2549,2.3736,3.1637,2.0303,3.3689,29.0869,7.2392,8.483,7.0758,0.9459,0.3963,0.6452,3.0255,3.7926,1.3254,1.143,6.3721,12.4963,4.1693,4.1784,4.1485,10.1962,1.9922,2.0675,2.0638,2.0593,2.0135,1.4996,0.0736,0.0218,0.0145,0.0085,0.0182,1.1671,1.2363,0.2551,0.034,0.0591,0.0612,0.0387,29.6
BETFAH,45.93,132.34,1.82,7.41,12.57,20.8,15.4,10.5,632.72,-4.169,-2.489,1.84,3.11,1.83,-0.0583,-0.1336,-0.0958,-0.0106,1.7853,3.004,3.1945,2.0021,29.2259,7.2948,7.3934,8.4795,0.8875,0.7597,0,3.0167,3.8759,1.3164,1.1417,6.5586,12.4194,4.1822,4.1842,4.053,10.0799,1.965,2.0117,2.0209,2.0711,2.0112,1.3321,0.1601,0.0279,0.0247,0.032,0.0252,1.5167,1.5547,0.0678,0.0032,0.0178,0.0173,0.008,37.3
BETJIV,79.85,228.18,1.94,6.31,8.29,38.8,29,16,539.27,-4.1743,-1.9883,2.05,1.98,1.84,-0.116,-0.0961,0.2136,0.1704,2.2996,3.1158,3.2365,3.1739,29.2061,7.2576,7.1386,7.0799,0.9888,0.466,0.5593,3.0137,3.8361,1.1966,1.4113,6.3901,12.5267,4.1666,4.1914,4.1687,10.1989,2.0045,2.0449,2.0417,2.0358,2.072,1.1309,0.2453,0.0568,0.0279,0.0649,0.0304,1.1689,1.2655,0.2878,0.0444,0.0661,0.0544,0.0506,17.8
BEWLIY10,76.87,216.42,2.03,6.91,10.62,35.2,27,16.3,629.65,-4.4699,-2.2145,2.47,1.86,1.81,-0.0382,-0.1096,0.126,0.1545,2.0837,3.1115,2.0977,3.344,29.2234,7.2307,8.4085,6.9954,1.0002,0.1165,0.7406,3.0122,3.8517,1.3177,1.1517,6.4549,12.4565,4.1778,4.2002,4.0785,10.1263,1.9781,2.0365,2.0373,2.027,2.0473,1.4298,0.0699,0.0247,0.007,0.0102,0.0131,1.2139,1.2846,0.2998,0.0359,0.0765,0.0701,0.0433,25.1
