Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
HOXJUC,0,-20.9,-4.7,14.3,-61.4,16.2,35.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOXKOX,0,-15.8,12.4,29.8,-61.4,28.2,45.6,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HOXMAJ,0,-21,-12.5,14.8,-61.4,8.4,35.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOXMEN,0,-20.7,-12.4,15.7,-61.4,8.3,36.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOXMIR,0,-20.9,-12.1,17,-61.4,8.8,37.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HOXMOZ,0,-14,-14.6,17,-61.4,-0.6,31,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOYFIN,0,-16.4,15.9,6.7,-61.4,32.3,23.1,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
HOYSEV,0,-12.2,-2.3,15.4,-61.4,10,27.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOYXUR,0,-22.7,-0.7,18.6,-61.4,22,41.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOYYAV,0,-15.3,7.3,27.2,-61.4,22.6,42.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HOYYAX,0,-17,9.2,8.4,-61.4,26.2,25.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HOYYUQ,0,-24.9,-10.7,12.6,-61.4,14.2,37.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOZBED,0,-28.5,-3.5,16.5,-61.4,24.9,44.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOZBEE,0,-20.7,3.6,16.4,-61.4,24.3,37.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOZBII,0,-20.8,3.6,14.4,-61.4,24.4,35.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOZPOD,0,-21.3,-3.2,19.1,-61.4,18.1,40.4,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HOZSUL,0,-18.9,5.5,22.7,-61.4,24.4,41.6,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HOZYEC,0,-21,0,13.2,-61.4,21,34.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HOZYED,0,-19.4,2.3,18.7,-61.4,21.7,38.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HOZZEB01,0,-17.9,0.1,23.5,-61.4,18.1,41.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HPBTAZ01,0,-18.7,4.6,24.3,-61.4,23.3,43.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HPCPRA,0,-19.4,6.9,19,-61.4,26.3,38.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HPENDO10,0,-21.7,-1.9,19.8,-61.4,19.8,41.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HPHAUR10,0,-21.9,2.2,17,-61.4,24.1,38.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HPHMTH10,0,-20.1,-1.2,17.7,-61.4,19,37.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HPICRB,0,-19,-7,19,-61.4,12,38,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HPMSAH,0,-21.5,-9.4,23.2,-61.4,12.1,44.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HPRTDO,0,-19.4,-1.4,20,-61.4,18,39.4,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HPSANA,0,-19.9,-3.9,18.1,-61.4,16,38,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HPTIMZ10,0,-17.9,-1.5,17.4,-61.4,16.4,35.3,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HPTMHT10,0,-19.3,-0.5,17.9,-61.4,18.8,37.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HQOXAL01,0,-26.8,-3.8,16.4,-61.4,23,43.1,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HQOXDO04,0,-20.7,-2.2,15.5,-61.4,18.6,36.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HRFPZO10,0,-229.3,-207,-183.8,-61.4,22.3,45.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HTCDOD,0,-18.6,1.2,19.7,-61.4,19.8,38.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HTENTX10,0,-21,1.5,20,-61.4,22.5,41,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HTRPTB10,0,-19,4.3,20,-61.4,23.3,39,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HTZPYO,0,-19.4,-0.2,19,-61.4,19.2,38.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUBCUF,0,-17.8,19.4,25.3,-61.4,37.2,43.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUBKIB,0,-21.1,8.4,28.1,-61.4,29.5,49.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUBSEC,0,-31.8,-28.3,-13.2,-61.4,3.6,18.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUBSIG,0,-19.5,-4.9,16.1,-61.4,14.6,35.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUBTON,0,-22.9,-9.6,13.9,-61.4,13.3,36.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUBZAH,0,-18.3,5,20.2,-61.4,23.3,38.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUBZEK,0,-20.8,-6,18,-61.4,14.8,38.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUBZEL,0,-17.7,10.3,20.9,-61.4,28,38.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUBZIO,0,-107.4,-89.1,-66.9,-61.4,18.3,40.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUBZIP,0,-17.6,4.6,20.4,-61.4,22.1,38,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUBZOU,0,-18.4,8.8,20.6,-61.4,27.3,39,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUBZOV,0,-16.4,5.4,21,-61.4,21.7,37.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUBZUA,0,-18.1,5.2,17.3,-61.4,23.3,35.4,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HUBZUB,0,-17.7,5.1,20.6,-61.4,22.9,38.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUCGEU,0,-19.9,-4.2,18.6,-61.4,15.7,38.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUCLEW03,0,-13.9,9.9,115.2,-61.4,23.8,129.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HUCRON,0,-29,4.1,19,-61.4,33.2,48,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUCVEH,0,-29.5,4.7,19.3,-61.4,34.3,48.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUCWIM,0,-18.1,2.9,21.3,-61.4,21.1,39.5,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
HUCWOS,0,-19.1,6.5,15.4,-61.4,25.6,34.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUDDEQ,0,-20.6,-5.4,22.8,-61.4,15.2,43.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUDFIW,0,-19.8,0.3,10.8,-61.4,20.1,30.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUDHUK01,0,-17.4,8,16.9,-61.4,25.4,34.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUDJAS,0,-18.1,10.5,20.6,-61.4,28.5,38.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUDTIK,0,-17.7,-1.6,2.3,-61.4,16.1,20,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
HUDVEJ,0,-23.2,9.1,21.2,-61.4,32.3,44.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUDWIO,0,-14.5,3.9,16.5,-61.4,18.4,31,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUDYEL,0,-17.6,-9.7,15.6,-61.4,7.8,33.2,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HUFBOA,0,-20.1,-5.3,18.6,-61.4,14.8,38.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HUFDOC,0,-18.6,-13.8,16,-61.4,4.9,34.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUFDUI,0,-21.2,-0.4,14,-61.4,20.7,35.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUFHOG,0,-21.4,0.6,12.3,-61.4,21.9,33.6,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HUFJAU,0,-20.8,5.5,17.3,-61.4,26.4,38.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUFKAV,0,-17.6,0.4,21.4,-61.4,18.1,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUFLIE,0,-18.5,-2.5,18.4,-61.4,16,36.9,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HUFLOK,0,-20.7,-5.1,15,-61.4,15.5,35.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUFLUQ,0,-11.1,0.5,12.8,-61.4,11.6,23.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUFLUS,0,-20.2,-2.4,18.1,-61.4,17.8,38.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUFNUS,0,-25.5,7.2,15.3,-61.4,32.7,40.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUFSOS,0,-20.5,-2.3,19,-61.4,18.2,39.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUFYAI,0,-17.6,-1.9,22.5,-61.4,15.7,40.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUFYIT,0,-11.7,11.8,15,-61.4,23.5,26.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUFZUD,0,-18.2,1.8,19.5,-61.4,20,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUGBIX,0,-22.2,-5.5,16.8,-61.4,16.6,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUGFUL,0,-10.8,12.7,27.4,-61.4,23.5,38.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HUGHAV,0,-20.8,6.3,15.7,-61.4,27.1,36.5,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HUGMUS,0,-19.4,-0.3,20.1,-61.4,19,39.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUGWEO,0,-17.4,8,7.4,-61.4,25.5,24.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HUGXUE,0,-27.8,3.3,14.7,-61.4,31.1,42.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUHKEC,0,-13.7,9.8,17.3,-61.4,23.5,31,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HUHKIG,0,-255.5,-235.9,-135.2,-61.4,19.5,120.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail,,,,,,,,,
HUHNUT,0,-20.1,-4,15,-61.4,16.1,35.1,Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
HUHTOT,0,-18,7.4,24.1,-61.4,25.4,42.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUJBIY,0,-14.6,18.5,5.5,-61.4,33,20.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HUJBOE,0,-19.8,-1.9,20.5,-61.4,17.9,40.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUJFAV,0,-19.4,1.8,18.3,-61.4,21.2,37.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUJHOL,0,-13.9,5.4,16.2,-61.4,19.3,30.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HUJHUR,0,-13.7,6.3,22.1,-61.4,20,35.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HUJJIH,0,-13.9,9.9,25.1,-61.4,23.8,39,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HUKDEZ,0,-23.3,3.9,16.8,-61.4,27.2,40.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUKGOJ,0,-18.1,9.1,20.4,-61.4,27.2,38.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUKGUP,0,-17.9,2.7,19.9,-61.4,20.5,37.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUKHED,0,-11.2,3.9,13,-61.4,15,24.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUKHUQ,0,-18.2,3.7,19,-61.4,21.9,37.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUKJEC,0,-14.2,22.5,20.2,-61.4,36.8,34.5,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HUKJOM,0,-17.8,15.4,19.6,-61.4,33.2,37.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUKJUS,0,-16.2,11.5,20.1,-61.4,27.7,36.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUKKED,0,-19.1,-1.8,16.1,-61.4,17.3,35.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUKKEF,0,-4.6,-3.5,24.3,-61.4,1.2,28.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUKLOR,0,-18,1.3,19.9,-61.4,19.3,37.9,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HUKMEI,0,-11,-6,12.4,-61.4,4.9,23.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUKNAD,0,-20.9,-1.2,14,-61.4,19.7,35,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUKNIL01,0,-28.9,-11.3,22,-61.4,17.5,50.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUKPOT,0,-14.9,7,23.9,-61.4,21.9,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUKPUY,0,-20,-3.7,15.7,-61.4,16.3,35.7,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HUKROU,0,-12.7,8.3,18.1,-61.4,21,30.8,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUKTEP,0,-20.2,-4.6,18.2,-61.4,15.6,38.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUKTOY,0,-20,4.7,18.6,-61.4,24.7,38.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HULGIE01,0,-18.9,9.2,16.4,-61.4,28.1,35.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HULGOK,0,-7.4,4.2,15.1,-61.4,11.6,22.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HULXIX,0,-60.9,-37.8,-34.7,-61.4,23.1,26.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HUMCAW,0,-20.1,-4.6,17.5,-61.4,15.5,37.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUMGOL,0,-21.5,-1,20.1,-61.4,20.5,41.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUMGUR,0,-19.8,-4.4,18.3,-61.4,15.5,38.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUMJII,0,-18.2,-1.8,4.1,-61.4,16.5,22.3,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
HUMMEH,0,-5.5,-1.2,16,-61.4,4.3,21.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUMQAK,0,-17.5,2.7,18,-61.4,20.2,35.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUMSIR,0,-21.4,5.7,23.9,-61.4,27.1,45.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUMTEO,0,-20,-5.4,18.3,-61.4,14.6,38.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUNCEB,0,-10.7,-24.5,15.5,-61.4,-13.8,26.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUNGEC,0,-21.6,1.9,12.5,-61.4,23.5,34.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUNJIM,0,-13.9,7.4,12.5,-61.4,21.2,26.4,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HUNNEL,0,-19.8,2.9,15.5,-61.4,22.8,35.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUNNOU01,0,-22.5,1.6,21.5,-61.4,24.1,44,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUPDAY,0,-19,2.1,19.8,-61.4,21.1,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUPNUE,0,-21.4,7.7,15.8,-61.4,29.1,37.2,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUPPAM,0,-12.5,79.5,16.3,-61.4,92,28.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUQDAZ,0,-18.6,9.8,18,-61.4,28.4,36.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUQJEK,0,-21.7,2.1,26.4,-61.4,23.8,48.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUQJOU,0,-19.7,8.5,19.4,-61.4,28.1,39.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUQRAN01,0,-20.8,-1,20.3,-61.4,19.8,41,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUQRIV,0,-20.3,-4.6,17.6,-61.4,15.7,37.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUQXEW,0,-21.5,-2.4,19.1,-61.4,19.1,40.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HURLOW,0,-25,1,18.2,-61.4,26,43.2,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HURMEN,0,-20.6,2.4,18.3,-61.4,23,38.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HURNEO,0,-20.8,-4.7,16.4,-61.4,16.2,37.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HURNIS,0,-20.6,-4.4,16.2,-61.4,16.1,36.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HURWAU,0,-19.3,3.5,25.1,-61.4,22.8,44.5,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HURXUN,0,-45.5,-18.7,5.9,-61.4,26.8,51.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HURYUP,0,-27.2,-5.5,17.2,-61.4,21.6,44.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HURZOK,0,-22.3,-3,20.4,-61.4,19.3,42.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUSBEC,0,-25.1,2.7,16.6,-61.4,27.7,41.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUSDEG,0,-13.5,5.9,19.5,-61.4,19.5,33,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HUSHOU,0,-17.3,-1.6,25.3,-61.4,15.7,42.6,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HUSNEP,0,-22.1,6.3,18.2,-61.4,28.4,40.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUTDUX,0,-19.5,7.7,16.6,-61.4,27.3,36.1,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HUTJIR,0,-19.8,4.7,20.4,-61.4,24.6,40.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUTKEN,0,-22.2,4.8,24.3,-61.4,27,46.6,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HUTMAM,0,-147.1,-128.4,-106.2,-61.4,18.7,40.9,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
HUTNOA,0,-20.2,-4.8,18.6,-61.4,15.4,38.7,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
HUTQAP02,0,-23.1,5.9,22.4,-61.4,29,45.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUVGIP,0,No Value,No Value,No Value,-61.4,No Value,No Value,Minimum,Not Minimum,Calc Fail,Calc Fail,,,,,,,,,
HUVHAH,0,-28.4,-10,16.7,-61.4,18.4,45.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUVHAI,0,-22.9,2,21.6,-61.4,24.9,44.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUVWOL,0,-12.8,-6.4,13.7,-61.4,6.4,26.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUVXEC,0,-14.8,10.8,20.3,-61.4,25.6,35.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUVXIF,0,-28.6,-3.2,16.1,-61.4,25.4,44.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUVXUR,0,-116.4,-90.6,-77.7,-61.4,25.8,38.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HUVZEE,0,-24.4,-1.4,19,-61.4,22.9,43.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUVZII,0,-25.1,-0.3,18.1,-61.4,24.7,43.2,Not Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HUVZIJ,0,-0.5,33.7,52.5,-61.4,34.2,53,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUWRAU,0,-16.4,6.6,23.6,-61.4,23,40,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUWYEF,0,-15.5,7.8,28.5,-61.4,23.2,44,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HUXGAJ,0,-138,-106.5,-109.7,-61.4,31.4,28.3,Not Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
HUXKER,0,-19.3,-3.3,22.9,-61.4,16,42.2,Not Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HUXMAR,0,-26.7,6.9,20.1,-61.4,33.6,46.8,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
HUXWII,0,-496.8,-466.9,-450.6,-61.4,29.9,46.2,Not Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
HUXWOO,0,-76.6,-40.3,-54,-61.4,36.3,22.6,Not Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
HUYBIN,0,-18.5,6,19.7,-61.4,24.5,38.2,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HUYCEK,0,-28.4,-1.3,15.8,-61.4,27.1,44.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUYSOL,0,-16.3,4.9,23.1,-61.4,21.2,39.4,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HUYTAX,0,-24.5,-13.1,15.5,-61.4,11.4,40,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUYVED,0,-22.1,20.1,18.7,-61.4,42.2,40.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
HUYYAB01,0,-20.8,13.6,20,-61.4,34.4,40.8,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
HUZDEL,0,-22.5,10.3,29.9,-61.4,32.8,52.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUZDOV,0,-17.7,3.9,25.8,-61.4,21.6,43.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HUZJOB,0,-22.6,-5.5,11.9,-61.4,17.1,34.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUZKIW,0,-12.7,-5.4,11.6,-61.4,7.3,24.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HUZLIX,0,-17,2.6,19.4,-61.4,19.6,36.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HXANTH10,0,-23.2,5,16.5,-61.4,28.2,39.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HXCHOC,0,-20.1,-4.4,19.3,-61.4,15.7,39.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HXESTR,0,-23.8,-3.5,19.5,-61.4,20.4,43.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HXFAVC,0,-19.2,-2.7,17.9,-61.4,16.5,37.1,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HXIBAC,0,-21.9,0.9,23.4,-61.4,22.9,45.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
HXMXCT10,0,-44.9,-43,-34.8,-61.4,1.8,10,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
HXOXAM10,0,-23,0.3,17,-61.4,23.3,40,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HXPHOL11,0,-20.7,-2.2,19.8,-61.4,18.5,40.4,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
HXPRED,0,-20.8,-2.5,19.9,-61.4,18.3,40.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
