Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
AFAPUT,0,-57.7,-37.1,-15.3,-61.4,20.6,42.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFAXOV,0,-16.5,7.8,19.1,-61.4,24.4,35.7,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
AFAXUC,0,-11.9,-3.9,18.4,-61.4,8,30.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFEBOC,0,-15.4,-5.8,17.5,-61.4,9.7,32.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFEMIJ,0,-21.7,1.4,16.9,-61.4,23.1,38.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AFENOP,0,-17.1,8.2,25.5,-61.4,25.3,42.6,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AFEQEJ,0,-20.4,7.5,18.4,-61.4,27.8,38.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AFEQIN,0,-21.2,-6.7,16.9,-61.4,14.5,38.1,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFEQOS,0,-19.3,14,19.1,-61.4,33.2,38.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AFEQOT,0,-20.7,0.9,17.5,-61.4,21.7,38.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFEQUZ,0,-20.6,-5.2,17.3,-61.4,15.3,37.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFEREJ,0,-25.7,3.5,16.3,-61.4,29.2,42,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AFERUY,0,-12.3,1.6,13.2,-61.4,13.9,25.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFESUZ,0,-20.5,9.8,23.3,-61.4,30.2,43.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AFEVIR,0,-17.5,2.6,6.7,-61.4,20.1,24.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
AFEWIS,0,-20.9,5,15,-61.4,25.9,35.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFEZER,0,-22,6.5,25.1,-61.4,28.5,47.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AFEZES,0,-19.6,264.3,23.8,-61.4,283.9,43.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AFICUP,0,-35.1,-16.6,-16.3,-61.4,18.4,18.7,Not Minimum,Not Minimum,Correct TS,Incorrect TS,,,,,,,,,
AFIDOK,0,-16.5,16.6,7.4,-61.4,33.1,23.9,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
AFIGOO,0,-19.3,-2.8,17.5,-61.4,16.6,36.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFIHAZ,0,-19.1,-0.6,19.9,-61.4,18.5,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFILIM,0,-21.3,-2,19.2,-61.4,19.3,40.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFILIN,0,-20.9,-0.9,-51.4,-61.4,20,-30.5,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
AFIMAD,0,-18.2,-11.5,13,-61.4,6.7,31.1,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFIMAE,0,-174.5,-153.8,-135.7,-61.4,20.7,38.8,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
AFINEJ01,0,-20.3,-4.4,18.7,-61.4,15.9,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFIQEN,0,-17.7,2,19.3,-61.4,19.7,37,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
