Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
HIDWAT,Not Minimum,Minimum,Correct TS,Correct TS
HIDWUN,Minimum,Minimum,Correct TS,Correct TS
HIFBII,Minimum,Minimum,Correct TS,Correct TS
HIFCEG,Minimum,Minimum,Incorrect TS,Correct TS
HIFDOR,Minimum,Minimum,Correct TS,Correct TS
HIFFAD,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIFPOB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HIFQET,Minimum,Minimum,Correct TS,Correct TS
HIFSUK,Minimum,Minimum,Correct TS,Correct TS
HIFTEV,Minimum,Minimum,Correct TS,Correct TS
HIFVUQ,Minimum,Not Minimum,Correct TS,Correct TS
HIFWAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIFWOI,Minimum,Minimum,Correct TS,Correct TS
HIFZUR,Minimum,Minimum,Correct TS,Correct TS
HIFZUU,Minimum,Minimum,Correct TS,Correct TS
HIGCIK,Minimum,Minimum,Correct TS,Correct TS
HIGCUW,Minimum,Minimum,Correct TS,Correct TS
HIGFIO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
HIGFUZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIGGEJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIGHEK,Minimum,Minimum,Incorrect TS,Incorrect TS
HIGPAR,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HIGPET,Minimum,Minimum,Correct TS,Correct TS
HIGWUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIGXAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHCEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHCEJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHHEL,Minimum,Minimum,Correct TS,Correct TS
HIHHIP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HIHHIS,Minimum,Not Minimum,Correct TS,Correct TS
HIHKUE,Minimum,Minimum,Correct TS,Correct TS
HIHLAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHMUG03,Minimum,Minimum,Correct TS,Correct TS
HIHNAN,Minimum,Minimum,Correct TS,Correct TS
HIHNIV01,Minimum,Minimum,Correct TS,Correct TS
HIHPOD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHREW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHRUL,Minimum,Minimum,Correct TS,Correct TS
HIHVEZ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HIHZUT,Minimum,Minimum,Correct TS,Correct TS
HIJBAD,Minimum,Minimum,Correct TS,Correct TS
HIJBIO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIJCUY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIJFIP01,Minimum,Minimum,Correct TS,Correct TS
HIJVOO,Minimum,Minimum,Correct TS,Correct TS
HIJVUU,Minimum,Minimum,Correct TS,Correct TS
HIJYAB,Not Minimum,Minimum,Incorrect TS,Correct TS
HIJZAC,Minimum,Minimum,Correct TS,Correct TS
HIKCAH,Not Minimum,Minimum,Correct TS,Incorrect TS
HIKWEG,Minimum,Minimum,Correct TS,Correct TS
HIKXII,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HILBAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HILBUZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HILLOE,Minimum,Minimum,Correct TS,Correct TS
HILMEV,Minimum,Minimum,Correct TS,Correct TS
HILSEB,Minimum,Minimum,Correct TS,Correct TS
HILSEC,Minimum,Minimum,Correct TS,Correct TS
HILVAA,Minimum,Minimum,Correct TS,Correct TS
HILWAB,Not Minimum,Minimum,Incorrect TS,Correct TS
HILZAF,Minimum,Minimum,Correct TS,Correct TS
HIMBIQ,Minimum,Minimum,Correct TS,Correct TS
HIMMAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIMMOG,Minimum,Minimum,Correct TS,Correct TS
HIMMUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIMPID,Minimum,Minimum,Correct TS,Correct TS
HIMZEK,Minimum,Minimum,Correct TS,Correct TS
HINBAJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HINJOG,Not Minimum,Minimum,Correct TS,Correct TS
HINPIG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HINQOK,Minimum,Not Minimum,Correct TS,Correct TS
HINQUQ,Minimum,Minimum,Correct TS,Correct TS
HINSOM,Not Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HINWAE,Minimum,Minimum,Correct TS,Correct TS
HIPADS,Minimum,Minimum,Correct TS,Correct TS
HIPFUH01,Minimum,Not Minimum,Correct TS,Correct TS
HIPGAO,Minimum,Minimum,Correct TS,Correct TS
HIPGES,Minimum,Minimum,Correct TS,Correct TS
HIPPUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIPXAF,Minimum,Minimum,Correct TS,Correct TS
HIQJAS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIQJEW,Minimum,Minimum,Correct TS,Correct TS
HIQJIA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIQKAT,Minimum,Minimum,Correct TS,Correct TS
HIQKEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIQMAV,Minimum,Minimum,Correct TS,Correct TS
HIQMEZ,Minimum,Minimum,Correct TS,Correct TS
HIQNAW,Minimum,Minimum,Correct TS,Correct TS
HIQNIE,Minimum,Minimum,Correct TS,Correct TS
HIQPEF,Minimum,Minimum,Correct TS,Correct TS
HIQTEG,Minimum,Minimum,Correct TS,Correct TS
HIRBAM,Minimum,Minimum,Correct TS,Correct TS
HIRDES,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HIRGUL,Minimum,Minimum,Correct TS,Correct TS
HIRHIB,Minimum,Minimum,Correct TS,Correct TS
HIRKEZ,Minimum,Minimum,Correct TS,Correct TS
HIRPOO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIRPUT,Minimum,Minimum,Correct TS,Correct TS
HIRRIK,Minimum,Minimum,Correct TS,Correct TS
HIRROQ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HIRTEI,Minimum,Minimum,Correct TS,Correct TS
HIRXIS,Minimum,Minimum,Correct TS,Correct TS
HIRZUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HISCIW,Minimum,Minimum,Incorrect TS,Correct TS
HISGEY,Minimum,Minimum,Correct TS,Correct TS
HISGIA,Minimum,Minimum,Correct TS,Correct TS
HISGOG,Minimum,Minimum,Incorrect TS,Correct TS
HISMAA,Minimum,Minimum,Correct TS,Correct TS
HISMUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HISNOP,Minimum,Not Minimum,Incorrect TS,Correct TS
HISRAE,Minimum,Minimum,Correct TS,Correct TS
HISRIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HISSEK,Minimum,Minimum,Correct TS,Correct TS
HISWOY,Minimum,Minimum,Correct TS,Correct TS
HISXOZ,Minimum,Minimum,Correct TS,Correct TS
HITKON,Minimum,Minimum,Correct TS,Correct TS
HITLII,Minimum,Minimum,Correct TS,Correct TS
HITNON,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HITPEI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HITSOV,Minimum,Minimum,Correct TS,Correct TS
HITSUB,Minimum,Minimum,Correct TS,Correct TS
HITTAI,Minimum,Minimum,Correct TS,Correct TS
HITYUF,Minimum,Minimum,Correct TS,Correct TS
HITZEQ,Minimum,Minimum,Correct TS,Correct TS
HIVBET,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIVGAW01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIVLAA01,Minimum,Minimum,Correct TS,Correct TS
HIVPOR,Minimum,Not Minimum,Correct TS,Correct TS
HIVSIR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIVSUB,Minimum,Minimum,Correct TS,Correct TS
HIVTEM,Minimum,Minimum,Correct TS,Correct TS
HIVVEO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIVYAN,Minimum,Minimum,Correct TS,Correct TS
HIVYUJ,Minimum,Minimum,Incorrect TS,Correct TS
HIVZUI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIWBAR,Minimum,Minimum,Correct TS,Correct TS
HIWMUW,Minimum,Minimum,Correct TS,Correct TS
HIWNAD,Minimum,Minimum,Correct TS,Correct TS
HIWNEH,Minimum,Minimum,Correct TS,Correct TS
HIWPOV,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HIWQOV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIWREM,Minimum,Minimum,Correct TS,Correct TS
HIWSAH,Minimum,Minimum,Correct TS,Correct TS
HIXCID,Minimum,Minimum,Incorrect TS,Incorrect TS
HIXPAH,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIXSAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIXVIV,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HIXWUJ,Minimum,Minimum,Correct TS,Correct TS
HIXZIA,Minimum,Not Minimum,Correct TS,Correct TS
HIYFIE,Minimum,Minimum,Correct TS,Correct TS
HIYHII,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIYHUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIYYOG,Minimum,Minimum,Correct TS,Correct TS
HIYZEX,Minimum,Minimum,Correct TS,Correct TS
HIZCAX,Not Minimum,Not Minimum,Correct TS,Correct TS
HIZCIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIZCUQ,Minimum,Minimum,Correct TS,Correct TS
HIZHII,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
HIZKUZ,Minimum,Minimum,Correct TS,Correct TS
HIZMAH,Minimum,Minimum,Correct TS,Correct TS
HIZROA,Minimum,Minimum,Correct TS,Correct TS
HIZSIV,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HMALAC01,Minimum,Minimum,Correct TS,Correct TS
HMAUNA20,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HMCFUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HMEASP,Minimum,Minimum,Correct TS,Correct TS
HMGLUT,Minimum,Minimum,Correct TS,Correct TS
HMHPCX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HMITZC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HOBBAE,Minimum,Minimum,Correct TS,Correct TS
HOBHEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOBLAN,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOBLOB,Not Minimum,Minimum,Correct TS,Correct TS
HOBYUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOBZED,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOCFEN,Minimum,Minimum,Correct TS,Correct TS
HOCKAN,Minimum,Minimum,Correct TS,Correct TS
HOCLAO,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HOCMIW,Minimum,Minimum,Correct TS,Correct TS
HOCVEA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HODHOY,Minimum,Minimum,Correct TS,Correct TS
HODHUE,Minimum,Minimum,Correct TS,Correct TS
HODJEQ,Minimum,Minimum,Correct TS,Correct TS
HODMAP,Minimum,Minimum,Correct TS,Correct TS
HODNEU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HODQUP,Minimum,Minimum,Correct TS,Correct TS
HODSEZ,Not Minimum,Minimum,Correct TS,Correct TS
HODTEA,Minimum,Minimum,Correct TS,Correct TS
HODTUQ,Minimum,Minimum,Correct TS,Correct TS
HODXAA,Minimum,Minimum,Correct TS,Correct TS
HOFDUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOFJUH,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOFLAP,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOFLAQ,Minimum,Not Minimum,Correct TS,Correct TS
HOFLUK01,Minimum,Minimum,Correct TS,Correct TS
HOFNAR01,Minimum,Minimum,Correct TS,Correct TS
HOFNEW01,Minimum,Minimum,Correct TS,Correct TS
HOFRIE,Minimum,Not Minimum,Correct TS,Correct TS
HOFWEF,Minimum,Minimum,Correct TS,Correct TS
HOFZOR,Minimum,Not Minimum,Incorrect TS,Correct TS
HOGFIU01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOGJEV,Minimum,Not Minimum,Correct TS,Correct TS
HOGKAS,Minimum,Minimum,Correct TS,Correct TS
HOGKEV,Not Minimum,Not Minimum,Incorrect TS,Correct TS
HOGPAX,Not Minimum,Minimum,Correct TS,Correct TS
HOGPEB,Minimum,Minimum,Correct TS,Correct TS
HOGPOL,Not Minimum,Not Minimum,Correct TS,Correct TS
HOGVIK,Minimum,Not Minimum,Correct TS,Correct TS
HOGXUX,Minimum,Minimum,Correct TS,Correct TS
HOGYEH,Not Minimum,Not Minimum,Correct TS,Correct TS
HOGZIN,Minimum,Minimum,Correct TS,Correct TS
HOHFAM,Minimum,Minimum,Correct TS,Correct TS
HOHHOC,Minimum,Minimum,Correct TS,Correct TS
HOHHUI,Minimum,Minimum,Correct TS,Correct TS
HOHJAQ,Minimum,Not Minimum,Correct TS,Correct TS
HOHKOH,Minimum,Minimum,Correct TS,Correct TS
HOHXUZ,Minimum,Minimum,Correct TS,Correct TS
HOHYEK,Minimum,Minimum,Correct TS,Correct TS
HOJCUG,Minimum,Minimum,Correct TS,Correct TS
HOJSAB,Minimum,Minimum,Correct TS,Correct TS
HOJTUW,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HOJYIR,Minimum,Minimum,Correct TS,Correct TS
HOJZEN,Not Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
HOJZUB,Minimum,Minimum,Correct TS,Correct TS
HOKNON,Minimum,Not Minimum,Correct TS,Correct TS
HOKNUT,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOKPAA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOKPIJ,Minimum,Minimum,Correct TS,Correct TS
HOKQUV,Minimum,Minimum,Correct TS,Correct TS
HOKSEG,Minimum,Minimum,Correct TS,Correct TS
HOKSEH,Minimum,Minimum,Correct TS,Correct TS
HOKTIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOKVIO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HOKVOU,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOKWEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOKZUC,Minimum,Minimum,Correct TS,Correct TS
HOLBEQ01,Minimum,Minimum,Correct TS,Correct TS
HOLNUS,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HOLQII,Minimum,Minimum,Correct TS,Correct TS
HOLQIJ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HOLXIS,Minimum,Minimum,Correct TS,Correct TS
HOLZAL,Minimum,Minimum,Correct TS,Correct TS
HOMDUI,Minimum,Not Minimum,Correct TS,Correct TS
HOMHAS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOMROQ,Minimum,Minimum,Correct TS,Correct TS
HOMSOT,Minimum,Minimum,Correct TS,Correct TS
HOMTEK,Not Minimum,Not Minimum,Correct TS,Correct TS
HOMYEP,Minimum,Minimum,Correct TS,Correct TS
HONBAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HONBAP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HONBIX,Not Minimum,Minimum,Correct TS,Correct TS
HONCET,Minimum,Minimum,Correct TS,Correct TS
HONDAS,Minimum,Minimum,Correct TS,Correct TS
HONJAX,Minimum,Minimum,Correct TS,Correct TS
HONLON,Not Minimum,Minimum,Correct TS,Correct TS
HONLUT,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HONNUT,Minimum,Not Minimum,Correct TS,Correct TS
HONWIR,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HONXOA,Minimum,Not Minimum,Correct TS,Correct TS
HONXOX,Minimum,Minimum,Correct TS,Correct TS
HONYAM,Minimum,Minimum,Correct TS,Correct TS
HOPJUR,Minimum,Minimum,Correct TS,Correct TS
HOPKOM,Not Minimum,Minimum,Incorrect TS,Correct TS
HOQGEB,Minimum,Minimum,Correct TS,Correct TS
HOQNAD,Minimum,Minimum,Correct TS,Correct TS
HORBIC,Minimum,Minimum,Correct TS,Correct TS
HORDEX,Minimum,Minimum,Correct TS,Correct TS
HORDUN01,Minimum,Minimum,Correct TS,Correct TS
HORFEC,Not Minimum,Minimum,Correct TS,Incorrect TS
HORFID,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HORJUW,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HORXAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HORXES,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HORYOF,Minimum,Minimum,Incorrect TS,Incorrect TS
HOSBIB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOSKUV01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOSLAC,Minimum,Not Minimum,Correct TS,Correct TS
HOSMIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOSNOU,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HOSVES,Minimum,Minimum,Incorrect TS,Correct TS
HOSWAQ,Minimum,Minimum,Correct TS,Correct TS
HOSYAS,Not Minimum,Minimum,Correct TS,Correct TS
HOSZEV,Minimum,Minimum,Correct TS,Correct TS
HOTFIG,Minimum,Minimum,Correct TS,Correct TS
HOTHUU,Minimum,Minimum,Correct TS,Correct TS
HOTPEM,Minimum,Minimum,Correct TS,Correct TS
HOTTEP,Minimum,Minimum,Correct TS,Correct TS
HOTTIT,Minimum,Minimum,Correct TS,Correct TS
HOTTOA,Minimum,Minimum,Correct TS,Correct TS
HOTZIA,Not Minimum,Minimum,Correct TS,Correct TS
HOVBEA,Minimum,Not Minimum,Correct TS,Correct TS
HOVCAZ,Minimum,Minimum,Incorrect TS,Correct TS
HOVFON,Minimum,Minimum,Correct TS,Correct TS
HOVPAL,Minimum,Minimum,Correct TS,Correct TS
HOVPEO,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HOVREP,Minimum,Not Minimum,Incorrect TS,Incorrect TS
HOVRUI,Minimum,Minimum,Correct TS,Correct TS
HOVSOD,Minimum,Minimum,Correct TS,Correct TS
HOVZEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOWSOD,Minimum,Minimum,Correct TS,Correct TS
HOWTEU,Minimum,Minimum,Correct TS,Correct TS
HOWZAW,Minimum,Minimum,Correct TS,Correct TS
HOWZIF02,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOXFUX,Minimum,Minimum,Correct TS,Correct TS
HOXJUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOXKOX,Minimum,Minimum,Incorrect TS,Correct TS
HOXMAJ,Minimum,Minimum,Correct TS,Correct TS
HOXMEN,Minimum,Minimum,Correct TS,Correct TS
HOXMIR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HOXMOZ,Minimum,Not Minimum,Correct TS,Correct TS
HOYFIN,Minimum,Minimum,Incorrect TS,Incorrect TS
HOYSEV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOYXUR,Minimum,Minimum,Correct TS,Correct TS
HOYYAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOYYAX,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOYYUQ,Minimum,Minimum,Correct TS,Correct TS
HOZBED,Minimum,Minimum,Correct TS,Correct TS
HOZBEE,Minimum,Minimum,Correct TS,Correct TS
HOZBII,Minimum,Minimum,Correct TS,Correct TS
HOZSUL,Minimum,Minimum,Incorrect TS,Correct TS
HOZYEC,Minimum,Minimum,Correct TS,Correct TS
HOZYED,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOZZEB01,Minimum,Minimum,Correct TS,Correct TS
HPBTAZ01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HPCPRA,Minimum,Minimum,Correct TS,Correct TS
HPHMTH10,Minimum,Minimum,Correct TS,Correct TS
HPICRB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HPMSAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HPRTDO,Minimum,Not Minimum,Correct TS,Correct TS
HPSANA,Minimum,Minimum,Correct TS,Correct TS
HPTIMZ10,Minimum,Not Minimum,Correct TS,Correct TS
HPTMHT10,Minimum,Minimum,Correct TS,Correct TS
HQOXAL01,Minimum,Not Minimum,Correct TS,Correct TS
HQOXDO04,Minimum,Minimum,Correct TS,Correct TS
HRFPZO10,Not Minimum,Minimum,Correct TS,Correct TS
HTCDOD,Minimum,Minimum,Correct TS,Correct TS
HTENTX10,Minimum,Minimum,Correct TS,Correct TS
HTRPTB10,Minimum,Not Minimum,Correct TS,Correct TS
HTZPYO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUBCUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUBKIB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUBSEC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUBSIG,Minimum,Minimum,Correct TS,Correct TS
HUBTON,Minimum,Minimum,Correct TS,Correct TS
HUBZEK,Minimum,Minimum,Correct TS,Correct TS
HUBZIO,Not Minimum,Minimum,Correct TS,Correct TS
HUBZOU,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUBZUA,Minimum,Not Minimum,Correct TS,Correct TS
HUCGEU,Minimum,Minimum,Correct TS,Correct TS
HUCLEW03,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HUCRON,Not Minimum,Minimum,Correct TS,Correct TS
HUCVEH,Minimum,Minimum,Correct TS,Correct TS
HUCWOS,Minimum,Minimum,Correct TS,Correct TS
HUDDEQ,Minimum,Minimum,Correct TS,Correct TS
HUDFIW,Minimum,Minimum,Correct TS,Correct TS
HUDHUK01,Minimum,Minimum,Correct TS,Correct TS
HUDJAS,Minimum,Minimum,Correct TS,Correct TS
HUDTIK,Minimum,Minimum,Incorrect TS,Incorrect TS
HUDVEJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUDWIO,Minimum,Minimum,Correct TS,Correct TS
HUDYEL,Minimum,Not Minimum,Correct TS,Correct TS
HUFBOA,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HUFDOC,Minimum,Minimum,Correct TS,Correct TS
HUFDUI,Minimum,Minimum,Correct TS,Correct TS
HUFHOG,Not Minimum,Not Minimum,Correct TS,Correct TS
HUFJAU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUFLIE,Minimum,Not Minimum,Correct TS,Correct TS
HUFLOK,Minimum,Minimum,Correct TS,Correct TS
HUFLUQ,Minimum,Minimum,Correct TS,Correct TS
HUFNUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUFSOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUFYAI,Minimum,Minimum,Correct TS,Correct TS
HUFYIT,Minimum,Minimum,Correct TS,Correct TS
HUFZUD,Minimum,Minimum,Correct TS,Correct TS
HUGBIX,Minimum,Minimum,Correct TS,Correct TS
HUGFUL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HUGHAV,Minimum,Not Minimum,Correct TS,Correct TS
HUGMUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUGWEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HUGXUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUHKIG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
HUHNUT,Minimum,Not Minimum,Incorrect TS,Correct TS
HUHTOT,Minimum,Minimum,Correct TS,Correct TS
HUJBIY,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HUJBOE,Minimum,Minimum,Correct TS,Correct TS
HUJFAV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HUJHOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HUJHUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HUJJIH,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HUKDEZ,Minimum,Minimum,Correct TS,Correct TS
HUKGOJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUKGUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUKHED,Minimum,Minimum,Correct TS,Correct TS
HUKHUQ,Minimum,Minimum,Correct TS,Correct TS
HUKJEC,Minimum,Minimum,Incorrect TS,Correct TS
HUKJOM,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HUKJUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUKKED,Minimum,Minimum,Correct TS,Correct TS
HUKKEF,Minimum,Minimum,Correct TS,Correct TS
HUKMEI,Minimum,Minimum,Correct TS,Correct TS
HUKNAD,Minimum,Minimum,Correct TS,Correct TS
HUKNIL01,Minimum,Minimum,Correct TS,Correct TS
HUKPOT,Minimum,Minimum,Correct TS,Correct TS
HUKPUY,Minimum,Not Minimum,Correct TS,Correct TS
HUKROU,Not Minimum,Minimum,Correct TS,Correct TS
HUKTEP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUKTOY,Minimum,Minimum,Correct TS,Correct TS
HULGIE01,Minimum,Minimum,Correct TS,Correct TS
HULGOK,Minimum,Minimum,Correct TS,Correct TS
HUMGOL,Minimum,Minimum,Correct TS,Correct TS
HUMGUR,Minimum,Minimum,Correct TS,Correct TS
HUMJII,Minimum,Minimum,Incorrect TS,Incorrect TS
HUMMEH,Minimum,Minimum,Correct TS,Correct TS
HUMQAK,Minimum,Minimum,Correct TS,Correct TS
HUMSIR,Minimum,Minimum,Correct TS,Correct TS
HUMTEO,Minimum,Minimum,Correct TS,Correct TS
HUNCEB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HUNGEC,Minimum,Minimum,Correct TS,Correct TS
HUNJIM,Minimum,Not Minimum,Correct TS,Correct TS
HUNNEL,Minimum,Minimum,Correct TS,Correct TS
