Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
AHESOW,Minimum,Minimum,Correct TS,Correct TS
AHEWUF,Minimum,Minimum,Correct TS,Correct TS
AHGLCM,Minimum,Minimum,Incorrect TS,Correct TS
AHICIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHIDIT,Minimum,Minimum,Incorrect TS,Incorrect TS
AHIJEH,Minimum,Minimum,Correct TS,Correct TS
AHILIM,Minimum,Minimum,Correct TS,Correct TS
AHILOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHIMUA,Minimum,Minimum,Correct TS,Correct TS
AHINUC,Minimum,Minimum,Correct TS,Correct TS
AHMVAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHOQEW,Minimum,Minimum,Correct TS,Correct TS
AHOVOJ,Not Minimum,Minimum,Correct TS,Correct TS
AHOVUO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AHOWAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AHOXEC,Minimum,Not Minimum,Correct TS,Correct TS
AHPAZP10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHTPAL02,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AHUHER,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHUKAQ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AHUMEW,Minimum,Minimum,Correct TS,Correct TS
AHUMIA,Minimum,Minimum,Correct TS,Correct TS
AHUXIL,Minimum,Minimum,Correct TS,Correct TS
AHUYEI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHXGLP,Minimum,Minimum,Correct TS,Correct TS
AIPMLM,Minimum,Not Minimum,Correct TS,Correct TS
AIPTHL10,Minimum,Not Minimum,Incorrect TS,Correct TS
AISMRS,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AJACOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJAGEX,Minimum,Minimum,Correct TS,Correct TS
AJAGOJ,Not Minimum,Minimum,Correct TS,Incorrect TS
AJAJEA,Minimum,Minimum,Correct TS,Correct TS
AJAKAX,Minimum,Minimum,Correct TS,Correct TS
AJAPUW,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJASEK,Minimum,Minimum,Correct TS,Correct TS
AJEJII,Minimum,Minimum,Correct TS,Correct TS
AJERIS,Not Minimum,Minimum,Correct TS,Incorrect TS
AJEVAN,Minimum,Minimum,Correct TS,Correct TS
AJIXOG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJIYEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJIZAU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJOFAG,Minimum,Minimum,Correct TS,Correct TS
AJOGEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJOHEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJOHUF,Minimum,Minimum,Correct TS,Correct TS
AJONEV,Minimum,Minimum,Correct TS,Correct TS
AJONUL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJOPOE01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJUCOY,Minimum,Minimum,Correct TS,Correct TS
AJUQOM,Minimum,Minimum,Correct TS,Correct TS
AKAKOM,Minimum,Minimum,Correct TS,Correct TS
AKALIH,Minimum,Minimum,Correct TS,Correct TS
AKAPIL,Minimum,Minimum,Correct TS,Correct TS
AKATAI,Minimum,Minimum,Correct TS,Correct TS
AKAUAC,Not Minimum,Minimum,Correct TS,Correct TS
AKAVUE,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AKAWAK,Minimum,Minimum,Correct TS,Correct TS
AKAWEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKAXAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKAXES,Not Minimum,Minimum,Correct TS,Correct TS
AKEDUR,Minimum,Minimum,Correct TS,Correct TS
AKEFII,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKEQOY,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AKIHAF,Minimum,Minimum,Correct TS,Correct TS
