Ligand,Cone Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-N (A),Lowdin Charge (N),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge Cu(d),Orbital Charge Cu(dxy),Orbital Charge L1(dxy),Orbital Charge L2(py),Ea
IWIXOD,193.14,34,-4.0145,-3.4646,1.84,-0.3349,2.9849,28.7507,7.3112,0.8812,9.7343,1.9697,0.0311,1.6258,18.1
HISRIM,158.73,24.5,-2.4657,-2.3214,1.86,-0.4738,2.7371,28.9159,7.3988,0.799,9.8041,1.96,0.0794,1.6393,20.9
MOZQEY,183.86,31.7,-2.6764,-1.8311,1.89,-0.459,2.7715,28.8608,7.3789,0.8065,9.782,1.9743,0.0941,1.6184,16.1
HIRKEZ,153.39,23.7,-2.6513,-2.1135,1.86,-0.4671,2.7557,28.9404,7.3982,0.8102,9.808,1.9716,0.0786,1.6502,19.6
ROQKOA,184.67,30.8,-3.0429,-1.93,1.84,-0.429,2.8161,28.8327,7.3542,0.8191,9.7714,1.9328,0.0227,1.5768,19.9
XEFLOL,188.87,33.5,-3.1265,-2.2005,1.84,-0.4219,2.8303,28.7479,7.3618,0.8346,9.7757,1.9281,0.0727,1.672,16.9
FUGVUB,183.03,32.7,-3.785,-3.3203,1.81,-0.3561,2.9358,28.7342,7.3239,0.8362,9.7233,1.9298,0.0409,1.6453,21.4
KIMGEV,186.11,29.9,-2.6158,-2.2156,1.89,-0.4578,2.7663,28.8454,7.3843,0.8,9.7806,1.9683,0.0806,1.5985,17.9
UQUDOA,196.75,33.1,-2.9432,-2.4783,1.86,-0.4148,2.8437,28.7299,7.3418,0.7904,9.7557,1.9476,0.114,1.4449,17.4
FATQUO,181.4,30.9,-2.2523,-1.0821,1.88,-0.4705,2.7481,28.8869,7.3599,0.7265,9.7987,1.9846,0.0885,1.5917,25.4
VILKUY,203.76,32.9,-3.488,-2.9189,1.82,-0.3857,2.9009,28.7814,7.3299,0.8503,9.7665,1.9663,0.038,1.6754,23.2
SIZCOT,190.47,36.1,-2.7215,-1.8311,1.89,-0.4568,2.7377,28.9137,7.3456,0.7503,9.7872,1.9724,0.1019,1.5004,16.9
MORPIV,232.33,41.7,-2.1012,-1.2348,1.93,-0.4532,2.7348,28.8105,7.3389,0.6803,9.7701,1.9791,0.028,1.5569,11.3
VOWTEG,180.56,30.6,-2.1524,-1.4248,1.91,-0.4761,2.7333,28.9574,7.4098,0.7547,9.7963,1.981,0.089,1.5895,22.5
KITZIZ,215.05,40.4,-3.3029,-2.739,1.86,-0.4243,2.8423,28.8006,7.3556,0.846,9.7707,1.9749,0.0187,1.5684,18.6
SAQJOL,212.13,35.2,-2.8839,-1.9799,1.87,-0.4522,2.7883,28.8157,7.3697,0.8072,9.8136,1.9376,0.0234,1.5524,14.5
XABGIS,234.52,39.1,-3.3442,-2.7669,1.85,-0.3701,2.8935,28.8003,7.3057,0.84,9.7505,1.9728,0.0249,1.6197,15
KIXCUP,232.37,41.7,-2.0988,-1.234,1.93,-0.4527,2.7334,28.8095,7.3375,0.6803,9.7701,1.9749,0.0273,1.5581,10.9
XALVIP,217.05,36.2,-2.8425,-1.3036,1.91,-0.4372,2.7381,28.9189,7.3611,0.732,9.8115,1.989,0.0189,1.207,16
TUHJAH,243.52,38,-2.7114,-0.5024,1.98,-0.3221,2.8477,28.829,7.391,0.4955,9.8312,1.9875,0.1013,1.2256,31.9
VAZJOY,203.62,39,-2.9254,-2.3848,1.87,-0.4121,2.8598,28.7725,7.3251,0.798,9.7595,1.9673,0.0523,1.6046,33.3
EQAHEL,177.45,34.3,-3.7362,-3.085,1.82,-0.3463,2.9432,28.602,7.3304,0.8225,9.7093,1.9658,0.0837,1.491,23.2
BOXDOJ,184.07,37.4,-1.8028,0.6112,1.9,-0.4816,2.7662,29.0365,7.3664,0.7406,9.7816,1.9686,0.0797,1.6031,23.7
COMPOJ,257.45,39.6,-3.3465,-1.4401,1.93,-0.3424,2.9035,28.7313,7.4193,0.5593,9.848,1.979,0.0759,1.134,28.3
ZECJOI,194.86,36.6,-2.6667,-1.5641,1.87,-0.446,2.7796,28.7676,7.3603,0.7793,9.7661,1.9847,0.1025,1.5081,14.9
YIKXUO,219.91,37.1,-3.5675,-2.824,1.81,-0.3781,2.8873,28.7656,7.3268,0.8387,9.7633,1.9697,0.0372,1.6833,19.9
IVORES,185.28,30.1,-2.662,-1.6484,1.89,-0.4565,2.7719,28.8529,7.3833,0.8023,9.7768,1.9395,0.0643,1.4717,16.5
LASJAT,153.76,25.5,-2.7183,-2.0168,1.86,-0.4641,2.7598,28.9415,7.39,0.8111,9.8045,1.9792,0.0786,1.6208,20.4
UKOZIE,225.14,40.4,-2.6964,-2.2727,1.88,-0.4427,2.7858,28.8588,7.3581,0.7955,9.8045,1.9678,0.0214,1.6406,17.8
BUNGIA01,185.87,32.3,-2.6632,-1.2135,1.89,-0.4603,2.7625,28.8652,7.3764,0.7979,9.7788,1.9767,0.1099,1.5994,16.1
XULHOD,185.32,30.9,-2.7058,-1.8158,1.88,-0.4533,2.7761,28.8465,7.3784,0.811,9.7737,1.975,0.0859,1.6364,16.7
KUXSEC,183.95,32.8,-3.0709,-1.9863,1.86,-0.4456,2.8154,28.8277,7.3854,0.846,9.7809,1.9741,0.0504,1.574,19.5
UMIDAX,197.31,38.6,-3.3839,-2.9641,1.84,-0.3725,2.9411,28.7408,7.3282,0.828,9.7645,1.9482,0.037,1.2059,21
WULJEU,184.64,31.1,-2.7243,-1.7264,1.88,-0.4525,2.785,28.8385,7.3761,0.8126,9.7742,1.9372,0.0677,1.4647,16.5
JATTOO,184.01,31.7,-2.7254,-1.7016,1.88,-0.4548,2.7868,28.8559,7.3773,0.8084,9.7704,1.9553,0.0861,1.4748,18.3
NUWPUR,239.74,56.6,-2.6501,-2.065,1.93,-0.4353,2.7277,28.8152,7.3517,0.7638,9.849,1.9466,0.0137,1.4955,12.8
VUWRUA,179.57,34.4,-2.3182,-1.3865,1.89,-0.4653,2.7481,28.9068,7.3385,0.7251,9.7805,1.964,0.1008,1.5605,16.5
YAGHIZ,185.09,31.4,-3.6238,-3.3425,1.82,-0.3557,2.9265,28.788,7.3122,0.8289,9.7718,1.9644,0.0228,1.6479,24
ROGTAJ,178.8,30.5,-2.6368,-1.3674,1.85,-0.4474,2.7774,28.813,7.3713,0.7944,9.8042,1.9804,0.1195,1.632,22.8
URECUQ,212.02,40.9,-2.726,-1.7014,1.88,-0.451,2.7932,28.7859,7.348,0.7592,9.7754,1.9772,0.0797,1.2123,23.2
EFOJIT,197.2,33.7,-3.2177,-3.0496,1.85,-0.4431,2.8081,28.674,7.3846,0.8123,9.8161,1.9745,0.0394,1.3187,15.8
WUTFEX,201.92,32.7,-2.6993,-1.3864,1.89,-0.4577,2.769,28.854,7.368,0.7956,9.7731,1.976,0.1099,1.6488,16.7
XOMCAE,187.4,34.3,-2.7686,-1.6629,1.86,-0.4655,2.7757,28.765,7.3823,0.7929,9.8457,1.9745,0.0477,1.4242,15.5
OHIMID,218.84,39.2,-2.7914,-2.0715,1.9,-0.4581,2.7759,28.8781,7.3697,0.8022,9.8085,1.9491,0.0339,1.6669,15.9
