Ligand,Bite Angle (°),HOMO Energy (eV),Lowdin Charge (Cu),Bonded Valence (Cu),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge L2(px),Orbital Charge L2(dxz),Ea
SUCQIT,85.42,-2.5395,0.3784,2.1011,6.3812,12.4969,9.7435,1.8808,1.5916,0.0804,26.5
SUDWIA,82.42,-3.3775,0.1888,2.1399,6.427,12.607,9.7772,1.9216,1.226,0.0185,19.4
SUHNUH,89.76,-3.2878,0.4078,1.9388,6.3709,12.4638,9.7576,1.9241,1.6955,0.1137,-15.4
SUKHUD,85.2,-3.724,0.497,2.2697,6.3301,12.5035,9.6694,1.9615,1.5359,0.0977,15.6
SUMHUG,85.21,-2.5825,0.3848,1.885,6.4145,12.4226,9.7781,1.9634,1.5984,0.0866,20.5
SUMMOD,88.65,-3.437,0.4067,1.9349,6.3675,12.4756,9.7501,1.9217,1.5939,0.0736,15.9
SUTKUP,46.85,-2.9635,0.3164,1.6037,6.5488,12.3722,9.7626,1.8708,1.7205,0.1369,26.7
SUWGOG,81.78,-3.1741,0.1677,2.0502,6.436,12.5897,9.8066,1.9323,1.3475,0.0121,21.7
SUYNIJ,86.97,-3.3549,0.4029,2.1098,6.378,12.4717,9.7474,1.9282,1.657,0.0859,11.7
SUZBAR,82.82,-3.3482,0.2902,2.088,6.4002,12.5306,9.779,1.9175,1.2499,0.0159,12.7
SUZCOH,63.6,-3.0265,0.4374,1.9711,6.4253,12.3881,9.7492,1.8982,1.4788,0.0698,20.7
TABSAQ,78.32,-2.6403,0.2892,1.6928,6.4929,12.434,9.7839,1.8809,1.6928,0.0981,22.1
TABYIE,80.77,-2.6024,0.2874,1.6937,6.484,12.4401,9.7885,1.9062,1.6945,0.0888,23.3
TAKZOX,83.96,-3.5569,0.34,2.1911,6.3967,12.5303,9.733,1.9053,1.3732,0.0169,17.3
TALGUK,80.9,-3.7573,0.359,2.1163,6.4089,12.5096,9.7225,1.888,1.3916,0.0139,19.8
TAPDAS01,88.01,-2.7785,0.3489,2.1334,6.4047,12.486,9.7604,1.9232,1.764,0.0413,21
TAQKEE,82.15,-3.4648,0.2322,2.1648,6.418,12.5869,9.7629,1.9528,1.2055,0.0238,17.9
TASHAW01,91.89,-2.8803,0.2756,2.0983,6.4206,12.5464,9.7575,1.8922,1.3997,0.0103,33.9
TAVLUY,82.81,-3.7045,0.28,2.4672,6.4015,12.6184,9.7001,1.9337,1.2188,0.0242,21.8
TAWPEN,81.88,-3.4378,0.262,2.0626,6.4343,12.5411,9.7626,1.9107,1.2376,0.0173,25.2
TAZMUE,83.12,-4.072,0.3355,2.5973,6.3861,12.6103,9.6681,1.8584,1.4097,0.0171,23.6
TAZPOZ,46.67,-2.9748,0.3252,1.564,6.5405,12.3704,9.7639,1.9022,1.7127,0.033,7.6
TEGGUJ01,95.51,-2.5736,0.3528,2.1607,6.3622,12.5202,9.7647,1.9882,1.5589,0.0871,19.8
TEHWIN,84.77,-3.4708,0.3104,2.302,6.3968,12.5383,9.7546,1.9261,1.3505,0.0115,22.7
TEJPIH,47.55,-3.2041,0.3384,1.6353,6.526,12.3957,9.7399,1.9169,1.5578,0.0795,25.7
TENVIT,81.55,-3.2346,0.3303,2.1049,6.3969,12.5097,9.7631,1.912,1.5207,0.0984,15.9
TEPQOX,65.83,-2.778,0.3136,1.6292,6.5479,12.3764,9.7621,1.8925,1.6894,0.118,27.9
TESKEJ,82.1,-3.2314,0.3249,2.1036,6.3939,12.5118,9.7695,1.9091,1.5562,0.088,17.3
TEVJUC,79.69,-3.2385,0.2203,1.9651,6.4376,12.519,9.8231,1.9544,1.2145,0.0182,11.6
TEWLAK01,96.94,-2.8243,0.4582,2.0941,6.3516,12.4354,9.7548,1.882,1.7565,0.0403,15.3
TEZZUU01,82.69,-3.5679,0.3526,2.14,6.3925,12.5155,9.7395,1.9587,1.6049,0.081,17.3
TIBGIW,82.29,-3.7607,0.3877,2.2462,6.3662,12.5141,9.732,1.9161,1.5159,0.0878,14
TICHOD,85.14,-2.7378,0.3881,1.9221,6.4089,12.4319,9.771,1.9051,1.5207,0.0705,23.4
TICYAG,92.45,-2.3654,0.2712,1.966,6.4054,12.5086,9.8147,1.929,1.3698,0.017,24.1
TIGMUS,80.98,-3.111,0.2927,2.023,6.4139,12.5042,9.7891,1.9555,1.364,0.02,17.9
TIGMUU,80.91,-3.7558,0.3008,2.3557,6.4041,12.5816,9.7134,1.9585,1.1481,0.0335,24.8
TILSIS,87.02,-2.8502,0.3107,1.9781,6.4246,12.4699,9.7947,1.9231,1.2024,0.0162,20.3
TIVCUY,85.43,-3.6348,0.4713,2.2626,6.3341,12.5154,9.6791,1.9152,1.5997,0.0711,18.2
TIVMER,66.74,-2.6834,0.2464,2.1688,6.462,12.5237,9.7679,1.9369,1.2203,0.0191,23.4
TIVPOE,66.85,-2.622,0.238,2.1791,6.4683,12.5269,9.7668,1.9441,1.2071,0.02,24.6
TIWXAY,66.3,-3.0183,0.3127,1.6554,6.5356,12.3949,9.7568,1.9487,1.6819,0.0663,27.5
