Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
MIHXOR,82.36,1.78,178.26,2.65,7.39,6.79,35.9,25.8,13.8,590.37,-3.9501,-2.4437,2.02,2.22,0,-0.06,2.59,2.08,3.11,3.04,2.44,1.36,1.23,84.4,76.26,90.87,100.04,108.45,122.83,108.65,125.29,-0.4074,0.1602,-0.1892,0.2973,0.1356,0.0688,-0.4528,0.0675,2.1411,2.9662,3.6642,3.1801,3.0662,4.0534,2.0821,29.0302,7.2438,5.7213,25.2758,7.074,7.4742,5.7289,8.4114,0.5423,0,0.5548,0.4568,0.3834,0.5856,0.2824,0,1.8781,1.0527,2.7891,2.8011,0.9073,1.1051,0.7887,3.0077,3.5791,1.1927,1.2358,1.1506,3.6308,3.4498,3.8199,3.6413,10.1446,2.0201,2.0593,2.0166,2.0323,2.0162,6.3761,12.5883,4.2007,4.1749,4.2127,10.4428,2.0621,2.1393,2.0981,2.066,2.0772,1.1552,1.2626,1.1116,0.2979,0.0518,0.0779,0.0402,1.1635,1.2426,1.3723,0.1567,0.0412,0.0379,0.0194,0.0383,2.743,2.6878,0.9797,0.9427,0.7654,3.3979,4.4625,1.523,1.593,1.3465,-438.14,36.8
OJERUQ,62.98,-0.2,188.31,3.59,9.8,8.75,30.7,29.9,27.5,828.1,-3.3628,-2.3548,2.13,2.03,-0.01,0.01,2.5,2.09,3.18,3.01,2.47,1.35,1.23,87.62,79.45,89.53,100.65,102.38,120.88,109.66,126.44,-0.4344,0.1581,-0.1702,0.3252,0.0861,0.0911,-0.4674,0.0384,2.1593,2.9606,3.6573,1.9602,1.8938,4.0547,2.0912,29.0739,7.2941,5.6896,25.2795,8.4886,8.5123,5.7035,8.4295,0.6607,0,0.5055,0.4431,0.3823,0.3841,0.5272,0,1.8849,1.0738,2.797,2.7987,0.8883,1.1061,0.8042,3.0086,3.5835,1.2239,1.1854,1.1742,3.6135,3.5026,3.8501,3.5385,10.1507,2.023,2.058,2.0167,2.031,2.0219,6.3857,12.5547,4.2119,4.1252,4.2175,10.4938,2.0861,2.1579,2.0865,2.072,2.0913,1.4269,1.5872,1.4521,0.0702,0.01,0.0246,0.0088,1.4398,1.4655,1.562,0.0729,0.0144,0.0046,0.0197,0.0089,2.742,2.6975,0.9829,0.9503,0.7643,3.4043,4.4863,1.578,1.5441,1.3643,-395.44,36.8
PIMBAP01,94.36,-3.08,193.52,1.84,5.39,7.04,31.1,19.9,10.3,549.43,-3.4038,-2.2489,1.96,2.03,0,0.01,2.52,2.12,3.21,3.11,2.45,1.34,1.23,85.88,80.57,89.08,100.59,103.23,117.8,109.87,126.39,-0.4537,0.1525,-0.1806,0.3216,0.0826,0.1108,-0.4709,0.0293,2.1919,2.9283,3.6622,2.03,2.048,3.9888,2.0807,28.9719,7.3086,5.7026,25.2838,8.3999,8.4372,5.6604,8.4451,0.6431,0,0.5396,0.4014,0.3527,0.5055,0.3453,0,1.8692,1.0748,2.7973,2.8051,0.9289,1.0466,0.8295,3.0128,3.5881,1.1728,1.2252,1.1901,3.6157,3.537,3.8308,3.5191,10.1562,2.0243,2.0586,2.0173,2.0298,2.0262,6.3569,12.5997,4.2075,4.1719,4.2203,10.4968,2.0912,2.1329,2.115,2.0934,2.0642,1.4663,1.5997,1.4209,0.0747,0.0182,0.0225,0.0095,1.4348,1.5907,1.4316,0.077,0.0048,0.0191,0.0197,0.0091,2.7413,2.7,0.9764,0.9616,0.7621,3.4053,4.4945,1.5202,1.6082,1.366,-384.83,36.8
SAZTUI,76.56,2.23,172.08,3.08,9.17,14.73,30.7,24.4,15.9,876.58,-3.9292,-3.0326,1.96,2.43,0.1,-0.25,2.53,3.11,3.31,1.92,2.36,1.3,1.27,65.13,85.17,89.61,77.59,62.9,167.01,111.1,128.24,-0.395,0.1697,-0.2288,0.4303,0.2086,0.1181,-0.443,0.0808,2.05,3.068,3.6798,2.1719,3.0649,3.9829,2.0464,28.9614,7.2222,5.7275,25.1971,8.3236,7.1921,5.6811,8.5059,0.6732,0,0.5914,0,0.3789,0.4681,0.1511,0.5527,1.3609,1.4611,2.7917,2.8129,0.9509,0.8687,0.9932,3.0102,3.5772,1.219,1.2291,1.1291,3.6024,3.6922,3.3672,3.7205,10.166,2.0279,2.033,2.0312,2.0427,2.0311,6.3763,12.5592,4.2454,4.146,4.1678,10.4593,2.0739,2.1144,2.0669,2.1473,2.0567,1.3749,1.5653,1.4359,0.0842,0.0194,0.0268,0.0095,1.2376,1.1155,1.2524,0.2767,0.0465,0.0427,0.0701,0.0499,2.7264,2.6964,0.9798,0.7944,0.9222,3.3389,4.496,1.5984,1.4641,1.4335,-368.24,36.8
VAHKUN,91.48,5.47,213.72,1.55,11.69,8.11,34.6,25.3,17.5,785.39,-3.7157,-2.354,1.93,1.97,-0.01,-0.05,2.56,2.09,3.26,2.97,2.46,1.35,1.23,85.15,80.84,88.98,103.73,98.86,119.88,109.79,126.1,-0.3691,0.1587,-0.1769,0.3062,0.137,0.0454,-0.4679,0.0431,2.5397,2.9504,3.7343,2.0095,2.0321,3.9429,2.0917,29.0205,7.2811,5.7121,25.2874,8.4084,8.4899,5.6487,8.4313,0.5939,0,0.5761,0.4328,0.3736,0.4823,0.6066,0,1.8667,1.029,2.7966,2.801,0.9684,0.9788,0.8539,3.0095,3.5835,1.1543,1.2082,1.2211,3.638,3.6278,3.7989,3.469,10.143,2.0252,2.0455,2.0161,2.0244,2.0319,6.342,12.5961,4.2126,4.1769,4.2066,10.4307,2.101,2.061,2.107,2.0918,2.07,1.3781,1.6051,1.4442,0.0833,0.0225,0.0194,0.0113,1.5422,1.5773,1.4004,0.072,0.0036,0.0168,0.0234,0.0077,2.7404,2.6962,0.9735,0.9566,0.7662,3.4026,4.4832,1.4992,1.6121,1.3718,-394.85,36.8
XAZVEB,63.51,-0.42,174.71,2.03,8.47,9.64,27,21.7,17.5,686.4,-3.4814,-2.5427,2.14,2,0,0.01,2.48,2.04,3.12,2.99,2.54,1.35,1.23,91.28,76.88,88.63,98.41,107.25,124.8,108.95,125.71,-0.4342,0.1513,-0.1393,0.272,0.1043,0.0951,-0.4633,0.0534,2.2067,2.9556,3.6366,1.9657,2.0276,4.1299,2.0981,29.0731,7.2671,5.7418,25.3159,8.4812,8.4632,5.7393,8.4092,0.6666,0,0.4748,0.4764,0.3553,0.3589,0.5502,0,1.903,1.1037,2.7987,2.788,0.9,1.0738,0.8142,3.0141,3.5851,1.2149,1.2115,1.1587,3.6254,3.4637,3.849,3.6264,10.1445,2.0189,2.0575,2.0183,2.0309,2.0189,6.3821,12.573,4.2191,4.1239,4.23,10.4789,2.0625,2.1565,2.1047,2.0669,2.0882,1.4348,1.5511,1.4623,0.0694,0.0105,0.0242,0.0089,1.4389,1.4696,1.5559,0.0727,0.0169,0.0063,0.0179,0.0087,2.7444,2.6942,0.9821,0.9593,0.7528,3.403,4.4724,1.5325,1.5939,1.346,-403.58,36.8
XEZLET,62.08,-0.99,171.35,2.43,5.85,7.32,29,23.8,14,580.46,-3.9482,-2.5248,1.92,2.37,-0.02,0.07,2.52,2.04,3.11,3.09,2.5,1.36,1.22,88.66,76.57,88.79,98.79,112.9,122.97,108.65,125.34,-0.3723,0.1471,-0.1529,0.2904,0.1843,-0.0899,-0.4637,0.0652,2.2442,2.9823,3.6989,3.3247,2.7169,4.174,2.1084,29.125,7.2237,5.7804,25.2946,7.0289,7.3194,5.7797,8.3936,0.6109,0,0.5117,0.4861,0.3535,0.7002,0.1605,0,1.919,1.1059,2.7945,2.7911,0.8936,1.068,0.8295,3.014,3.5898,1.2191,1.1733,1.1974,3.6326,3.4903,3.8495,3.5826,10.1374,2.0205,2.0544,2.0137,2.0307,2.0181,6.4033,12.5752,4.2284,4.0935,4.2533,10.3936,2.0722,2.1139,2.0578,2.0751,2.0746,1.1116,1.1689,1.2997,0.2597,0.0393,0.0693,0.0264,1.2872,1.2099,1.2933,0.2052,0.0368,0.0261,0.0439,0.0238,2.7461,2.6938,0.9713,0.9513,0.7711,3.4017,4.4612,1.5431,1.5555,1.3626,-425.65,36.8
XOTXEM,102.95,-1.8,204.76,2.38,8.22,9.1,32.7,25.8,19.3,686.39,-3.3627,-2.0972,1.97,1.95,0.01,0.01,2.55,2.21,3.19,3.23,2.4,1.34,1.23,81.65,80.44,89.59,97.93,105.93,116.99,109.95,126.62,-0.4143,0.155,-0.2066,0.36,0.1733,0.0752,-0.479,0.0246,2.2117,2.8424,3.634,2.055,2.0754,4.0957,2.0821,28.9931,7.296,5.6944,25.2269,8.4781,8.4869,5.7036,8.4396,0.6396,0,0.5748,0.3051,0.3526,0.489,0.5807,0,1.9013,1.114,2.7938,2.8129,0.9013,1.0467,0.8649,3.0141,3.5854,1.2111,1.1999,1.1744,3.6037,3.4023,3.8512,3.5992,10.1636,2.027,2.0582,2.0221,2.0352,2.021,6.3571,12.598,4.1861,4.1923,4.2196,10.459,2.0346,2.1686,2.1182,2.0488,2.0888,1.3676,1.5905,1.4431,0.0816,0.0173,0.0248,0.0091,1.4696,1.5988,1.4229,0.0768,0.0055,0.0174,0.0242,0.0085,2.7427,2.7054,0.967,0.9607,0.7777,3.4064,4.4977,1.5368,1.5851,1.3759,-385.01,36.8
YIXNAV,81.09,-3.86,210.75,3.5,9.17,7.28,41.9,33.2,19.6,721.2,-3.5533,-2.1464,2.21,1.98,0.11,0.02,2.56,2.16,3.21,3.21,2.4,1.35,1.23,81.9,80.82,89.41,100.77,105.98,117.61,109.57,126.54,-0.4661,0.1591,-0.2078,0.3641,0.1978,0.1089,-0.4663,0.0451,2.2153,2.869,3.6501,2.1125,2.9942,4.0166,2.1068,29.0929,7.3032,5.6794,25.2615,8.3262,7.3655,5.6624,8.4219,0.5923,0,0.5828,0.3753,0.3651,0.2409,0.6863,0,1.9033,1.0603,2.7925,2.8139,0.905,1.1036,0.8053,3.0117,3.5823,1.1992,1.2305,1.1526,3.6055,3.4568,3.8109,3.5849,10.1586,2.0257,2.0604,2.0208,2.0325,2.0192,6.3873,12.5628,4.1865,4.1736,4.2027,10.5159,2.0869,2.1672,2.108,2.075,2.0787,1.3438,1.5505,1.4745,0.0743,0.0111,0.0277,0.0087,1.2337,1.244,1.1901,0.2252,0.037,0.0385,0.0583,0.0297,2.7422,2.6985,0.9775,0.9364,0.7846,3.4035,4.4798,1.5396,1.5594,1.3808,-392.61,36.8
DOWYEW,79.55,-1.26,209.05,2.15,8.92,9.02,34,27.5,18.2,708.77,-3.1204,-2.2384,2.22,1.97,0.2,-0.1,2.54,2.08,3.24,3.1,2.47,1.35,1.23,85.99,80.48,88.34,102.74,104.11,116.98,109.55,126.43,-0.4438,0.1503,-0.174,0.2934,0.1025,-0.0909,-0.4646,0.0328,2.2822,2.9557,3.7626,2.8256,1.8211,3.944,2.0811,29.045,7.3176,5.7385,25.3252,7.0822,8.6133,5.6417,8.444,0.6135,0,0.5389,0.4571,0.344,0.3033,0.6299,0,1.8625,1.0509,2.7989,2.8044,0.994,0.9725,0.8378,3.0122,3.5894,1.1572,1.2547,1.1775,3.6248,3.6054,3.7184,3.5817,10.1579,2.026,2.0538,2.0324,2.0199,2.0258,6.3837,12.5709,4.1575,4.1806,4.2328,10.489,2.0859,2.1394,2.165,2.0558,2.0429,1.2208,0.9695,1.304,0.2941,0.0377,0.0817,0.0326,1.6606,1.5545,1.4112,0.0691,0.0062,0.0134,0.0237,0.0078,2.7419,2.6956,0.9638,0.9698,0.7621,3.4055,4.4909,1.4872,1.6398,1.3639,-387.45,36.9
ERABOO,100.37,-1.1,197.19,2.45,8.15,6.48,41.2,36,23,676.59,-3.423,-1.9735,2.1,1.98,0.37,-0.05,2.56,2.14,3.21,3.07,2.39,1.34,1.23,82.51,80.61,90.44,102.24,99.25,115.75,110.4,126.72,-0.4482,0.1693,-0.2168,0.3535,0.1473,-0.1053,-0.4734,0.0255,2.0915,2.952,3.6694,2.0454,1.6279,4.0025,2.0788,28.9322,7.2887,5.6609,25.2966,8.4171,8.7798,5.6752,8.4453,0.5551,0,0.5642,0.4011,0.3839,0.2899,0.5024,0,1.8675,1.0708,2.7928,2.8154,0.915,1.0408,0.8596,2.9996,3.5775,1.183,1.2049,1.1896,3.6061,3.4794,3.8466,3.5319,10.163,2.0245,2.0657,2.0181,2.0308,2.024,6.3522,12.5552,4.184,4.1606,4.2106,10.5406,2.0866,2.177,2.1156,2.0788,2.0826,1.4689,1.4955,1.4594,0.077,0.0171,0.0207,0.0091,1.5558,1.5936,1.4842,0.0703,0.0115,0.0171,0.016,0.0126,2.739,2.7027,0.9739,0.9586,0.7702,3.4054,4.4982,1.5285,1.5941,1.3756,-384.16,36.9
FOCZAZ,81.69,-1.1,213.89,2.12,7.96,8.13,39.7,29.1,17.8,670.17,-4.1012,-3.0573,1.93,2.08,0.04,-0.01,2.52,2.06,3.18,2.91,2.51,1.36,1.23,88.13,78.34,88.94,101.92,105.33,125.85,108.64,124.82,-0.4201,0.1566,-0.148,0.3256,0.2401,0.2308,-0.4553,0.087,2.7451,2.9929,3.7199,3.2563,3.204,4.101,2.1081,29.1811,7.2068,5.7499,25.2362,7.057,7.0667,5.7417,8.3948,0.6361,0,0.4986,0.4455,0.3932,0.665,0.4721,0,1.9093,1.073,2.7926,2.785,0.8964,1.1122,0.7764,3.016,3.5778,1.2476,1.1808,1.1494,3.6176,3.4751,3.824,3.6056,10.1356,2.0172,2.0559,2.0144,2.0297,2.0185,6.3613,12.6525,4.2234,4.1872,4.2419,10.406,2.0463,2.086,2.1138,2.069,2.0909,1.1874,1.1556,1.1878,0.2559,0.0393,0.0718,0.0309,1.0829,1.1852,1.2695,0.2424,0.047,0.0355,0.07,0.0322,2.7431,2.6866,0.988,0.9255,0.7731,3.3967,4.4441,1.5683,1.532,1.3437,-432.72,36.9
HOXMEN,79.56,3.09,172.25,2.56,15.16,6.2,32.8,23.9,14.8,861.05,-3.8874,-2.4896,2.03,2.23,-0.03,-0.05,2.56,2.07,3.14,2.87,2.47,1.36,1.23,86.28,77.28,90.93,101.47,104.15,126.92,108.42,124.87,-0.3863,0.1605,-0.1792,0.2703,0.1398,0.0836,-0.4542,0.0731,1.964,2.9947,3.7103,2.0623,3.1094,4.104,2.0738,28.9263,7.2168,5.7413,25.3119,8.4538,7.4823,5.747,8.4033,0.5559,0,0.5495,0.4664,0.3846,0.4159,0.2707,0,1.8779,1.0762,2.7912,2.7989,0.8865,1.0976,0.8148,3.0079,3.5785,1.1394,1.2309,1.2082,3.6426,3.6015,3.8296,3.4951,10.1439,2.0229,2.0472,2.014,2.0343,2.0255,6.3588,12.5551,4.2173,4.1402,4.1976,10.4722,2.0794,2.1,2.0799,2.1354,2.0775,1.5032,1.5257,1.4138,0.0765,0.0226,0.0179,0.0101,1.1566,1.2162,1.3985,0.1562,0.021,0.0261,0.0208,0.0556,2.7431,2.6863,0.8995,0.9505,0.8362,3.3973,4.4576,1.463,1.6022,1.3924,-441.76,36.9
JEDZAT,84.65,-1.8,187.04,1.63,9.39,8.42,34.6,26.9,19.5,692.1,-3.8932,-2.5049,2.07,2,0.05,-0.03,2.55,2.05,3.07,2.95,2.48,1.36,1.23,87.44,75.16,90.08,98.24,107.51,126.28,108.87,124.78,-0.3587,0.1564,-0.1682,0.2663,0.171,0.1837,-0.4587,0.0717,2.2108,3.0179,3.6861,2.0556,2.0952,4.0723,2.1067,29.0335,7.2137,5.7455,25.3143,8.3606,8.3286,5.7436,8.3874,0.5769,0,0.5467,0.5295,0.3683,0.3423,0.4643,0,1.9077,1.0675,2.7912,2.7931,0.947,0.9231,0.923,3.0073,3.5846,1.124,1.1592,1.3013,3.6511,3.6463,3.8203,3.4491,10.1498,2.0292,2.0346,2.0216,2.036,2.0283,6.3454,12.5424,4.2212,4.1256,4.1956,10.4706,2.1012,2.0737,2.0767,2.1475,2.0715,1.3939,1.4676,1.5412,0.0775,0.0141,0.0188,0.0114,1.5488,1.4604,1.3919,0.0782,0.006,0.0176,0.0254,0.0103,2.744,2.6904,0.8856,0.9058,0.8991,3.4004,4.456,1.4324,1.5195,1.504,-445.23,36.9
MOMMUX,79.75,2.6,186.65,2.56,6.73,5.53,36.1,27,14.8,571.32,-3.9519,-2.38,2.04,2.17,-0.02,-0.03,2.57,2.1,3.16,3.04,2.42,1.36,1.23,84.1,78.46,90.68,101.37,105.43,120.48,109.17,125.42,-0.4265,0.1599,-0.1948,0.3433,0.1278,0.0786,-0.4589,0.0627,2.1197,2.9661,3.6752,3.1014,3.0917,4.0096,2.0749,28.9916,7.2761,5.7031,25.2432,7.1098,7.4773,5.7048,8.4218,0.5834,0,0.5625,0.423,0.3962,0.5044,0.3358,0,1.8494,1.0615,2.7899,2.8036,0.9051,1.1062,0.7923,3.0076,3.58,1.2119,1.2218,1.1462,3.6132,3.4292,3.8246,3.6236,10.1485,2.021,2.0574,2.019,2.0342,2.017,6.3741,12.5911,4.1923,4.1754,4.2234,10.4611,2.0539,2.15,2.1119,2.0589,2.0865,1.2254,1.0907,1.2202,0.295,0.0341,0.0711,0.0469,1.1623,1.1919,1.4129,0.1593,0.0556,0.0371,0.0152,0.0313,2.7419,2.6906,0.9867,0.9386,0.7653,3.3995,4.4657,1.5378,1.5707,1.3572,-424.67,36.9
NEJGAM,93.07,2.6,206.97,1.7,10.82,8.28,34.4,24.4,16.3,705.87,-3.8794,-2.644,1.91,1.95,0.01,-0.04,2.57,2.05,3.11,2.97,2.5,1.35,1.23,87.06,75.65,88.94,98.81,107.2,125.16,108.99,125.33,-0.3533,0.1549,-0.1567,0.2558,0.1507,0.0516,-0.4633,0.0628,2.6407,2.9987,3.6771,2.0648,2.0313,4.0936,2.0965,29.0271,7.226,5.7415,25.3043,8.3643,8.4884,5.7471,8.3991,0.5765,0,0.54,0.4737,0.3388,0.5171,0.6474,0,1.8926,1.0975,2.794,2.7904,0.9817,0.8984,0.9103,3.0091,3.586,1.1421,1.1852,1.2587,3.6513,3.587,3.8032,3.5458,10.141,2.0248,2.0482,2.0147,2.024,2.0293,6.3468,12.6067,4.2114,4.1745,4.2208,10.3994,2.0827,2.07,2.1232,2.0793,2.0442,1.3616,1.5782,1.4703,0.0853,0.0204,0.021,0.0114,1.535,1.5601,1.4215,0.0734,0.0055,0.0174,0.0227,0.0085,2.7433,2.6942,0.9549,0.9171,0.8222,3.4017,4.4638,1.4807,1.5513,1.4318,-427.96,36.9
PIMBAP07,94.33,-3.13,193.5,1.7,5.8,7.62,31.1,19.9,10.3,549.43,-3.4043,-2.2494,1.96,2.03,0,0.01,2.52,2.12,3.21,3.1,2.45,1.34,1.23,85.88,80.51,89.07,100.52,103.28,117.86,109.87,126.38,-0.4536,0.1525,-0.1806,0.3212,0.0825,0.1107,-0.4709,0.0294,2.1927,2.9286,3.6617,2.0305,2.0477,3.9893,2.0807,28.9721,7.3087,5.7027,25.2843,8.3995,8.4368,5.6611,8.4449,0.6427,0,0.5397,0.4022,0.3521,0.5058,0.345,0,1.8694,1.0748,2.7973,2.8051,0.9274,1.0498,0.8279,3.0127,3.5881,1.1735,1.2257,1.1888,3.6158,3.5345,3.8317,3.5208,10.1563,2.0244,2.0589,2.0173,2.0299,2.0259,6.3568,12.5997,4.2079,4.1708,4.221,10.4969,2.0903,2.1339,2.1151,2.0936,2.0641,1.4671,1.5978,1.4221,0.0747,0.0179,0.0227,0.0095,1.4354,1.5879,1.4339,0.077,0.005,0.019,0.0198,0.0092,2.7413,2.7,0.9765,0.9613,0.7622,3.4053,4.4944,1.521,1.6073,1.3661,-385,36.9
SEFLUN,83.05,-1.63,179.97,1.7,9.68,10.51,31.1,23.5,17.4,822.88,-4.2064,-3.0093,2.1,1.98,0.05,-0.04,2.57,3.1,3.22,1.88,2.35,1.3,1.27,63.74,81.64,88.58,74.99,62.17,169.38,111.36,128.29,-0.362,0.1751,-0.2388,0.4159,0.0477,0.1701,-0.4336,0.092,2.4089,3.0838,3.698,1.8784,2.12,3.9095,2.097,28.9692,7.2088,5.7427,25.1925,8.3586,8.3567,5.6668,8.4609,0.5968,0,0.6106,0,0.3919,0.3407,0.4444,0.6716,1.2765,1.486,2.789,2.8167,1.0388,0.8775,0.9004,3.0087,3.5727,1.184,1.1362,1.2524,3.6177,3.6598,3.8543,3.2632,10.1684,2.0202,2.0374,2.0283,2.0443,2.0381,6.3497,12.5734,4.2218,4.1771,4.1744,10.4387,2.1159,2.1332,2.0461,2.1092,2.0342,1.4755,1.5725,1.338,0.1079,0.0276,0.0306,0.0154,1.4115,1.5315,1.4625,0.0788,0.0069,0.0169,0.0216,0.0092,2.7247,2.6926,0.9505,0.9067,0.8355,3.3317,4.489,1.5377,1.4844,1.4669,-375.26,36.9
UFORUE,86.94,3.32,181.28,1.88,4.77,6.07,32.8,21.7,9.1,519.28,-3.9643,-2.3516,2.32,1.93,-0.13,0,2.55,2.08,3.18,3.09,2.44,1.35,1.23,85.33,79.07,89.09,101.04,105.39,118.72,109.56,126.05,-0.4072,0.1511,-0.1806,0.3374,0.1734,0.0404,-0.4659,0.0429,2.2115,2.9562,3.6864,2.105,3.2632,3.9959,2.0904,29.0929,7.2977,5.7097,25.2661,8.3115,6.9856,5.6775,8.4271,0.6052,0,0.5543,0.4536,0.3547,0.162,0.6856,0,1.8804,1.0551,2.7948,2.8021,0.9136,1.0331,0.8554,3.0089,3.5908,1.1933,1.2029,1.1946,3.6215,3.4786,3.8521,3.5518,10.1412,2.0209,2.0554,2.0133,2.0304,2.0213,6.3953,12.5724,4.1972,4.123,4.2522,10.4393,2.0723,2.1247,2.0968,2.0764,2.069,1.3896,1.5503,1.4438,0.0711,0.0182,0.0185,0.0086,1.1569,1.109,1.3212,0.309,0.0622,0.0444,0.0823,0.0413,2.7424,2.6961,0.9805,0.9563,0.7593,3.4044,4.4815,1.5277,1.596,1.3578,-400.25,36.9
UJEYUG,91.68,0.32,197.19,1.87,8.91,6.96,39.9,31.7,19.8,674.61,-3.3374,-2.2562,2.01,1.95,-0.02,-0.07,2.56,2.13,3.26,2.96,2.44,1.35,1.23,82.6,81.12,87.9,103.45,100.53,122.19,109.09,125.7,-0.3692,0.1577,-0.1891,0.3261,0.0175,0.1703,-0.4602,0.0681,2.3967,2.935,3.701,1.9114,2.0842,3.9779,2.0862,29.0239,7.2476,5.7105,25.2883,8.536,8.3556,5.6681,8.4224,0.5467,0,0.5926,0.4143,0.3717,0.5219,0.5624,0,1.895,1.0565,2.7942,2.8061,1.0579,0.9453,0.8029,3.0111,3.584,1.1415,1.2786,1.1639,3.6237,3.7423,3.5986,3.5395,10.1523,2.027,2.0336,2.0467,2.0216,2.0235,6.3698,12.5303,4.1224,4.2027,4.2052,10.4689,2.1103,2.1061,2.126,2.0571,2.0694,1.5629,1.5417,1.4173,0.0735,0.0192,0.0193,0.0118,1.4057,1.5759,1.4234,0.0841,0.0062,0.0224,0.0237,0.0113,2.7406,2.6917,0.9459,0.9815,0.7643,3.4003,4.4603,1.4858,1.626,1.3485,-413.32,36.9
UQUDUH01,93.74,-1.02,194.78,1.55,11.68,7.61,32.9,22.2,13.5,751.1,-3.3973,-2.3132,1.98,1.96,-0.01,0.01,2.53,2.1,3.24,3.04,2.46,1.35,1.23,86.08,80.76,88.77,101.68,101.47,119.05,109.84,126.2,-0.429,0.1523,-0.1743,0.3045,0.074,0.1176,-0.4703,0.0343,2.3442,2.9423,3.7129,2.0317,2.0351,3.9375,2.0849,28.9778,7.3037,5.7166,25.3044,8.3968,8.4347,5.6406,8.4417,0.6101,0,0.5605,0.4217,0.3551,0.4922,0.4248,0,1.8625,1.0547,2.7978,2.8027,0.9742,0.9963,0.8322,3.0123,3.5887,1.1426,1.2326,1.2135,3.6279,3.6539,3.7985,3.4442,10.1523,2.0256,2.0412,2.0183,2.032,2.0352,6.3449,12.6078,4.2151,4.1854,4.2073,10.476,2.0916,2.088,2.1038,2.1324,2.0602,1.4583,1.609,1.4239,0.0726,0.0171,0.0226,0.0086,1.412,1.6088,1.4303,0.0792,0.0078,0.0202,0.0203,0.01,2.7407,2.6989,0.9673,0.9654,0.7663,3.4039,4.4908,1.4936,1.6274,1.3697,-388.27,36.9
