Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
ILESAV,78.24,1.27,209.92,2.11,8.35,9.34,35.5,28.4,19.2,683.46,-4.5266,-2.5967,2.16,2.09,-0.12,0.01,2.55,1.98,1.97,1.32,1.24,47.21,70.77,120.9,127.89,110.86,62.02,126.73,-0.3664,-0.2631,0.1017,0.4335,0.1728,0.1811,-0.4973,0.022,3.139,3.4898,3.0797,1.2916,2.0979,3.1234,4.3027,1.9687,29.2785,5.4661,7.1434,25.1974,8.3869,6.9454,5.8298,8.508,0.7248,0.3728,0.6418,0.3604,0.3382,0.4196,0,1.7079,1.4057,2.7724,0.884,0.9941,1.044,2.9951,1.258,1.1556,1.25,3.6094,3.258,3.7809,3.7577,10.1415,2.046,2.0369,2.0106,2.0387,2.0094,6.3362,12.6355,4.2751,4.2076,4.1528,10.3944,2.1456,2.1106,2.039,2.051,2.0481,1.3888,1.436,0.0729,0.0136,0.0249,0.0086,1.1206,1.2031,1.1797,0.3024,0.0337,0.0611,0.1123,0.0242,2.7353,2.7124,0.9705,0.9453,0.7966,1.5667,1.5044,1.4408,-123.54,10.5
OHENUN,83.31,1.6,176.64,2.84,8.25,8.71,27.9,20.5,16.6,677.91,-4.7208,-3.9925,2.29,1.94,-0.31,0.09,2.52,1.96,1.95,1.33,1.23,46.16,68.37,120.31,124.89,112.47,65.47,125,-0.325,-0.2367,0.1156,0.399,0.2182,0.2451,-0.4989,0.02,3.0702,3.4906,3.0482,1.2548,2.1206,2.1977,4.2274,2.0546,29.2706,5.4844,7.1931,25.2225,8.3391,8.2554,5.7903,8.4741,0.8227,0.36,0.6803,0.2693,0.252,0.5543,0,1.8407,1.2627,2.7721,0.8646,0.9686,1.0736,2.9956,1.225,1.2077,1.2145,3.6237,3.2213,3.7743,3.8421,10.1227,2.0509,2.0198,2.0055,2.0406,2.0058,6.3412,12.6035,4.2766,4.1966,4.1302,10.3798,2.1392,2.1034,2.068,2.0401,2.0291,1.3065,1.4592,0.0728,0.0127,0.0258,0.0083,1.326,1.4385,1.5678,0.0826,0.0144,0.008,0.0268,0.0086,2.7383,2.7111,0.9561,0.8359,0.9191,1.551,1.4263,1.5297,-166.24,10.5
OJADIO,97.27,0.31,191.84,2.8,5.48,8.53,34.5,22.4,12,553.55,-3.0454,-1.3781,2.11,2.03,-0.08,0.02,2.6,2.38,1.98,1.31,1.24,58.8,69.63,124.63,123.7,111.41,51.57,126.7,-0.4259,-0.311,0.0904,0.5167,-0.1102,-0.0925,-0.5287,-0.05,2.7318,3.6857,2.989,1.4057,1.8378,1.8887,4.1935,1.9935,29.087,5.6846,7.254,25.1598,8.5771,8.5285,5.7946,8.5312,0.5215,0.1952,0.6921,0.67,0.3768,0.5104,0,1.8111,1.3138,2.7823,0.9216,0.957,1.0767,2.9945,1.2568,1.2511,1.1627,3.5538,3.3922,3.5514,3.7545,10.2031,2.0752,2.0383,2.0237,2.0492,2.0167,6.3513,12.6013,4.2359,4.1902,4.1752,10.473,2.0936,2.0966,2.072,2.1256,2.0852,1.6211,1.3998,0.0726,0.0197,0.0183,0.01,1.5308,1.4907,1.5947,0.0744,0.0224,0.0109,0.0119,0.0185,2.7416,2.7359,0.9517,0.8416,0.9426,1.5727,1.484,1.5125,-122.39,10.5
ONIQEI,91.19,2.82,184.78,3.82,9.09,8.86,36.3,28.7,20,734,-3.4999,-1.5468,2.01,2.18,0.01,-0.18,2.6,2.31,1.99,1.32,1.24,56.92,70.72,117.87,130.65,111.22,52.36,125.84,-0.3966,-0.3061,0.0969,0.5544,0.107,0.1566,-0.526,-0.0404,2.6191,3.5294,2.9553,1.3856,2.0214,2.019,4.181,2.0059,29.0996,5.5714,7.3017,25.1361,8.3731,8.4292,5.7691,8.53,0.5658,0.1651,0.6866,0.6187,0.4388,0.2777,0,1.8052,1.299,2.7772,0.9278,0.9265,1.0994,2.9977,1.2121,1.2494,1.2037,3.5533,3.1286,3.7179,3.8428,10.1761,2.0525,2.0245,2.0136,2.0718,2.0138,6.3416,12.5644,4.2493,4.1688,4.1463,10.4903,2.123,2.0859,2.0794,2.087,2.1149,1.5733,1.429,0.0729,0.024,0.0156,0.0099,1.4752,1.4363,1.4988,0.0724,0.0172,0.0021,0.0196,0.0084,2.7406,2.7327,0.9536,0.8084,0.9706,1.5262,1.4557,1.5798,-143.55,10.5
POXYUZ,90.49,4.09,186.69,3.24,9.1,9,32,27.7,21.8,808.41,-3.4889,-1.5915,1.94,2.17,-0.03,-0.16,2.6,2.28,1.97,1.31,1.24,56.12,70.8,120.77,127.13,111.56,53.08,126.08,-0.3639,-0.3083,0.0916,0.5258,-0.0383,0.2037,-0.524,-0.038,2.8802,3.7369,3.0202,1.4275,1.8421,2.0472,4.0955,1.9941,29.1653,5.6863,7.2458,25.1457,8.5923,8.3427,5.7539,8.5338,0.5744,0.2509,0.7419,0.6455,0.6285,0.2666,0,1.7729,1.2902,2.7805,0.9178,0.9659,1.0699,2.9938,1.2376,1.2541,1.1807,3.5617,3.3578,3.543,3.7942,10.1905,2.0761,2.0333,2.0161,2.0464,2.0186,6.3438,12.592,4.2405,4.2047,4.1468,10.4277,2.0833,2.0881,2.0673,2.1358,2.0533,1.5887,1.4231,0.0727,0.0196,0.0172,0.0129,1.4041,1.4402,1.5182,0.0759,0.0194,0.0034,0.0224,0.0098,2.7398,2.7317,0.9531,0.8483,0.9303,1.5491,1.4914,1.5189,-172.81,10.5
REBPOF,80.13,1.57,190.17,3.46,9.89,7.99,37.6,32.1,20.8,721.5,-3.5485,-1.5955,1.99,2.19,0.01,-0.13,2.62,2.34,2,1.32,1.24,57.58,70.63,120.38,127.8,111.45,51.79,125.37,-0.4051,-0.3063,0.0848,0.5587,0.0976,0.1779,-0.5357,-0.0343,2.6311,3.606,2.8463,1.3899,2.8581,2.0211,4.0557,2.0196,29.2044,5.6319,7.3723,25.1291,7.4127,8.413,5.7514,8.5199,0.5503,0.1777,0.669,0.6413,0.5472,0.2712,0,1.7912,1.1973,2.778,0.9488,0.9415,1.0651,2.9979,1.2857,1.2535,1.1366,3.5558,3.3692,3.6299,3.6818,10.1782,2.0616,2.0371,2.0245,2.0398,2.0153,6.3488,12.5828,4.2492,4.1985,4.135,10.4733,2.1308,2.1139,2.0764,2.1059,2.0462,1.264,1.2617,0.2253,0.0221,0.0741,0.023,1.3708,1.4337,1.5852,0.0743,0.0177,0.0026,0.0221,0.0085,2.7426,2.7379,0.9632,0.8181,0.9566,1.6038,1.4594,1.4919,-113.82,10.5
SOBSOS,87.37,-0.32,183.23,1.7,8.55,8.56,30,23.7,18,699.66,-3.7159,-2.1973,1.98,2.12,-0.02,-0.11,2.61,2.24,1.97,1.31,1.24,54.55,71.93,117.05,130.63,111.68,53.51,125.67,-0.3509,-0.3048,0.0908,0.5372,0.1008,0.1178,-0.523,-0.0355,2.8064,3.5973,3.0064,1.369,2.0333,1.8998,4.11,2.0024,29.1338,5.5937,7.2556,25.1515,8.4438,8.5301,5.7493,8.5288,0.5596,0.2212,0.7429,0.6346,0.5212,0.2999,0.1127,1.7784,1.285,2.7783,0.9157,0.9561,1.0782,2.9937,1.2367,1.2598,1.1765,3.5715,3.411,3.5032,3.781,10.171,2.0635,2.0286,2.0181,2.0446,2.0163,6.3309,12.5883,4.2387,4.2103,4.1393,10.4314,2.0474,2.083,2.0829,2.1655,2.0526,1.4559,1.41,0.0736,0.0166,0.0237,0.0079,1.4462,1.4244,1.5732,0.0739,0.0192,0.0063,0.0195,0.0108,2.7391,2.73,0.9446,0.831,0.9543,1.5367,1.4793,1.5422,-155.14,10.5
TEBHAM,81.02,2.56,174.34,3.59,6.52,9.18,29.2,24.7,18.5,668.26,-3.4973,-1.8186,2.13,2.05,-0.1,-0.03,2.69,2.21,1.96,1.31,1.24,52.89,75.65,116.3,132.08,111.62,51.47,125.34,-0.3175,-0.3324,0.0865,0.5092,0.0487,0.0623,-0.5249,-0.0337,2.6007,3.733,3.021,1.3302,1.8325,1.8295,4.1446,2.0023,29.0813,5.6791,7.2709,25.1329,8.5955,8.5997,5.7632,8.5246,0.433,0.2556,0.7429,0.7207,0.3551,0.4054,0.1062,1.7831,1.3004,2.7754,0.9277,0.958,1.082,2.9913,1.2482,1.2609,1.1673,3.5729,3.3712,3.5735,3.7758,10.1721,2.0649,2.0293,2.0195,2.0443,2.014,6.3352,12.5566,4.2346,4.187,4.135,10.4254,2.0453,2.0871,2.093,2.1568,2.0432,1.4996,1.4062,0.0707,0.0171,0.0213,0.0082,1.4804,1.4666,1.5467,0.0732,0.0133,0.0106,0.0215,0.0094,2.7388,2.7311,0.9449,0.826,0.9602,1.5461,1.4712,1.5398,-94.06,10.5
TLALAN11,82.51,-1.7,214.1,3.1,6.56,8.32,40.8,32.2,18.1,640,-3.6786,-1.6896,2.13,2,-0.04,0.02,2.64,2.27,2.01,1.3,1.25,55.09,72.92,131.78,117.03,110.6,51.99,127.15,-0.3953,-0.3157,0.1134,0.5509,0.1508,0.117,-0.4948,-0.0339,2.7982,3.4778,3.0106,1.3826,2.0742,3.0381,4.1376,1.8907,29.216,5.5312,7.2253,25.1179,8.4233,7.265,5.7651,8.5754,0.5194,0.1914,0.6072,0.6395,0.3273,0.5695,0,1.5408,1.4408,2.7747,0.9406,0.9568,1.0655,2.9987,1.2972,1.2177,1.1317,3.5624,3.3127,3.6768,3.6948,10.1766,2.061,2.0401,2.0194,2.0422,2.014,6.3313,12.5957,4.2453,4.1969,4.1535,10.468,2.1315,2.1039,2.0461,2.121,2.0655,1.4102,1.4334,0.0743,0.0157,0.0242,0.0082,1.2484,1.2679,1.1423,0.2258,0.0208,0.0427,0.074,0.0222,2.7352,2.718,0.9856,0.7934,0.9389,1.6121,1.4937,1.4667,-118.74,10.5
VEVMAK,61.99,0.73,152.81,3.8,6.85,10.53,25,16.7,13.1,738.57,-3.6824,-1.9193,2.09,2.18,0.1,-0.18,2.59,2.33,1.95,1.32,1.24,57.71,69.76,117.62,129.93,111.59,52.53,125.27,-0.344,-0.3002,0.0783,0.573,0.1094,0.0973,-0.5255,-0.0325,2.5881,3.6907,3.016,1.4478,2.0089,2.0057,4.1788,2.0022,29.2006,5.6885,7.248,25.0871,8.4503,8.4653,5.7852,8.5171,0.5812,0.1975,0.7531,0.689,0.445,0.3528,0.1011,1.7858,1.3045,2.779,0.9306,0.9845,1.0344,2.9953,1.1804,1.2243,1.277,3.5573,3.1995,3.6676,3.8047,10.1715,2.0609,2.0334,2.0117,2.0505,2.015,6.3531,12.5405,4.2062,4.1691,4.1652,10.4501,2.1094,2.1045,2.0854,2.0856,2.0651,1.4606,1.5119,0.0695,0.0078,0.0162,0.0093,1.4563,1.4683,1.5248,0.0677,0.0131,0.013,0.018,0.0094,2.7399,2.7312,0.9437,0.8483,0.9393,1.484,1.4783,1.593,-133.99,10.5
XIMXID,79.55,9.95,166.25,4.45,8.75,9.62,30.6,26.9,19.7,778.64,-4.3695,-2.5547,2.35,2.1,-0.34,-0.05,2.53,1.98,2,1.31,1.26,47.32,70.01,93.57,154.92,111.21,62.67,121.3,-0.3846,-0.2508,0.1108,0.4527,0.1768,0.2302,-0.5043,0.0385,3.0032,3.6318,2.8908,1.3242,2.0257,2.1018,4.0372,1.9472,29.1165,5.5145,7.225,25.1912,8.3813,8.3119,5.7532,8.4769,0.7732,0.4424,0.5645,0.3711,0.1569,0.2909,0.3092,1.576,1.3341,2.7703,0.9003,0.9753,1.0354,2.997,1.163,1.2525,1.2375,3.6021,3.288,3.6842,3.8124,10.1409,2.0561,2.0294,2.0081,2.035,2.0123,6.3236,12.5819,4.2545,4.1715,4.1559,10.4787,2.0952,2.1322,2.0678,2.1014,2.0822,1.4118,1.4272,0.0719,0.0209,0.0179,0.0099,1.3903,1.4287,1.5426,0.0746,0.0171,0.0015,0.0227,0.0088,2.7286,2.7097,0.945,0.8232,0.9415,1.4475,1.4832,1.5764,-118.11,10.5
ZAKZOD,89.79,5.71,181.56,1.7,7.23,8.01,30.7,20.4,13.7,624.68,-3.3116,-1.5606,2.3,1.97,-0.22,-0.04,2.64,2.23,1.96,1.31,1.24,54.15,73.48,122.1,125.2,111.36,52.37,126.09,-0.3461,-0.3172,0.0824,0.5156,0.1661,-0.0976,-0.5237,-0.0438,2.7503,3.6452,3.0408,1.4069,2.0851,1.8585,4.2137,2.0043,29.1811,5.6504,7.1833,25.104,8.3113,8.6012,5.8036,8.5167,0.4885,0.2506,0.7344,0.7208,0.1601,0.6529,0,1.8113,1.3171,2.7772,0.9766,0.9647,1.0131,2.9927,1.2509,1.2555,1.1733,3.5702,3.7135,3.4825,3.5094,10.1827,2.026,2.0399,2.0485,2.0419,2.0264,6.3487,12.5772,4.2219,4.1695,4.1859,10.4199,2.0107,2.1427,2.0824,2.1109,2.0734,1.4426,1.4682,0.0691,0.0204,0.0154,0.0105,1.5427,1.4846,1.6036,0.0668,0.0193,0.01,0.0122,0.0136,2.7399,2.7317,0.9574,0.8137,0.9607,1.5602,1.4623,1.5409,-133.72,10.5
ZUMXIQ02,90.97,4.44,183.47,2.43,8.88,8.55,29.9,23.1,17.6,754.31,-4.3301,-2.5497,2.04,2.17,-0.03,-0.23,2.56,2.01,1.97,1.32,1.24,48.36,71.79,114.64,133.53,111.71,59.84,124.74,-0.3334,-0.2785,0.0955,0.4536,0.1535,0.1968,-0.5185,-0.0166,2.9693,3.5695,3.0141,1.2887,2.0636,2.0592,4.2088,2.0036,29.164,5.5019,7.2019,25.2011,8.4168,8.3829,5.7979,8.5152,0.6728,0.3624,0.7143,0.4438,0.4194,0.2917,0,1.7949,1.3261,2.771,0.9099,0.9638,1.0565,2.9945,1.2664,1.2562,1.147,3.5998,3.3337,3.7147,3.732,10.1456,2.0533,2.0316,2.0181,2.0343,2.0083,6.3315,12.5896,4.2629,4.1902,4.1365,10.4119,2.1042,2.1176,2.0886,2.0901,2.0114,1.4477,1.4125,0.075,0.017,0.0242,0.0086,1.3936,1.4432,1.537,0.0743,0.0188,0.0034,0.0217,0.0089,2.7377,2.7252,0.9718,0.8086,0.9448,1.5916,1.4501,1.501,-123.48,10.5
DMANPQ10,80.47,3.51,175.85,2.19,6.07,9.66,27.4,17.3,11.4,643.53,-4.4395,-3.8095,2.19,1.94,-0.25,0.03,2.55,2,1.95,1.32,1.24,47.83,70.57,115.97,131.67,112.25,61.61,124.9,-0.3333,-0.2626,0.1035,0.4191,0.2181,0.1723,-0.5175,-0.0107,3.1201,3.5083,3.0219,1.2696,2.0966,2.1549,4.1982,2.0292,29.2557,5.4711,7.1964,25.229,8.3354,8.3335,5.7885,8.5007,0.7285,0.3225,0.7286,0.3519,0.2982,0.5775,0,1.8288,1.2936,2.7733,0.9151,0.9611,1.0443,2.9916,1.2534,1.2686,1.1406,3.6119,3.3615,3.7462,3.7015,10.1404,2.0484,2.0329,2.0198,2.0305,2.0088,6.3347,12.6214,4.2672,4.2123,4.1419,10.3768,2.1112,2.123,2.0912,2.0486,2.0029,1.285,1.4478,0.0732,0.0146,0.0255,0.0078,1.3867,1.4569,1.5576,0.0787,0.0131,0.0072,0.0263,0.008,2.7369,2.7236,0.9744,0.7951,0.9541,1.6012,1.4358,1.5009,-165.96,10.6
GUVREV,90.47,-0.12,187.23,1.1,9.42,5.69,35.8,25.5,14.3,598.88,-3.4278,-1.841,2.1,2.03,-0.09,0,2.58,2.32,1.99,1.32,1.24,57.44,69.51,120.28,127.63,111.59,53.05,125.77,-0.419,-0.2924,0.0963,0.5294,0.0774,0.1054,-0.5271,-0.0384,2.7521,3.5349,2.9703,1.3768,1.9685,2.023,4.2235,2.0153,29.1296,5.5732,7.3019,25.1509,8.396,8.3564,5.7978,8.5247,0.5868,0.2063,0.6717,0.5885,0.3559,0.4239,0,1.8266,1.3142,2.7792,0.9686,0.9417,1.0347,2.9979,1.2916,1.2361,1.1372,3.5584,3.4646,3.6782,3.5633,10.1796,2.0475,2.0435,2.0333,2.0354,2.0198,6.3464,12.5951,4.2472,4.1733,4.1745,10.4773,2.14,2.1355,2.0712,2.0702,2.0605,1.5926,1.4411,0.0695,0.0201,0.0157,0.009,1.4932,1.4331,1.5378,0.0718,0.0221,0.0054,0.017,0.0097,2.7417,2.7323,0.9796,0.802,0.9507,1.6333,1.4392,1.4869,-195.6,10.6
JOTCAW,79.87,1.74,173.85,2.84,8.03,10.11,27.3,20.2,15,734.83,-4.2545,-3.0713,2.02,2.14,0.09,-0.21,2.56,2,1.96,1.32,1.24,48.13,72.31,115.96,132.14,111.82,59.56,124.81,-0.339,-0.2842,0.0944,0.4482,0.2051,0.1349,-0.5213,-0.0234,2.9818,3.5342,3.0058,1.2997,2.0837,1.9968,4.1964,2.0124,29.2053,5.4802,7.2198,25.2034,8.3578,8.4673,5.7927,8.5127,0.6771,0.3354,0.7173,0.4426,0.404,0.3699,0,1.8061,1.3087,2.7699,0.8992,0.9638,1.068,2.9949,1.2465,1.2638,1.1597,3.6002,3.2957,3.7118,3.7749,10.148,2.0581,2.0297,2.0147,2.0379,2.0076,6.3264,12.6072,4.271,4.1997,4.1364,10.4051,2.0918,2.1032,2.0871,2.1053,2.0177,1.3677,1.4605,0.0779,0.0123,0.0273,0.0085,1.4099,1.4171,1.599,0.073,0.0168,0.0022,0.0234,0.0079,2.7381,2.7273,0.9694,0.8006,0.9573,1.5666,1.4462,1.5359,-130.45,10.6
KOSCED,82.76,1.66,175.24,3.15,8.55,9.63,27.8,22,19.6,730.99,-4.4868,-3.9847,2.27,1.97,-0.2,0,2.55,2,1.95,1.32,1.24,47.71,70.66,112.24,135.54,112.06,61.63,123.95,-0.3225,-0.2617,0.0988,0.4458,0.2183,0.2305,-0.5148,-0.0039,3.108,3.5869,3.0546,1.31,2.0537,2.1786,4.1577,2.0162,29.2808,5.5171,7.1928,25.1929,8.3704,8.2906,5.7738,8.503,0.7334,0.3449,0.7534,0.3919,0.2633,0.5589,0.1202,1.7863,1.3009,2.7721,0.8861,0.9617,1.0722,2.9924,1.2258,1.2706,1.1705,3.6101,3.2694,3.6914,3.8244,10.1395,2.0603,2.0251,2.0094,2.0366,2.0082,6.3342,12.5929,4.2779,4.191,4.124,10.395,2.0495,2.0963,2.0765,2.128,2.0447,1.2881,1.4542,0.0731,0.0135,0.0253,0.0081,1.3124,1.4633,1.5665,0.0794,0.012,0.0069,0.0273,0.0081,2.7359,2.7212,0.9655,0.8144,0.9413,1.5357,1.4581,1.5394,-169.98,10.6
LEGVOJ,79,2.73,186.43,2.81,12.67,10.64,27.8,22.2,17.8,933.69,-4.1911,-3.1698,2.16,1.99,-0.19,0.02,2.57,2.02,1.97,1.32,1.24,48.71,73.02,112.09,136.05,111.86,58.28,124.38,-0.3381,-0.2947,0.0978,0.4642,0.1197,0.1472,-0.5226,-0.0204,2.8936,3.5188,2.9824,1.322,1.9044,1.9484,4.2003,1.996,29.157,5.4759,7.227,25.1855,8.5283,8.4974,5.8014,8.5103,0.648,0.316,0.6924,0.4812,0.3139,0.437,0,1.7836,1.3133,2.771,0.9248,0.9699,1.0448,2.9935,1.2543,1.2578,1.1546,3.5953,3.3729,3.707,3.6857,10.1528,2.0512,2.0347,2.0231,2.0339,2.0099,6.3206,12.6084,4.2621,4.2049,4.1414,10.4088,2.079,2.1139,2.092,2.1063,2.0177,1.4228,1.4275,0.0732,0.016,0.0237,0.0078,1.4201,1.4578,1.5471,0.079,0.0135,0.0072,0.0258,0.0085,2.7368,2.7275,0.9687,0.799,0.9598,1.5673,1.4471,1.5328,-114.94,10.6
NASVAF,60.94,1.2,184.92,2.14,9.04,8.99,31,24.9,18.2,714.53,-3.6984,-1.6149,2.21,2.1,-0.02,-0.07,2.6,2.29,1.97,1.31,1.24,56.46,71.03,117.02,131.16,111.79,52.51,125.11,-0.3515,-0.3057,0.0882,0.566,0.0614,0.0852,-0.5291,-0.0293,2.5193,3.6585,2.9589,1.4271,1.9712,1.9275,3.9642,1.9872,29.1356,5.6407,7.334,25.0936,8.4796,8.4949,5.6763,8.5371,0.5904,0.214,0.7392,0.6503,0.3195,0.3664,0,1.7156,1.2166,2.7764,0.9658,0.951,1.0358,2.9945,1.2862,1.2518,1.1361,3.5577,3.5229,3.5989,3.5552,10.1727,2.0424,2.0372,2.0391,2.036,2.0181,6.3525,12.5362,4.2366,4.171,4.1286,10.4625,2.1046,2.1303,2.0829,2.0998,2.0449,1.4378,1.4708,0.0677,0.0089,0.0243,0.0082,1.4371,1.5547,1.48,0.0707,0.0037,0.0153,0.0194,0.0086,2.7395,2.7338,0.9637,0.8138,0.9564,1.5963,1.4585,1.4977,-125.79,10.6
NUCZOC,78.56,8.51,181.68,2.29,6.48,9.39,31.2,24.6,14.1,637.87,-4.6932,-2.9619,2.06,2.32,-0.12,-0.26,2.51,1.94,2.02,1.31,1.26,45.41,67.16,94,155.07,110.87,67.44,121.01,-0.3831,-0.2168,0.1177,0.369,0.2074,0.1791,-0.5046,0.0385,2.9847,3.5075,2.8092,1.2367,2.0894,2.0855,4.0657,1.9001,29.1453,5.4522,7.2186,25.2253,8.3297,8.3372,5.7575,8.5,0.8593,0.4133,0.4936,0.1989,0.3292,0.1664,0.2516,1.5333,1.3197,2.7714,0.9443,0.9542,0.9954,2.9991,1.267,1.2238,1.156,3.6269,3.4564,3.778,3.6393,10.1144,2.027,2.0342,2.0166,2.0218,2.0147,6.3296,12.5945,4.2136,4.2114,4.1695,10.4586,2.1516,2.1791,2.0629,2.0432,2.0217,1.417,1.4079,0.074,0.0227,0.0176,0.0095,1.3718,1.49,1.5262,0.0708,0.0152,0.0087,0.0201,0.0086,2.7285,2.7095,0.9732,0.7957,0.9407,1.5252,1.4571,1.5242,-142.7,10.6
OLENEZ,66.78,16.88,163.22,4.38,7.42,8.57,31.4,28.3,20.4,708.12,-4.4744,-2.7349,2.12,2.99,-0.19,-0.55,2.53,2,1.96,1.3,1.26,47.74,68.93,90.46,157.56,111.61,63.33,121.1,-0.4775,-0.2312,0.1192,0.4596,0.041,0.7946,-0.4979,0.0552,3.1949,3.5893,2.9097,1.3578,2.9223,3.2951,3.8784,1.9645,29.2808,5.4931,7.1793,25.1619,7.0692,14.8302,5.6872,8.4633,0.7684,0.3717,0.6066,0.3468,0.3233,0.1564,0.3985,1.475,1.3015,2.774,0.8835,0.9502,1.0689,2.989,1.1986,1.2332,1.2152,3.6065,3.3086,3.6539,3.8037,10.1483,2.0575,2.03,2.015,2.035,2.0108,6.3411,12.6279,4.2657,4.2079,4.1543,10.5082,2.0736,2.1144,2.0876,2.1446,2.0879,1.1216,1.2133,0.3425,0.0581,0.0708,0.0695,2.7491,3.1311,2.79,0.56,0.0977,0.1531,0.1177,0.111,2.7249,2.7045,0.954,0.7885,0.9619,1.4512,1.4673,1.5782,-133.56,10.6
SUHHIM,78.89,2.15,168.45,1.97,5.02,12.13,26.4,15.6,9,670.98,-4.227,-2.4295,2.26,2.07,-0.21,0.03,2.57,2.03,1.97,1.32,1.24,48.96,72.92,113.5,134.63,111.67,58.12,124.39,-0.3232,-0.2953,0.0904,0.4849,0.1518,0.1747,-0.5199,-0.0163,2.8381,3.6324,3.0191,1.3259,2.0962,2.1245,4.1587,2.0068,29.1459,5.5504,7.2305,25.1683,8.3757,8.3488,5.7745,8.513,0.6361,0.3708,0.7219,0.5164,0.2357,0.409,0.1111,1.7858,1.3069,2.7698,0.9089,0.9615,1.0699,2.9959,1.2627,1.2615,1.1495,3.591,3.3127,3.6766,3.7619,10.1508,2.0585,2.0297,2.0163,2.0377,2.0086,6.3351,12.5644,4.2629,4.1861,4.1153,10.4234,2.0871,2.1055,2.0944,2.121,2.0152,1.3883,1.4347,0.0719,0.0167,0.0229,0.0082,1.3947,1.466,1.536,0.076,0.0123,0.0089,0.0255,0.0085,2.7377,2.7257,0.969,0.8059,0.9509,1.5735,1.4517,1.5178,-83.22,10.6
SUSXUB,88.28,0.04,178.69,2.75,5.15,6.95,32.5,22,11,536.65,-4.1848,-2.0969,2.01,2.49,-0.04,-0.23,2.59,2.1,1.99,1.31,1.25,50.82,73.23,117.54,128.49,110.82,55.95,125.49,-0.3466,-0.302,0.0995,0.5422,0.0866,0.0455,-0.4977,-0.0258,2.8411,3.5093,3.0601,1.3679,3.1826,3.0085,4.2144,1.958,29.2459,5.5102,7.2167,25.1143,6.9221,7.4317,5.7997,8.5372,0.5938,0.3079,0.641,0.5748,0.5175,0.157,0,1.6016,1.4432,2.7723,0.9121,0.945,1.094,2.9957,1.2836,1.1865,1.1945,3.5801,3.2938,3.5735,3.8287,10.1584,2.07,2.0242,2.0106,2.0405,2.0132,6.3427,12.5816,4.255,4.2122,4.1144,10.422,2.0594,2.1057,2.08,2.1619,2.015,1.148,1.3024,0.3132,0.0487,0.0756,0.0424,1.2417,1.2604,1.2811,0.1452,0.0264,0.008,0.0347,0.043,2.7355,2.7153,0.9821,0.8748,0.8585,1.5707,1.5015,1.4782,-53.67,10.6
