Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
OLOFOK,61.64,0.89,152.97,2.81,8.6,10.01,24.6,18.2,13.3,690.8,-4.7705,-0.8435,2.08,2.19,0.04,-0.11,2.59,2.33,1.96,1.32,1.24,57.73,70.22,114.73,133.56,111.56,52.06,125.03,-0.3852,-0.297,0.0783,0.5998,0.0533,0.0518,-0.5218,-0.0477,2.2604,3.7455,2.9421,1.3879,1.947,1.9517,4.2174,1.985,29.0572,5.6551,7.2688,25.0881,8.5075,8.5082,5.7846,8.5356,0.4691,0.6873,0.7481,0.4015,0.2915,0,1.8124,1.3263,2.7714,0.9803,0.9485,1.0221,2.9895,1.2958,1.259,1.1352,3.6273,3.5455,3.4881,10.1632,2.0314,2.0339,2.0461,2.0312,2.0207,6.319,12.5204,4.2202,4.169,4.1313,10.5454,2.1015,2.1577,2.0872,2.1183,2.0806,1.4484,1.5894,0.0689,0.0059,0.0163,0.0082,1.4728,1.4681,1.5637,0.0673,0.0108,0.0075,0.0224,0.0084,2.7372,2.7149,0.9594,0.7948,0.9608,1.599,1.4771,1.5006,-118.41,17.1
QUKZON,61.54,1.21,152.54,3.09,6.7,10.63,24.6,18.6,14,710.38,-4.8146,-1.3821,2.09,2.17,-0.03,-0.07,2.6,2.31,1.96,1.32,1.24,57.04,70.68,114.49,133.73,111.56,52.27,124.97,-0.3812,-0.295,0.0763,0.5862,0.0614,0.0618,-0.5203,-0.0454,2.2956,3.7346,2.9534,1.3737,1.9477,1.9479,4.211,1.9843,29.0778,5.6532,7.2654,25.0912,8.5086,8.4996,5.7817,8.5338,0.4675,0.6918,0.7374,0.3873,0.304,0.1007,1.8011,1.3333,2.7712,0.9429,0.9467,1.0598,2.9893,1.2606,1.2568,1.1745,3.4603,3.5606,3.6525,10.1604,2.0466,2.0333,2.0292,2.0367,2.0144,6.3177,12.5213,4.2419,4.1649,4.1146,10.5419,2.1063,2.1149,2.0783,2.1575,2.0848,1.4516,1.5824,0.0695,0.0034,0.0187,0.0082,1.4443,1.4629,1.5885,0.0682,0.0095,0.0058,0.0243,0.0085,2.7369,2.7136,0.9675,0.7911,0.955,1.5584,1.4733,1.5432,-143.2,17.1
VOBMEG,80.82,7.75,175.15,1.7,7.47,8.37,29.7,22.1,14.9,643.12,-4.9601,-1.2908,2.11,2.04,-0.15,-0.06,2.63,2.2,1.96,1.32,1.24,53.39,73.2,121.29,126.75,111.51,53.41,125.74,-0.3798,-0.2946,0.0845,0.5595,0.1391,0.0776,-0.5179,-0.0554,2.4584,3.7037,2.9524,1.3424,2.0411,1.8417,4.1671,1.9865,29.0511,5.59,7.2703,25.1071,8.3991,8.5579,5.7663,8.5453,0.476,0.732,0.7215,0.3023,0.3174,0,1.8168,1.3008,2.769,0.9208,0.9567,1.0679,2.987,1.2514,1.2598,1.1758,3.3901,3.5765,3.7273,10.1534,2.0509,2.0292,2.0206,2.0405,2.0123,6.3059,12.5536,4.2355,4.1907,4.1274,10.5199,2.085,2.0859,2.0979,2.1761,2.0751,1.4134,1.4145,0.0724,0.0216,0.0156,0.0116,1.4649,1.4336,1.5979,0.073,0.0217,0.0093,0.013,0.013,2.7376,2.7135,0.9606,0.805,0.9479,1.562,1.4838,1.5356,-113.08,17.1
VOJQET,80.91,3.46,177.61,1.7,9.97,9.54,27.8,17.5,12.5,721.69,-5.7009,-3.8354,2.18,1.92,-0.24,0.04,2.52,1.97,1.94,1.33,1.23,46.24,67.58,119.2,125.72,112.54,66.18,125.39,-0.3725,-0.2118,0.1033,0.3837,0.214,0.2073,-0.5004,-0.0085,3.0615,3.5223,2.9665,1.2248,2.0983,2.1731,4.2228,2.0286,29.1815,5.4577,7.2128,25.2344,8.3458,8.2883,5.774,8.5043,0.8041,0.6878,0.2705,0.2816,0.5187,0,1.8676,1.2752,2.7669,0.8781,0.9542,1.0575,2.9848,1.2426,1.2355,1.1928,3.2849,3.7883,3.7909,10.1147,2.0378,2.0244,2.0088,2.0364,2.0073,6.3198,12.6284,4.281,4.2168,4.1305,10.4238,2.1631,2.1117,2.0831,2.0262,2.0396,1.2812,1.4457,0.0724,0.0134,0.0256,0.0081,1.3418,1.4558,1.5734,0.0795,0.0132,0.0068,0.0272,0.0083,2.7347,2.6978,0.9535,0.8143,0.93,1.5768,1.4389,1.5253,-172.59,17.1
WEZCUA,98.44,5.17,208.35,2.95,7.82,9.45,37.5,28.6,18,675.13,-5.5292,-2.6077,2.06,2.23,-0.04,-0.27,2.55,2.02,1.95,1.32,1.24,47.9,69.38,118.34,129.46,111.67,62.72,125.09,-0.3824,-0.2233,0.0973,0.4245,0.2352,0.1701,-0.5067,-0.0311,2.9352,3.6091,2.9701,1.2594,3.1934,2.0365,4.087,1.9787,29.1716,5.469,7.223,25.2031,7.0136,8.4358,5.7268,8.5429,0.7008,0.7256,0.3981,0.4461,0.2091,0,1.766,1.282,2.7682,0.9051,0.9455,1.0483,2.9849,1.2801,1.2511,1.1464,3.3206,3.7694,3.7251,10.1289,2.0445,2.0307,2.0144,2.0297,2.0096,6.3189,12.602,4.2562,4.2127,4.1331,10.4611,2.1558,2.1424,2.0768,2.0513,2.0349,1.1047,1.2394,0.2482,0.0448,0.0564,0.0484,1.4214,1.4683,1.5209,0.0719,0.0154,0.0041,0.0211,0.0084,2.7334,2.7036,0.9795,0.7827,0.9414,1.6251,1.4551,1.4824,-154.88,17.1
WIKTOZ,61.93,0.79,153.21,3.24,4.81,10.14,24.6,17,12,621.29,-4.7909,-0.8637,2.16,2.09,-0.08,0.01,2.59,2.34,1.96,1.32,1.24,57.93,69.94,115.09,133.1,111.51,52.13,125.11,-0.3906,-0.2934,0.0765,0.5933,0.0552,0.0662,-0.5214,-0.0479,2.2821,3.7299,2.9383,1.3879,1.9469,1.9514,4.2206,1.9853,29.0844,5.6545,7.2682,25.0835,8.5209,8.4985,5.7854,8.535,0.4856,0.6792,0.7383,0.3261,0.3977,0,1.8105,1.3318,2.772,0.9957,0.9535,0.9994,2.9904,1.2985,1.2624,1.1304,3.7327,3.5006,3.4343,10.1617,2.0218,2.031,2.0536,2.0297,2.0256,6.3183,12.5245,4.2045,4.1723,4.1477,10.5475,2.0897,2.1699,2.0843,2.1075,2.0961,1.4903,1.4623,0.0672,0.0154,0.0183,0.0084,1.4531,1.585,1.4562,0.0685,0.0081,0.0214,0.0134,0.0095,2.7374,2.7146,0.9486,0.8035,0.9625,1.6009,1.4849,1.4909,-116.23,17.1
WINRET,61.9,0.98,153.14,1.7,3.94,9.88,23.7,14,8.3,559.25,-4.8619,-0.8904,2.18,2.08,-0.08,0,2.59,2.32,1.96,1.32,1.24,57.49,70.17,115.59,132.74,111.57,52.35,125.08,-0.3836,-0.2928,0.0777,0.5924,0.0511,0.0618,-0.522,-0.049,2.2602,3.7455,2.9322,1.3864,1.9479,1.9567,4.2249,1.9883,29.0577,5.6592,7.2724,25.08,8.5077,8.4972,5.7868,8.5351,0.4866,0.6793,0.7423,0.2851,0.3881,0,1.8212,1.3237,2.7716,0.9629,0.9424,1.0424,2.9901,1.2856,1.2576,1.1473,3.5132,3.5818,3.5733,10.1595,2.0395,2.0352,2.0351,2.0335,2.0162,6.3168,12.524,4.2388,4.1661,4.119,10.5425,2.1124,2.1351,2.0799,2.1322,2.083,1.4552,1.4629,0.0668,0.0101,0.0238,0.0083,1.4468,1.5875,1.4643,0.0687,0.0039,0.0158,0.0174,0.0083,2.7377,2.715,0.9685,0.786,0.9605,1.5895,1.4692,1.5187,-126.38,17.1
XIJDOJ,77.56,5.45,211.62,2.2,9.16,9.36,36.7,26.1,17.2,688.89,-5.4658,-2.611,1.97,2.39,-0.05,-0.21,2.56,2,1.99,1.31,1.25,47.65,71.28,119.16,129.36,111.34,61.07,125.53,-0.378,-0.2511,0.1081,0.4663,0.2835,0.0221,-0.4966,-0.0397,2.9926,3.3729,3.0071,1.274,3.2992,2.9664,4.1593,1.9445,29.3004,5.3414,7.1852,25.1809,6.8634,7.4186,5.7543,8.5616,0.6712,0.642,0.431,0.5047,0.2319,0,1.6491,1.3952,2.7657,0.8776,0.9842,1.0545,2.9864,1.2807,1.2103,1.1772,3.1942,3.7645,3.8137,10.136,2.0551,2.0286,2.0075,2.039,2.0059,6.3104,12.6052,4.268,4.2013,4.1359,10.462,2.1151,2.1169,2.0525,2.12,2.0574,1.0429,1.2676,0.2556,0.0313,0.0818,0.0185,1.2923,1.3286,1.188,0.1436,0.0255,0.0125,0.0298,0.0305,2.7323,2.697,0.9787,0.8281,0.8902,1.5963,1.4747,1.5008,-124.49,17.1
YOMGIQ,61.87,0.94,153.07,2.56,10.49,11.88,24,15.6,11.2,793.57,-4.852,-0.896,2.09,2.17,0.02,-0.1,2.59,2.33,1.96,1.32,1.24,57.63,70.13,116.52,131.66,111.52,52.24,125.25,-0.3863,-0.2931,0.0756,0.5932,0.0637,0.052,-0.5215,-0.0487,2.2676,3.743,2.9393,1.3867,1.947,1.9416,4.2256,1.9851,29.0657,5.6678,7.2679,25.083,8.4964,8.5139,5.7895,8.5346,0.4834,0.6804,0.741,0.3893,0.3037,0,1.8161,1.3309,2.7718,0.9276,0.9807,1.0402,2.9905,1.2444,1.274,1.1737,3.6157,3.4718,3.5808,10.1599,2.0358,2.0304,2.0376,2.0395,2.0166,6.3183,12.5261,4.2194,4.1891,4.1176,10.5416,2.0855,2.1049,2.0959,2.1727,2.0826,1.4607,1.5608,0.0688,0.003,0.0191,0.0085,1.4389,1.4769,1.5859,0.0671,0.0103,0.0089,0.0224,0.0082,2.7378,2.7146,0.9244,0.8508,0.9395,1.5255,1.5254,1.526,-120.32,17.1
ZUMXIQ02,90.97,4.44,183.47,2.43,8.88,8.55,29.9,23.1,17.6,754.31,-5.3397,-1.9056,2.04,2.17,-0.03,-0.23,2.56,2.01,1.97,1.32,1.24,48.36,71.79,114.64,133.53,111.71,59.84,124.74,-0.368,-0.2628,0.0886,0.4768,0.1408,0.1885,-0.5138,-0.0349,2.7591,3.6293,2.9622,1.2754,2.0464,2.0622,4.2437,1.9867,29.0705,5.4886,7.2146,25.1792,8.4347,8.3907,5.8011,8.535,0.6319,0.6844,0.4999,0.3865,0.2505,0,1.8226,1.3473,2.7631,0.909,0.954,1.0576,2.9887,1.2792,1.2605,1.1447,3.3191,3.7217,3.7305,10.1374,2.0513,2.0294,2.0169,2.0321,2.0077,6.309,12.5724,4.2604,4.1834,4.1287,10.4861,2.1146,2.1246,2.1026,2.1203,2.024,1.4545,1.4162,0.0738,0.0163,0.0242,0.0086,1.3968,1.4446,1.5458,0.073,0.0183,0.0033,0.021,0.0086,2.7357,2.7088,0.9727,0.7874,0.9486,1.6003,1.4624,1.503,-123.48,17.1
AFUVEC,61.49,0.98,153.39,2.83,8.76,9.92,24.9,19,13.3,685.53,-4.7751,-1.0201,2.07,2.2,0.06,-0.13,2.6,2.34,1.96,1.32,1.24,57.83,70.17,116.39,131.99,111.54,52,125.19,-0.3809,-0.2971,0.0779,0.6044,0.0549,0.0515,-0.5217,-0.0499,2.2464,3.7921,2.9429,1.3876,1.9476,1.9487,4.2115,1.9844,29.0533,5.6872,7.2724,25.0869,8.5076,8.5066,5.7815,8.5386,0.4658,0.6949,0.7645,0.411,0.278,0,1.8172,1.3242,2.7716,0.9792,0.9443,1.027,2.9895,1.2991,1.2629,1.1287,3.6421,3.5053,3.5096,10.1625,2.0309,2.0325,2.0466,2.0304,2.0221,6.3221,12.5168,4.2113,4.1723,4.1332,10.5418,2.0956,2.1627,2.0844,2.1144,2.0847,1.4513,1.5886,0.0692,0.0067,0.0156,0.0085,1.4755,1.4711,1.5571,0.0671,0.0118,0.0079,0.0212,0.0083,2.7379,2.7153,0.9523,0.7988,0.9642,1.6073,1.4797,1.491,-116.24,17.2
AMXPZT,79.14,2.3,213.48,2.96,7.45,11.9,36.7,29.5,21.5,810.91,-6.0491,-2.3823,1.97,2.23,0.12,-0.24,2.54,1.95,3.26,1.32,1.24,45.7,68.57,63.97,172.1,114.02,65.74,126.49,-0.3479,-0.2168,0.1876,0.4141,0.223,0.1563,-0.4086,0.1388,2.8812,3.5341,3.1761,1.2515,3.2324,2.075,4.1029,2.0307,29.1292,5.4354,7.1477,25.1874,7.0229,8.4132,5.7198,8.4351,0.8002,0,0.314,0.5763,0.2674,0.3922,1.5624,1.3875,2.7663,0.8728,0.9855,1.0428,2.9218,1.1684,1.3045,1.1776,3.2422,3.7931,3.7867,10.1134,2.0402,2.0293,2.0082,2.0307,2.0049,6.3049,12.5833,4.2352,4.2009,4.1473,10.4593,2.1285,2.1138,2.0324,2.1333,2.0513,1.1439,1.265,0.2285,0.0288,0.0716,0.021,1.3887,1.4492,1.5757,0.0711,0.0128,0.0044,0.0258,0.0084,2.7203,2.6482,0.9523,0.7591,0.9368,1.4587,1.444,1.5456,-114.75,17.2
BIHSET,61.46,1,152.15,2.03,7.28,9.03,25.3,17.4,12.1,618.27,-4.7665,-0.8775,2.1,2.18,0.02,-0.1,2.61,2.33,1.95,1.32,1.24,57.37,70.6,114.33,133.81,111.57,52.03,124.96,-0.3801,-0.2969,0.075,0.5882,0.0525,0.0435,-0.5196,-0.0447,2.2444,3.7473,2.9618,1.3742,1.9445,1.9478,4.2107,1.9827,29.0293,5.6677,7.2709,25.0968,8.4852,8.4939,5.78,8.5338,0.4562,0.6919,0.7468,0.3542,0.291,0,1.8046,1.3321,2.772,0.9371,0.9445,1.0692,2.9885,1.256,1.2606,1.1765,3.4791,3.5063,3.6856,10.1622,2.0484,2.0308,2.0286,2.038,2.0165,6.3214,12.5166,4.2381,4.1668,4.1116,10.5419,2.0939,2.1118,2.0736,2.1693,2.0932,1.4455,1.5954,0.0686,0.0035,0.0181,0.0081,1.4548,1.4637,1.5914,0.0672,0.0097,0.0055,0.0239,0.0085,2.7367,2.7131,0.9624,0.7921,0.9586,1.5508,1.4754,1.5482,-124.91,17.2
CATQUJ,61.7,1.01,152.79,2.41,8.49,13.04,25.2,17.8,12.2,763.66,-4.8036,-1.3948,2.09,2.17,0.02,-0.1,2.6,2.33,1.97,1.32,1.24,57.51,70.35,115.67,132.77,111.49,52.14,125.13,-0.3899,-0.2944,0.0788,0.5902,0.0637,0.0444,-0.5219,-0.0493,2.2756,3.7413,2.9152,1.3813,1.9551,1.9568,4.217,1.9856,29.072,5.6604,7.2849,25.0832,8.4961,8.5095,5.7834,8.5367,0.484,0.6723,0.746,0.3981,0.3097,0,1.8134,1.327,2.7714,0.9469,0.9485,1.0534,2.9899,1.2743,1.2589,1.1563,3.4784,3.5693,3.6231,10.1606,2.0446,2.0342,2.0309,2.0362,2.0146,6.3211,12.5221,4.2384,4.1682,4.1155,10.5464,2.1102,2.1197,2.085,2.1508,2.0807,1.4463,1.5794,0.0693,0.0031,0.0192,0.0084,1.4518,1.4702,1.5866,0.0671,0.0089,0.0063,0.0242,0.0083,2.7378,2.7152,0.9623,0.7939,0.9589,1.5733,1.4756,1.5288,-130.44,17.2
COSCUJ,61.86,0.7,153.64,3.38,9.23,10.87,25.9,21.4,16.7,765.35,-4.7735,-0.8476,2.08,2.16,0.04,-0.1,2.59,2.33,1.97,1.32,1.24,57.81,70.1,115.29,133.03,111.52,52.09,125.16,-0.3913,-0.2957,0.0794,0.5962,0.0672,0.0651,-0.5222,-0.0503,2.2922,3.7212,2.9347,1.3845,1.9543,1.9546,4.225,1.988,29.0772,5.6497,7.2696,25.0878,8.4941,8.506,5.7875,8.5361,0.4768,0.6848,0.7343,0.392,0.3176,0,1.8166,1.3275,2.7716,0.9597,0.9445,1.0455,2.9899,1.2773,1.256,1.1557,3.5012,3.5793,3.5827,10.1637,2.0415,2.0358,2.0349,2.0354,2.0163,6.3182,12.528,4.2384,4.1679,4.1217,10.5448,2.115,2.1281,2.0824,2.1359,2.0834,1.4455,1.5824,0.0694,0.0038,0.0184,0.0083,1.4516,1.4586,1.5838,0.0678,0.0095,0.0062,0.024,0.0085,2.7376,2.7154,0.9675,0.7868,0.9611,1.5797,1.4702,1.5288,-117.24,17.2
DMCPCX,61.81,0.83,152.89,3.37,4.94,8.69,24.5,19,13.8,605.39,-4.8387,-0.9015,2.1,2.16,0.02,-0.09,2.59,2.33,1.96,1.32,1.24,57.76,69.9,116.71,131.37,111.55,52.34,125.25,-0.3885,-0.2914,0.0763,0.5964,0.0792,0.069,-0.5214,-0.0485,2.2795,3.7405,2.9434,1.391,1.9559,1.9535,4.2255,1.9824,29.0914,5.6724,7.2648,25.0789,8.4947,8.5168,5.7908,8.5366,0.4968,0.6857,0.7476,0.3881,0.314,0,1.809,1.3371,2.7717,0.9452,0.9458,1.0566,2.9908,1.2673,1.2501,1.1741,3.4497,3.5744,3.6423,10.1598,2.0462,2.0343,2.0285,2.0369,2.014,6.3196,12.5234,4.2451,4.1621,4.1162,10.5452,2.1133,2.112,2.0832,2.1566,2.0801,1.4376,1.5748,0.0697,0.0028,0.0192,0.0085,1.4425,1.4658,1.5814,0.0681,0.0089,0.0065,0.0249,0.0086,2.7378,2.7148,0.9722,0.7955,0.9471,1.5711,1.4724,1.5333,-120.41,17.2
DUZROG,91.18,11.98,179.8,1.9,8.96,8.39,31.9,20.1,12.4,686.5,-5.4168,-1.833,2.15,2.25,0.03,-0.29,2.55,1.98,1.96,1.32,1.24,47.42,71.01,114.21,133.26,111.71,61.57,124.29,-0.3661,-0.2501,0.0873,0.4692,0.0745,0.102,-0.5113,-0.0387,2.8742,3.5956,2.9781,1.2987,3.2269,2.0411,4.2345,1.9779,29.1029,5.4723,7.2172,25.1808,7.2894,8.441,5.7959,8.5286,0.7054,0.6849,0.4369,0.3361,0.2469,0,1.8169,1.3199,2.7629,0.8979,0.9287,1.0851,2.9862,1.2451,1.2704,1.1703,3.3698,3.5697,3.835,10.1347,2.0525,2.019,2.0101,2.0357,2.0174,6.311,12.5865,4.2658,4.197,4.1237,10.4682,2,2.1061,2.0932,2.1979,2.0711,1.2186,1.3479,0.1517,0.0248,0.0253,0.0474,1.4428,1.4185,1.6007,0.0684,0.0197,0.0035,0.0165,0.0088,2.7346,2.7064,0.9121,0.8256,0.9688,1.5301,1.4804,1.5588,-125.85,17.2
EDIXEW,81.49,4.92,177.87,1.79,8.23,12.44,30.9,23.8,17.4,765.14,-5.6209,-2.164,2.19,2.04,-0.19,-0.04,2.54,1.97,2,1.32,1.24,47.39,71.09,121.4,126.96,110.95,61.51,125.92,-0.3496,-0.2551,0.0944,0.4879,0.1556,0.2006,-0.5054,0.0061,2.7366,3.3345,2.9697,1.2867,2.05,2.0739,4.3087,1.9886,29.0909,5.3177,7.2091,25.1658,8.39,8.3899,5.8348,8.5114,0.745,0.6197,0.382,0.2224,0.3526,0,1.7629,1.4237,2.7609,0.9842,0.9495,0.9837,2.9923,1.2658,1.2137,1.1991,3.5115,3.7611,3.4888,10.1299,2.0243,2.0391,2.0259,2.0184,2.0221,6.3163,12.576,4.2138,4.2083,4.1539,10.4569,2.1222,2.1267,2.118,2.073,2.0171,1.3785,1.4364,0.0704,0.0175,0.019,0.0082,1.373,1.4334,1.5877,0.0745,0.0146,0.0036,0.0238,0.0092,2.7344,2.7033,0.8859,0.9316,0.8858,1.5074,1.5494,1.4756,-123.41,17.2
GARBUY,61.61,1.39,152.45,1.94,4.65,9.92,23.6,14.8,9.5,612.59,-5.0149,-2.0247,2.11,2.16,-0.05,-0.06,2.6,2.22,1.97,1.32,1.24,54.56,72.28,114.32,134.02,111.56,53.16,124.72,-0.3747,-0.2994,0.078,0.5824,0.0536,0.0695,-0.5214,-0.0433,2.3093,3.7426,2.9353,1.3783,1.8678,1.9667,4.22,1.9865,29.0692,5.6294,7.2675,25.0782,8.5517,8.4974,5.7865,8.5315,0.491,0.6801,0.727,0.327,0.3046,0,1.8096,1.33,2.7669,0.9745,0.9485,1.028,2.9909,1.2861,1.2576,1.1467,3.5809,3.5756,3.5222,10.1567,2.0324,2.0345,2.0405,2.0312,2.0182,6.3084,12.5279,4.2346,4.1643,4.129,10.5381,2.0921,2.153,2.0819,2.1309,2.0802,1.4607,1.5863,0.0685,0.0037,0.0178,0.0084,1.4511,1.4553,1.5818,0.0678,0.0106,0.0057,0.0241,0.0084,2.7369,2.7138,0.9688,0.7862,0.9588,1.5871,1.4695,1.5168,-135.87,17.2
GUGMUT,77.6,4.26,192.58,2.43,9.41,9.78,32.2,23.2,15.4,764.25,-4.5962,-1.2542,2.23,2.03,-0.22,0,2.65,2.27,1.96,1.32,1.24,55.06,72.93,124.98,123.42,111.5,52.01,126.4,-0.3779,-0.302,0.0807,0.5508,0.1682,0.1559,-0.5205,-0.0495,2.4029,3.7627,2.9443,1.3006,2.0957,2.9395,4.2352,1.9845,29.1024,5.6433,7.2611,25.1241,8.3706,7.1877,5.8027,8.5405,0.401,0.6885,0.7617,0.2258,0.494,0,1.8355,1.3377,2.7701,0.9317,0.9594,1.063,2.9884,1.2944,1.2311,1.1632,3.3105,3.6713,3.7184,10.1616,2.0583,2.034,2.0177,2.04,2.0117,6.3221,12.5455,4.2448,4.1855,4.1152,10.51,2.1199,2.0984,2.0823,2.1485,2.0608,1.3198,1.4558,0.0718,0.013,0.0253,0.0079,1.2327,1.2583,1.1557,0.2264,0.0224,0.0424,0.0734,0.0202,2.739,2.7157,0.9681,0.8324,0.9151,1.6187,1.4734,1.4828,-126.25,17.2
GURGUX,81.24,1.44,175.21,3.69,6.54,9.37,27.5,18.4,14.5,645.19,-5.5949,-3.0076,2.25,1.94,-0.28,0.12,2.54,1.98,1.97,1.32,1.24,47.4,70.32,117.61,130.44,111.89,62.27,125.58,-0.3513,-0.2481,0.091,0.4695,0.2313,0.285,-0.5158,-0.0156,2.8756,3.4239,2.9809,1.2876,2.1409,2.2521,4.3623,2.0134,29.1809,5.3863,7.18,25.1765,8.2856,8.228,5.8523,8.4954,0.761,0.6432,0.3554,0.2044,0.4759,0,1.8491,1.3918,2.7626,0.8989,0.9466,1.0672,2.9894,1.2728,1.2267,1.183,3.261,3.752,3.7628,10.1288,2.0507,2.0264,2.0122,2.0329,2.0066,6.3181,12.5889,4.2695,4.1981,4.1214,10.4438,2.1404,2.1116,2.1035,2.0806,2.0078,1.2531,1.463,0.0728,0.0122,0.0265,0.0081,1.2544,1.4702,1.5729,0.0856,0.012,0.0077,0.0289,0.0095,2.7347,2.7067,0.9746,0.8366,0.8955,1.5941,1.4727,1.4776,-148.06,17.2
HAVPOM,91.23,3.72,185.03,2.76,7.22,11.2,32,25.3,19.2,741.33,-4.5986,-0.8887,2.19,1.99,-0.15,-0.06,2.62,2.25,1.98,1.32,1.24,54.99,72.68,124.07,124.25,111.4,52.32,126.28,-0.4284,-0.3051,0.0815,0.5645,0.1668,-0.0911,-0.5218,-0.0622,2.4123,3.5663,2.9402,1.3218,2.0738,1.8413,4.2644,1.9808,29.0723,5.5456,7.2407,25.1167,8.3474,8.6222,5.8172,8.5416,0.4096,0.6741,0.7312,0.2035,0.5519,0,1.8275,1.35,2.7685,0.9556,0.9519,1.0446,2.9904,1.2732,1.2443,1.1691,3.4639,3.635,3.592,10.1671,2.0439,2.0395,2.0323,2.0362,2.0153,6.3157,12.5625,4.2413,4.156,4.1653,10.5499,2.1003,2.1258,2.1012,2.1567,2.0658,1.3937,1.4116,0.0701,0.0211,0.0156,0.0104,1.6658,1.3598,1.607,0.0673,0.0174,0.0036,0.0168,0.0087,2.7395,2.717,0.9703,0.8053,0.9414,1.5936,1.4731,1.52,-146.74,17.2
HEVLOJ,77.01,2.49,179.76,1.9,8.34,8.27,31.1,19.9,11.7,590.76,-5.7304,-2.1655,2.14,2.21,0.06,-0.21,2.54,1.98,1.96,1.31,1.25,46.7,68.96,122.51,126.26,111.21,64.33,125.88,-0.3738,-0.2248,0.1025,0.4088,-0.0341,0.1996,-0.4927,-0.0475,2.9693,3.5332,3.0263,1.239,2.9868,3.0521,4.265,1.934,29.2193,5.4731,7.1512,25.2142,7.2732,7.1672,5.8024,8.5606,0.7559,0.6462,0.339,0.3895,0.3107,0,1.6828,1.4424,2.7662,0.8918,0.9373,1.0707,2.9857,1.2783,1.2135,1.1802,3.2667,3.7706,3.7884,10.125,2.0524,2.0222,2.0116,2.0322,2.0066,6.3232,12.6454,4.2738,4.2262,4.1454,10.4049,2.1412,2.1194,2.1264,2.046,1.9719,1.2442,1.331,0.194,0.0311,0.0426,0.0273,1.1092,1.2444,1.2276,0.2231,0.0227,0.0316,0.0754,0.0193,2.733,2.6963,0.9818,0.8321,0.8824,1.5959,1.4916,1.4902,-139.32,17.2
