Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),dCu-L1 (A),dCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
YAKMUV,85.44,1.31,189.51,1.91,7.25,10.04,29,18.1,11.7,673.4,-5.3177,-3.2705,2.02,1.85,-0.02,-0.02,2.5,1.93,3.03,2.96,2.56,1.36,1.22,91.45,73.49,85.93,97.81,112.82,125.7,109.25,124.53,-0.3905,0.1405,-0.1098,0.2941,0.1214,0.192,-0.4563,0.0678,2.5005,3.0305,3.6851,2.0615,2.1534,4.223,2.1072,28.9248,7.1375,5.7013,25.2979,8.4181,8.3852,5.8217,8.3946,0.5664,0,0.4991,0.5376,0.3687,0.4284,0.6308,0,1.9581,1.1289,2.7839,2.7612,0.8926,1.0437,0.8249,2.9964,3.6056,1.2062,1.1633,1.2361,3.6346,3.5636,3.8105,3.5593,10.1224,2.0283,2.0376,2.0167,2.0263,2.0135,6.3276,12.6335,4.2443,4.1594,4.2299,10.4289,2.0973,1.9983,2.1098,2.126,2.0975,1.4377,1.5815,1.4163,0.0737,0.0156,0.0225,0.0082,1.3637,1.5278,1.4901,0.0879,0.009,0.0147,0.0275,0.0089,2.7403,2.6773,0.9364,0.9525,0.7885,3.3937,4.4659,1.5161,1.5422,1.4076,-421.48,32
CECBUJ,93.62,-0.76,191.38,2.95,5.02,9.16,30.7,20.7,13.5,623.98,-5.3695,-2.2543,2.21,1.87,0.02,-0.04,2.52,1.97,3.03,2.93,2.55,1.36,1.22,91.57,73.48,88.73,97.71,110.85,127.58,108.87,124.25,-0.4132,0.1435,-0.121,0.225,0.2041,0.2036,-0.4529,0.0668,2.0303,3.0144,3.6847,2.1054,2.1956,4.1467,2.1022,28.9252,7.1782,5.6862,25.3609,8.3324,8.3515,5.7877,8.4005,0.505,0,0.4955,0.5465,0.3784,0.1992,0.5413,0,1.9405,1.1033,2.783,2.7654,0.9128,0.9935,0.8591,2.9999,3.6032,1.166,1.1764,1.2607,3.6484,3.5344,3.8631,3.5928,10.1212,2.0211,2.0454,2.0092,2.0282,2.0172,6.3325,12.5695,4.2312,4.1221,4.2162,10.5108,2.089,2.1126,2.1046,2.118,2.0867,1.3681,1.5168,1.4794,0.0752,0.0152,0.0234,0.0085,1.5031,1.4547,1.4322,0.0882,0.0082,0.0184,0.0287,0.0095,2.7413,2.6743,0.9415,0.9264,0.8064,3.3938,4.4671,1.4791,1.5547,1.4333,-432.11,32.1
JIMTIJ,81.95,-0.79,183.36,1.92,9.64,6.77,34,26.2,16.2,675.69,-5.2612,-2.0067,2.02,2.08,-0.01,0.01,2.55,2.01,3.04,3.01,2.49,1.37,1.22,87.23,74.29,88.66,97.98,110.96,125.18,108.84,124.71,-0.3922,0.1476,-0.1539,0.2808,0.186,0.1617,-0.4475,0.0621,2.0932,3.002,3.6921,3.2557,2.113,4.1284,2.1035,28.9842,7.1663,5.6814,25.3315,6.9842,8.3795,5.7686,8.4026,0.4823,0,0.5543,0.5239,0.4098,0.5551,0.3275,0,1.9805,1.0833,2.7816,2.7801,1.037,0.9347,0.8084,3.0009,3.6008,1.1426,1.2417,1.2165,3.6336,3.6887,3.6818,3.5625,10.1366,2.0277,2.0372,2.0287,2.019,2.024,6.337,12.5524,4.1501,4.2062,4.1961,10.5026,2.1173,2.0915,2.1494,2.063,2.0815,1.029,1.0914,1.3278,0.3291,0.0394,0.0786,0.027,1.3898,1.5623,1.4572,0.074,0.0069,0.0125,0.0264,0.0093,2.7409,2.6734,0.9508,0.9611,0.7615,3.3951,4.4703,1.5,1.598,1.3723,-442.27,32.1
NEJTOO,76.25,3.58,170.24,2.24,9.44,7,32.2,23.2,14.3,678.79,-5.1904,-1.9948,1.96,2.47,-0.06,-0.12,2.58,3.16,3.25,1.91,2.33,1.3,1.26,62.76,82.56,89.22,74.48,61.89,169.27,111.59,128.52,-0.3818,0.1647,-0.2408,0.4489,0.1635,0.0699,-0.4359,0.0768,1.7359,3.0356,3.7766,2.0659,3.0911,3.9939,2.0332,28.8552,7.2029,5.7014,25.2023,8.4275,7.4366,5.6797,8.4932,0.5267,0,0.6847,0,0.3798,0.3968,0.1163,0.5488,1.3941,1.4925,2.7808,2.8095,0.8044,0.969,1.036,2.9994,3.592,1.183,1.276,1.133,3.5944,3.5739,3.5722,3.639,10.1524,2.0365,2.0251,2.0449,2.023,2.0229,6.3472,12.4849,4.0736,4.2278,4.1835,10.5495,2.0781,2.0815,2.1844,2.0569,2.1486,1.4824,1.5625,1.3823,0.0786,0.0234,0.0124,0.0178,1.1587,1.2417,1.3923,0.1419,0.0261,0.0316,0.0187,0.0428,2.7223,2.6776,0.8241,0.9236,0.9299,3.3297,4.5102,1.5134,1.578,1.4188,-364.92,32.1
POLJIL,87.12,-1.25,188.02,2.25,7.82,9.3,30.4,21.6,15.7,673.04,-5.5493,-3.5535,1.91,2.04,0.36,-0.28,2.47,1.91,3.04,2.93,2.6,1.36,1.22,93.68,73.72,85.48,97.9,112.27,126.74,109.55,124.21,-0.4064,0.1378,-0.0916,0.2929,0.2196,0.1948,-0.4577,0.0734,2.4087,3.0532,3.696,2.1653,2.1278,4.2256,2.1128,28.9222,7.1451,5.705,25.3023,8.353,8.3656,5.8217,8.391,0.5814,0,0.4813,0.5606,0.3605,0.535,0.4273,0,1.9641,1.1281,2.785,2.7532,0.896,1.0715,0.7857,2.9971,3.6079,1.2159,1.1733,1.2187,3.6325,3.5282,3.8403,3.5725,10.1178,2.0233,2.0419,2.0122,2.0261,2.0143,6.3239,12.6229,4.2602,4.1423,4.2204,10.4593,2.083,2.0126,2.116,2.1294,2.1183,1.368,1.5064,1.4827,0.0849,0.0136,0.0275,0.009,1.3721,1.559,1.431,0.0757,0.0026,0.0166,0.0237,0.0084,2.7396,2.6767,0.9524,0.9514,0.7729,3.3914,4.4622,1.5167,1.5592,1.3864,-411.52,32.1
ROWCEN,83.22,1.62,210.03,1.84,9.46,8.44,33.8,27.3,20.4,756.31,-5.5289,-3.5379,1.85,2.12,-0.05,0,2.47,1.95,3.18,3.09,2.63,1.36,1.22,93.53,76.96,85.12,101.8,115.48,119.17,108.73,124.55,-0.4647,0.137,-0.0789,0.2548,0.2104,0.1981,-0.4462,0.0776,2.4198,3.0099,3.8503,2.1724,2.9969,4.0635,2.0779,29.0042,7.1811,5.7771,25.3217,8.3898,7.1489,5.7148,8.4306,0.6149,0,0.4883,0.5211,0.3791,0.6212,0.3583,0,1.8941,1.0645,2.788,2.7491,0.9014,0.9942,0.8535,3.0082,3.6052,1.2763,1.1577,1.1712,3.6304,3.5567,3.7556,3.6703,10.1166,2.0252,2.035,2.0192,2.0247,2.0125,6.3347,12.667,4.2459,4.1777,4.2434,10.4626,2.0419,2.1018,2.1353,2.0919,2.0918,1.3443,1.6069,1.4207,0.0893,0.0199,0.03,0.01,1.1544,1.1612,1.2744,0.2299,0.0425,0.0269,0.0678,0.0254,2.7396,2.6681,0.9834,0.9001,0.7846,3.3926,4.4567,1.5969,1.4912,1.3686,-393.92,32.1
SUYSAJ,89.65,5.3,188.91,3.13,8.85,8.12,37.7,33.6,24.6,707.58,-5.3318,-1.8198,2.16,1.92,-0.01,-0.06,2.57,2.04,3.05,3.02,2.49,1.36,1.22,86.89,74.11,90.44,98.24,110.24,124.97,108.5,125.13,-0.4686,0.1556,-0.1577,0.2613,0.2071,0.2244,-0.4528,0.0674,1.8818,2.9501,3.6291,2.0551,2.1652,4.116,2.128,28.8912,7.2202,5.6437,25.338,8.3645,8.3161,5.7686,8.3956,0.4992,0,0.5218,0.4584,0.4097,0.2325,0.468,0,1.9788,1.0577,2.7799,2.7785,0.896,1.1074,0.7751,3.0007,3.592,1.2305,1.1974,1.164,3.6237,3.4587,3.8435,3.6697,10.128,2.0195,2.0528,2.0142,2.0287,2.0129,6.332,12.5467,4.2037,4.1599,4.1831,10.5897,2.0814,2.1828,2.1204,2.08,2.1251,1.4771,1.4629,1.4408,0.0742,0.0192,0.0192,0.0093,1.4302,1.5139,1.4245,0.0856,0.0068,0.0212,0.0242,0.0097,2.743,2.6764,0.9889,0.9476,0.7399,3.3952,4.465,1.5566,1.5689,1.3395,-449.47,32.1
VABYEE,77.74,3.74,212.99,2.09,8.55,10.2,36.5,27,16.6,721.15,-5.3776,-2.9741,2.18,2.03,-0.04,-0.09,2.55,2.05,3.14,2.99,2.49,1.37,1.22,86.88,77.04,89.42,101.18,107.7,125.23,108.79,124.79,-0.4276,0.1501,-0.1552,0.2449,0.1395,0.1738,-0.4454,0.0697,1.9462,2.9706,3.7826,3.0554,2.1492,4.1203,2.1177,28.9465,7.205,5.7082,25.3444,7.0751,8.4017,5.7523,8.3981,0.4822,0,0.5656,0.4691,0.42,0.382,0.3743,0,1.9682,1.0763,2.7824,2.7797,0.9305,1.0719,0.7773,3.0047,3.5977,1.1677,1.2514,1.1786,3.6476,3.5353,3.8026,3.6244,10.1297,2.0204,2.0514,2.0167,2.0257,2.0155,6.3317,12.5613,4.1962,4.1461,4.2189,10.5344,2.0758,2.1332,2.147,2.0891,2.0893,1.1363,1.296,1.1031,0.2943,0.0448,0.0749,0.044,1.413,1.5611,1.433,0.0779,0.0118,0.014,0.0234,0.0099,2.7416,2.6703,0.9766,0.9621,0.7316,3.3935,4.4644,1.498,1.6273,1.3391,-436.98,32.1
XICCIV,85.9,2.08,230.2,3,9.23,10.11,42.3,32.9,22.3,804.58,-5.4366,-2.7895,2,2.06,-0.07,0,2.53,2.02,3.18,3.04,2.5,1.36,1.22,88.27,78.45,88.57,103.15,107.79,120.57,108.98,125.24,-0.4659,0.1504,-0.1399,0.315,0.2501,0.2725,-0.4478,0.0808,2.4361,2.9536,3.8052,3.2567,3.1177,4.1248,2.1034,29.1261,7.1533,5.6953,25.2907,7.0684,7.1298,5.7457,8.4146,0.5671,0,0.5369,0.4331,0.4224,0.5687,0.4931,0,1.9378,1.0879,2.7831,2.7727,0.8898,1.1141,0.7689,3.004,3.5962,1.2398,1.1889,1.1675,3.6169,3.4983,3.8243,3.6009,10.1287,2.0181,2.0501,2.0153,2.0295,2.0158,6.3228,12.6296,4.222,4.1792,4.2284,10.5132,2.0807,2.1133,2.1278,2.0931,2.0984,1.1096,1.1966,1.2389,0.2468,0.0401,0.0726,0.0223,1.0805,1.1431,1.2986,0.2405,0.0488,0.0265,0.0761,0.0247,2.7393,2.6704,0.9906,0.9389,0.741,3.3913,4.4548,1.5699,1.5434,1.3415,-424.4,32.1
ZABKIZ,82.55,0.67,183.59,2.77,7.22,9.12,28.4,18.1,12.5,645.86,-5.4633,-3.4161,1.83,2.15,-0.08,0.09,2.5,1.9,3.1,2.89,2.59,1.37,1.22,91.95,75.08,84.47,100.51,110.2,126.57,109.48,123.89,-0.3436,0.126,-0.0954,0.2933,0.1912,0.1815,-0.4557,0.0755,2.3903,3.0455,3.6999,2.173,2.1306,4.1269,2.1197,28.8952,7.1582,5.6973,25.2868,8.3706,8.3275,5.7754,8.3882,0.5757,0,0.5003,0.5926,0.3638,0.6371,0.2786,0,1.9987,1.0724,2.786,2.7564,0.9736,1.0293,0.7535,2.9984,3.6197,1.1516,1.2739,1.1942,3.6413,3.5985,3.76,3.5739,10.1181,2.0207,2.0401,2.0185,2.022,2.0167,6.344,12.585,4.1958,4.1819,4.2073,10.4142,2.081,2.0789,2.0796,2.0818,2.0928,1.3634,1.6163,1.4004,0.0909,0.0223,0.0292,0.0101,1.3487,1.5607,1.4672,0.0716,0.0062,0.0108,0.0279,0.0087,2.7383,2.6771,0.9593,0.9677,0.7501,3.3894,4.462,1.4796,1.6278,1.3545,-405.14,32.1
ZOXMAA,85.68,1.22,190.81,2.39,6.83,8.91,29.1,19.4,14,685.47,-5.5208,-3.4848,2,1.84,-0.03,-0.01,2.49,1.91,3.04,2.96,2.59,1.36,1.22,91.98,73.59,85.07,98.37,113.07,125.4,109.42,124.49,-0.3679,0.1394,-0.0991,0.3108,0.1525,0.1903,-0.4555,0.0728,2.6358,3.0557,3.683,2.0561,2.1504,4.2239,2.113,28.9343,7.1278,5.7012,25.2736,8.422,8.3804,5.8234,8.3891,0.5939,0,0.4843,0.5565,0.3641,0.4776,0.6666,0,1.9645,1.1208,2.7844,2.7561,0.9014,1.0485,0.8062,2.9955,3.6069,1.2195,1.1603,1.2272,3.6355,3.57,3.7948,3.5562,10.1176,2.0278,2.0353,2.0176,2.024,2.0129,6.3281,12.6453,4.2438,4.1682,4.2333,10.3941,2.0972,1.9683,2.1089,2.1226,2.097,1.4105,1.577,1.4201,0.0757,0.0161,0.0232,0.0083,1.372,1.5319,1.4795,0.0881,0.0092,0.0145,0.0273,0.0091,2.7398,2.6764,0.9444,0.9533,0.7786,3.3927,4.4616,1.5312,1.5349,1.3954,-415.4,32.1
BIVLOH,94.16,8.02,194.54,3.32,7.85,9.66,36.4,30,21.9,767.28,-5.5647,-2.06,2.15,2.03,-0.01,-0.05,2.58,2.16,3.25,3.02,2.48,1.34,1.24,83.65,79.8,89.98,103.14,104.02,120.57,109.14,125.46,-0.3383,0.1658,-0.1644,0.318,0.1356,0.1889,-0.4301,0.0297,1.6251,2.9129,3.7765,1.9639,2.1086,3.9124,1.9517,28.8073,7.2569,5.681,25.2651,8.4687,8.3748,5.6402,8.5389,0.5483,0,0.5765,0.3295,0.3991,0.2084,0.3593,0,1.6269,1.165,2.7817,2.7791,0.9619,1.0226,0.7946,3.0017,3.5856,1.2866,1.1313,1.1677,3.6245,3.6032,3.7571,3.5599,10.1232,2.0233,2.044,2.0173,2.0154,2.0232,6.3332,12.4576,4.1379,4.1609,4.1588,10.5474,2.1085,2.112,2.1257,2.0598,2.1415,1.4333,1.6008,1.406,0.0759,0.0239,0.0115,0.0172,1.5205,1.4058,1.4728,0.0771,0.0052,0.0214,0.0169,0.0115,2.7345,2.6546,0.9915,0.8636,0.7996,3.3766,4.5208,1.6394,1.4562,1.4253,-440.29,32.2
CACPII,83.57,0.98,183.52,2.9,7.05,8.96,30.6,22,15.4,666.05,-5.2618,-2.534,1.95,2.14,-0.01,-0.06,2.53,2.02,3.04,2.84,2.5,1.36,1.22,88.62,74.51,89.47,98.14,105.5,130.28,108.7,124.56,-0.4321,0.1532,-0.1509,0.27,0.1451,0.1643,-0.4535,0.0694,2.0557,2.9255,3.6335,2.1193,3.0195,4.2164,2.0907,28.9564,7.1836,5.6585,25.3336,8.4375,7.208,5.8065,8.3937,0.5322,0,0.5275,0.4418,0.3884,0.5198,0.347,0,1.943,1.1379,2.782,2.7772,0.8898,1.0522,0.8352,3.0001,3.5935,1.1977,1.1806,1.2152,3.6281,3.5094,3.8388,3.6044,10.133,2.0281,2.0477,2.0156,2.0266,2.015,6.3265,12.5841,4.2235,4.1453,4.2152,10.5212,2.0658,2.13,2.1039,2.1035,2.1179,1.4263,1.5178,1.4885,0.0791,0.0109,0.027,0.0089,1.2124,1.1843,1.1046,0.2976,0.0367,0.0727,0.0625,0.0537,2.7403,2.6754,0.959,0.9544,0.762,3.3922,4.4658,1.5185,1.5708,1.3766,-443.42,32.2
DIQPEB,85.23,1.09,204.41,2.73,7.99,9.18,36.2,26.5,17.4,700.88,-5.4552,-2.9104,2.17,1.9,-0.03,-0.03,2.52,1.97,3.02,2.95,2.51,1.36,1.22,89.35,73.58,88.25,97.43,110.74,126.45,109.03,124.61,-0.4005,0.147,-0.1382,0.2934,0.1488,0.265,-0.4534,0.0686,2.3185,2.9714,3.6421,2.0799,3.2723,4.2127,2.1007,29.0028,7.1453,5.6662,25.3029,8.4219,7.0411,5.8235,8.3971,0.5283,0,0.5192,0.4896,0.3735,0.2682,0.7422,0,1.9492,1.1239,2.7815,2.7718,0.8997,0.9919,0.8801,2.9967,3.6012,1.1812,1.1761,1.2438,3.6297,3.4922,3.8499,3.5921,10.127,2.025,2.0445,2.0115,2.0299,2.0162,6.3299,12.593,4.2325,4.1207,4.2399,10.4773,2.0949,2.0582,2.1014,2.1149,2.1079,1.4031,1.5744,1.4367,0.0717,0.0162,0.0203,0.0084,1.0453,1.1317,1.3378,0.2615,0.0505,0.0304,0.0789,0.022,2.7403,2.6755,0.9582,0.9329,0.7844,3.3937,4.4651,1.4963,1.5567,1.4121,-437.01,32.2
ITEJIA,80.27,3.71,212.45,3.87,7.33,8.84,42.5,33.8,20.7,688.78,-5.5709,-2.8701,1.99,2.07,-0.04,-0.09,2.55,2.03,3.16,2.65,2.52,1.37,1.22,88.05,77.03,89.61,102.76,100.38,133.81,108.25,123.13,-0.442,0.1593,-0.1419,0.2798,0.2371,0.1835,-0.4451,0.0991,2.3624,2.9132,3.8041,3.322,2.983,4.1987,2.0812,28.9968,7.182,5.7322,25.3247,7.0027,7.0701,5.8198,8.3776,0.5032,0,0.5017,0.4269,0.4254,0.565,0.4187,0,1.9286,1.0855,2.781,2.7722,0.8913,1.1003,0.7807,3.0044,3.585,1.2039,1.1656,1.2155,3.6233,3.5942,3.8175,3.5478,10.1227,2.0206,2.0446,2.0144,2.0236,2.0194,6.3275,12.5915,4.2031,4.1525,4.236,10.5226,2.1083,2.1038,2.1197,2.1097,2.0811,1.08,1.1471,1.3096,0.2557,0.0335,0.0724,0.034,1.3004,1.0681,1.1005,0.3273,0.0494,0.0499,0.0817,0.0424,2.7387,2.6666,0.9189,0.9335,0.8142,3.3847,4.4432,1.5097,1.5443,1.3892,-449.66,32.2
KUZFOC,78.02,3.77,207.89,4.1,8.34,7.35,39.2,32.8,23.8,723.26,-5.4039,-1.9012,2.04,2.17,-0.09,-0.04,2.52,2.1,3.14,2.8,2.49,1.36,1.23,87.18,77.85,90.14,100.24,101.94,130.87,108.73,124.55,-0.4744,0.1566,-0.1569,0.3269,0.1884,0.1059,-0.4504,0.0742,1.917,2.8953,3.8025,2.1557,2.9289,4.1471,2.0901,28.9159,7.2135,5.728,25.276,8.4009,7.2292,5.7871,8.3983,0.5974,0,0.5422,0.373,0.418,0.3957,0.2863,0,1.9306,1.1111,2.7823,2.7788,0.8902,1.1053,0.7833,3.0065,3.5885,1.1732,1.2223,1.193,3.6043,3.536,3.8444,3.5405,10.1313,2.0201,2.0506,2.0121,2.0284,2.0201,6.3405,12.5467,4.2238,4.1179,4.205,10.587,2.0937,2.1462,2.1084,2.1165,2.1222,1.4306,1.5136,1.454,0.0781,0.0204,0.0083,0.022,1.3615,1.1229,1.0755,0.2934,0.059,0.054,0.0601,0.0459,2.7397,2.6718,0.9453,0.9532,0.7733,3.3905,4.463,1.4997,1.5972,1.366,-437.21,32.2
LAJVOJ,81.02,1.91,217.54,2.41,10.62,9.13,36.9,26.8,16.8,737.07,-5.3161,-2.4134,2.02,2.11,-0.09,0.03,2.54,2.06,3.17,3.06,2.49,1.37,1.22,86.6,78.09,89.08,101.96,108.33,122.24,108.9,125.17,-0.4367,0.1495,-0.1553,0.2764,0.1705,0.1432,-0.4446,0.0617,2.0258,2.9433,3.8082,2.1474,3.1179,4.0608,2.1192,28.968,7.2257,5.7108,25.328,8.4069,7.0455,5.7119,8.4103,0.512,0,0.5558,0.4477,0.4192,0.3921,0.4292,0,1.9558,1.0549,2.7824,2.7795,0.9788,1.0164,0.7843,3.005,3.5989,1.1547,1.2692,1.1749,3.6347,3.6042,3.7166,3.6214,10.1309,2.0269,2.0419,2.0257,2.0196,2.0168,6.3308,12.5736,4.1715,4.1758,4.2263,10.5321,2.0846,2.1246,2.169,2.073,2.0808,1.406,1.5609,1.4402,0.0778,0.0139,0.0275,0.0092,1.1157,1.2758,1.1374,0.3006,0.053,0.045,0.0899,0.0395,2.7413,2.6707,0.9778,0.9693,0.7235,3.3947,4.4714,1.4922,1.6411,1.3381,-431.37,32.2
NIJYIP,88.21,-0.84,202.26,1.77,8.25,9.87,33.4,23.2,15.7,668.23,-5.5676,-3.6723,1.97,2.02,0.06,0.03,2.49,1.93,3,3.03,2.58,1.37,1.22,91.51,72.67,85.38,96.47,114.76,124.2,109.82,124.95,-0.4178,0.1438,-0.101,0.2907,0.2637,0.1946,-0.4596,0.0745,2.5737,3.0259,3.6547,3.2445,2.1331,4.2508,2.1204,29.0536,7.1197,5.6911,25.2966,7.0419,8.3812,5.8355,8.3852,0.5751,0,0.4907,0.5347,0.3661,0.6425,0.4576,0,1.9811,1.1273,2.7829,2.7556,0.8966,1.0242,0.8348,2.9965,3.604,1.2149,1.1667,1.2225,3.6306,3.5316,3.8182,3.5903,10.1231,2.0296,2.039,2.0154,2.0255,2.0135,6.3288,12.638,4.2512,4.1528,4.234,10.4507,2.075,2.0206,2.1146,2.1225,2.118,1.081,1.1233,1.3122,0.2431,0.0308,0.0753,0.0259,1.3795,1.5588,1.4287,0.0762,0.0027,0.0164,0.0227,0.0087,2.7399,2.6788,0.9656,0.9449,0.7683,3.3916,4.4604,1.5289,1.5412,1.3903,-427.75,32.2
PUQNOE01,79.95,2.01,223.26,3.77,10.12,6.87,48.1,44.5,29.6,868.55,-5.283,-1.694,2.08,2.21,-0.15,0.06,2.54,2.11,3.12,2.94,2.46,1.36,1.22,84.9,77.35,89.88,99.28,105.62,128.18,108.66,125.07,-0.4739,0.1593,-0.1737,0.365,0.2077,0.1602,-0.4507,0.0642,1.8837,2.8677,3.6784,2.1019,3.1452,4.0856,2.0878,28.8551,7.2345,5.626,25.2818,8.3678,7.4154,5.7462,8.4058,0.5254,0,0.5509,0.3687,0.4062,0.2904,0.3182,0,1.9219,1.0799,2.7808,2.7866,0.9444,1.0323,0.81,3.0038,3.5887,1.1501,1.2559,1.1827,3.6008,3.5047,3.7822,3.5863,10.1436,2.0237,2.0506,2.021,2.0296,2.0187,6.332,12.5338,4.1871,4.1438,4.2029,10.6079,2.0868,2.1791,2.1544,2.0877,2.1,1.3882,1.5448,1.4472,0.077,0.0192,0.021,0.0097,1.2678,1.1674,1.2146,0.2228,0.0374,0.0342,0.0516,0.0379,2.7406,2.6747,0.9653,0.97,0.7394,3.3938,4.4697,1.4847,1.6334,1.3517,-434.67,32.2
ROXHUK,80.09,2.91,220.23,2.37,7.62,14.46,36.8,27.8,18.1,850.87,-5.303,-2.4537,1.95,2.19,-0.09,-0.01,2.53,2.02,3.19,2.76,2.55,1.36,1.22,89.56,77.79,88.41,103.52,102.65,130.43,108.3,124.16,-0.4667,0.1515,-0.1227,0.2445,0.1843,0.1707,-0.4501,0.0825,2.0435,2.936,3.803,2.1662,2.9937,4.1839,2.1045,28.9336,7.1942,5.714,25.3582,8.3934,7.0857,5.7901,8.3865,0.5278,0,0.4948,0.4328,0.4271,0.4673,0.3297,0,1.9596,1.0896,2.7841,2.7659,0.8569,1.1185,0.7905,3.006,3.5924,1.1553,1.1797,1.2574,3.6334,3.6718,3.8485,3.4667,10.1203,2.0186,2.0296,2.0074,2.0365,2.0283,6.3334,12.5802,4.2349,4.1299,4.2153,10.5528,2.1244,2.0807,2.0945,2.1663,2.0869,1.4034,1.5176,1.479,0.0818,0.0192,0.0183,0.0136,1.303,1.1443,1.0565,0.2956,0.0531,0.0556,0.067,0.0409,2.7405,2.6688,0.8586,0.9393,0.871,3.3893,4.4557,1.4631,1.5528,1.4398,-433.62,32.2
SANPIJ,105.5,0.52,203.53,3.62,10.74,10.44,40.8,31.4,21,834.71,-5.3248,-1.9575,1.99,2.03,-0.16,0.22,2.55,2.06,3.01,3.02,2.48,1.36,1.23,87.31,73.43,90.26,95.15,110.22,126.48,108.91,125,-0.4763,0.1559,-0.1561,0.2923,0.1931,0.207,-0.4532,0.0544,1.9646,2.9345,3.6466,1.9888,2.103,4.1123,2.0959,28.8878,7.2042,5.6567,25.3332,8.4272,8.3451,5.7546,8.4099,0.4963,0,0.5504,0.4615,0.3831,0.3406,0.3442,0,1.9451,1.0942,2.7806,2.7778,0.9146,0.9878,0.8754,3.0001,3.5953,1.1619,1.2015,1.2319,3.621,3.4677,3.8582,3.6106,10.1341,2.021,2.0511,2.0105,2.0318,2.0197,6.3057,12.548,4.1992,4.1568,4.1921,10.6223,2.0911,2.1953,2.141,2.0937,2.1013,1.3888,1.4838,1.5198,0.0808,0.0171,0.0185,0.0106,1.4951,1.4746,1.4144,0.0771,0.0042,0.0158,0.0267,0.0097,2.7411,2.6766,0.9715,0.945,0.7601,3.3969,4.4765,1.4936,1.5935,1.3894,-442.7,32.2
