Ligand,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
AMEBAC01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMEMEL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMENAI,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
AMEROZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMETMA,Not Minimum,Minimum,Incorrect TS,Correct TS
AMEVOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMHPYR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMIMCA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMIMDZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMINER,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMITDZ,Minimum,Minimum,Incorrect TS,Correct TS
AMNPHA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMNPQH10,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AMOADA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMOQEA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMOWOQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMPHOM03,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMPTRA10,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMPTRB10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMTURM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMURAC,Minimum,Minimum,Incorrect TS,Correct TS
AMXPRI10,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AMXPZT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMXZPY10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANAGUT,Minimum,Minimum,Correct TS,Correct TS
ANAMUZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANAZTP10,Minimum,Minimum,Correct TS,Correct TS
ANITUN,Minimum,Minimum,Correct TS,Correct TS
ANITUO,Minimum,Minimum,Correct TS,Correct TS
ANONAL11,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANONEX02,Minimum,Minimum,Correct TS,Correct TS
ANONIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANOTUT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ANOVEG,Minimum,Minimum,Correct TS,Correct TS
APAKEJ,Minimum,Minimum,Correct TS,Correct TS
APAKUZ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
APANIQ,Minimum,Minimum,Correct TS,Correct TS
APAPIR,Minimum,Minimum,Incorrect TS,Correct TS
APAVIX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APAWAR,Minimum,Minimum,Correct TS,Correct TS
APEGAF,Minimum,Minimum,Correct TS,Correct TS
APEJEM,Minimum,Minimum,Incorrect TS,Correct TS
APEJUC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
APENAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
APENOA,Not Minimum,Minimum,Incorrect TS,Correct TS
APEVAU,Minimum,Minimum,Correct TS,Correct TS
APFPTS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APGPHI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APIDUZ,Minimum,Minimum,Correct TS,Correct TS
APIFAH,Minimum,Minimum,Correct TS,Correct TS
APIXAA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
APIXEE,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
APOBUD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APOLUN,Minimum,Not Minimum,Incorrect TS,Correct TS
APOTIJ,Minimum,Minimum,Correct TS,Correct TS
APOTOP,Minimum,Minimum,Incorrect TS,Correct TS
APTERN,Not Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
APUGEZ,Minimum,Minimum,Incorrect TS,Correct TS
APUJEB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APUMEF,Minimum,Not Minimum,Correct TS,Correct TS
APUMOP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APUMUV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
APYNAC,Minimum,Minimum,Correct TS,Correct TS
AQAGOQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AQAHOR,Minimum,Minimum,Incorrect TS,Correct TS
AQANEL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AQARUF01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AQEPES,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AQEWUP,Minimum,Minimum,Incorrect TS,Correct TS
AQEYUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AQIDIO,Minimum,Minimum,Correct TS,Correct TS
AQIKUG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AQINAP,Minimum,Minimum,Correct TS,Correct TS
