Ligand,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
WEZCUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WEZXOQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WEZZUY,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WIBGAQ,Minimum,Minimum,Correct TS,Correct TS
WIBLID,Minimum,Minimum,Correct TS,Correct TS
WIBNAY,Minimum,Minimum,Correct TS,Correct TS
WIBNUT,Minimum,Minimum,Correct TS,Correct TS
WIBQIJ05,Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
WIBZEM,Minimum,Minimum,Correct TS,Correct TS
WICFET,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WICKUR,Minimum,Minimum,Incorrect TS,Correct TS
WICZEQ,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
WIDCER02,Minimum,Minimum,Incorrect TS,Correct TS
WIDDES,Minimum,Minimum,Correct TS,Correct TS
WIDDEV01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIDWUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIDXIQ,Minimum,Minimum,Incorrect TS,Correct TS
WIFBAR01,Minimum,Minimum,Incorrect TS,Correct TS
WIFKII,Minimum,Minimum,Incorrect TS,Correct TS
WIFNAB01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIFREI,Minimum,Not Minimum,Incorrect TS,Correct TS
WIFYEP,Minimum,Minimum,Correct TS,Correct TS
WIFZIW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIGBOF,Minimum,Not Minimum,Incorrect TS,Correct TS
WIGGAV,Minimum,Minimum,Correct TS,Correct TS
WIGLOQ,Minimum,Minimum,Correct TS,Correct TS
WIGPAF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIGQAG01,Minimum,Minimum,Incorrect TS,Correct TS
WIGSAI,Minimum,Minimum,Incorrect TS,Correct TS
WIGWEQ,Minimum,Minimum,Incorrect TS,Correct TS
WIGXIU01,Minimum,Not Minimum,Correct TS,Correct TS
WIHCAS,Minimum,Minimum,Correct TS,Correct TS
WIHDAU,Minimum,Minimum,Correct TS,Correct TS
WIHFID,Minimum,Minimum,Correct TS,Correct TS
WIHFUQ,Not Minimum,Not Minimum,Correct TS,Correct TS
WIHNEI,Not Minimum,Minimum,Incorrect TS,Correct TS
WIHVUG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WIJNUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIJQUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WIJVET,Minimum,Minimum,Correct TS,Correct TS
WIKRAL,Minimum,Minimum,Correct TS,Correct TS
WIKTOZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIKTUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WILKAG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WILROA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIMHEF,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WINFAC,Minimum,Not Minimum,Correct TS,Correct TS
WINKOU,Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
WINLIP,Minimum,Minimum,Incorrect TS,Correct TS
WINMAI,Minimum,Minimum,Correct TS,Correct TS
WINNUC,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WINPAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WINPEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WINROD,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WINTUJ,Minimum,Minimum,Incorrect TS,Correct TS
WINVAR,Minimum,Minimum,Incorrect TS,Correct TS
WINXIA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WINXUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIPCAZ,Minimum,Minimum,Incorrect TS,Correct TS
WIPCIH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIPHEI,Minimum,Minimum,Correct TS,Correct TS
WIPLAK,Minimum,Minimum,Correct TS,Correct TS
WIPRIY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIPVOG,Minimum,Minimum,Correct TS,Correct TS
WIPVUM,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WIPWEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIQBUT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WIQZOL,Minimum,Minimum,Correct TS,Correct TS
WIRRUK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIRSAR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIRSOF,Not Minimum,Minimum,Correct TS,Correct TS
WIRYEB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WIRZUS,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WISGAG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WISJAJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WISJIU01,Minimum,Minimum,Correct TS,Correct TS
WISNUJ,Not Minimum,Minimum,Incorrect TS,Correct TS
WISPUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WISRUN,Minimum,Minimum,Correct TS,Correct TS
WISSEY,Not Minimum,Minimum,Incorrect TS,Correct TS
WISTAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WITPIB,Minimum,Minimum,Correct TS,Correct TS
WITSIB01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WITTOI,Minimum,Minimum,Correct TS,Correct TS
WITWUU,Minimum,Minimum,Correct TS,Correct TS
WITZOP,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WIVGIU,Minimum,Minimum,Incorrect TS,Correct TS
WIVKUI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WIVSUR,Minimum,Minimum,Correct TS,Correct TS
WIVXOR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIVYUV,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIWBOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIWGOB,Minimum,Minimum,Correct TS,Correct TS
WIWPAU,Not Minimum,Not Minimum,Correct TS,Correct TS
WIWVIH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIXCAI,Minimum,Minimum,Correct TS,Correct TS
WIXFAM,Minimum,Minimum,Incorrect TS,Correct TS
WIXFUH,Minimum,Minimum,Incorrect TS,Correct TS
WIXHUG,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WIXLAS,Minimum,Not Minimum,Correct TS,Correct TS
WIXLEW,Not Minimum,Minimum,Correct TS,Correct TS
WIXLIA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIXXOR,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WIYFIV,Minimum,Minimum,Incorrect TS,Correct TS
WIYWIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIZJUN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WIZWAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOBKAZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WOBMEG,Minimum,Minimum,Incorrect TS,Correct TS
WOBNAD,Minimum,Minimum,Incorrect TS,Correct TS
WOBNIK,Minimum,Not Minimum,Correct TS,Correct TS
WOBNOQ,Minimum,Minimum,Correct TS,Correct TS
WOBPAE,Not Minimum,Minimum,Correct TS,Correct TS
WOBPOS,Not Minimum,Minimum,Correct TS,Correct TS
WOBQAG,Minimum,Minimum,Correct TS,Correct TS
WOBRIP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WOBXAM,Minimum,Minimum,Incorrect TS,Correct TS
WOBXUG,Minimum,Not Minimum,Correct TS,Correct TS
WOBYER,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOCBIB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WOCBOH,Minimum,Minimum,Incorrect TS,Correct TS
WOCFAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOCHOL,Minimum,Not Minimum,Incorrect TS,Correct TS
WOCHUR,Minimum,Minimum,Correct TS,Correct TS
WOCJAB,Not Minimum,Minimum,Correct TS,Correct TS
WOCJON,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
WOCKAA,Not Minimum,Not Minimum,Incorrect TS,Incorrect TS
WOCLAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOCLUY,Minimum,Minimum,Correct TS,Correct TS
WOCMEJ,Minimum,Minimum,Correct TS,Correct TS
WOCNIN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOCNUA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WOCREL,Minimum,Minimum,Correct TS,Correct TS
WOCTUD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOCVEP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WOCZIA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WODHOS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WODJIL,Not Minimum,Minimum,Correct TS,Correct TS
WODLAD,Minimum,Minimum,Correct TS,Correct TS
WODQAJ,Minimum,Minimum,Incorrect TS,Correct TS
WODZIZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOFSER,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WOGGAC,Minimum,Minimum,Correct TS,Correct TS
WOGGIK,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
WOGHAD,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WOGHAE,Minimum,Minimum,Correct TS,Correct TS
WOGHEH,Not Minimum,Minimum,Incorrect TS,Correct TS
WOGHIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOGJAF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOGVEU,Minimum,Not Minimum,Correct TS,Correct TS
WOGZEZ,Minimum,Not Minimum,Correct TS,Correct TS
WOHDAB,Minimum,Minimum,Correct TS,Correct TS
WOHKIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOHRIV,Minimum,Not Minimum,Incorrect TS,Correct TS
WOHROB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOHXEZ01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOJBEE,Minimum,Minimum,Correct TS,Correct TS
WOJBEF,Not Minimum,Minimum,Incorrect TS,Correct TS
WOJHOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOJLIT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOJLOX,Minimum,Minimum,Incorrect TS,Correct TS
WOJLOZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WOJLUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOJPIW,Minimum,Minimum,Correct TS,Correct TS
WOJQIY,Not Minimum,Not Minimum,Correct TS,Correct TS
WOJSOG,Not Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
WOJVEY,Minimum,Minimum,Incorrect TS,Correct TS
WOKMEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WOKMUE03,Minimum,Minimum,Incorrect TS,Correct TS
WOKPAO,Minimum,Minimum,Correct TS,Correct TS
WOKQAP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WOKQET,Minimum,Minimum,Correct TS,Correct TS
WOKROD,Minimum,Minimum,Correct TS,Correct TS
WOKSAQ,Minimum,Minimum,Incorrect TS,Correct TS
WOKWAV,Minimum,Minimum,Incorrect TS,Correct TS
WOKXAX,Minimum,Minimum,Correct TS,Correct TS
WOKXIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOKYUS,Minimum,Minimum,Correct TS,Correct TS
WOLDIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOLHOW,Minimum,Minimum,Correct TS,Correct TS
WOLJUF,Minimum,Minimum,Correct TS,Correct TS
WOMHUD,Minimum,Minimum,Correct TS,Correct TS
WOMJAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOMWAY,Minimum,Minimum,Correct TS,Correct TS
WOMWEC,Minimum,Minimum,Correct TS,Correct TS
WOMWIG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOMXOM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOMYEC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WONFUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WONGIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WONGUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WONLUJ02,Minimum,Minimum,Correct TS,Correct TS
WONROI,Minimum,Minimum,Incorrect TS,Correct TS
WONVIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WONWIH,Minimum,Minimum,Correct TS,Correct TS
WOPJUJ,Minimum,Not Minimum,Correct TS,Correct TS
WOPMAS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOPWUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WOQBAF02,Minimum,Minimum,Incorrect TS,Correct TS
WOQCUC,Minimum,Minimum,Correct TS,Correct TS
WOQDAJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WOQGUH,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WOQVON,Minimum,Minimum,Correct TS,Correct TS
WOQXIL,Minimum,Minimum,Correct TS,Correct TS
WORNEZ,Minimum,Minimum,Incorrect TS,Correct TS
WORYUX,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WOSDAM,Minimum,Minimum,Incorrect TS,Correct TS
WOSFES,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WOSHAN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOSJIA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOSTIH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOSWUY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOTMIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WOTNOL,Minimum,Minimum,Incorrect TS,Correct TS
WOTPOK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOTRII,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOTZEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOTZUD,Minimum,Minimum,Correct TS,Correct TS
WOVJUO,Minimum,Not Minimum,Correct TS,Correct TS
WOVSIJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
WOVXIO,Minimum,Minimum,Correct TS,Correct TS
WOWDUK,Minimum,Minimum,Correct TS,Correct TS
WOWFEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOWFIA,Not Minimum,Minimum,Correct TS,Correct TS
WOYCAR,Minimum,Minimum,Incorrect TS,Correct TS
WOYJAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOYMAA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WOYMII,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WOYNOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOZHAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WOZJIH,Minimum,Minimum,Correct TS,Correct TS
WOZJUS,Not Minimum,Minimum,Correct TS,Correct TS
WOZPUW,Minimum,Minimum,Incorrect TS,Correct TS
WOZWAL,Minimum,Minimum,Incorrect TS,Correct TS
WUBDAY01,Minimum,Minimum,Correct TS,Correct TS
WUBJAE,Minimum,Minimum,Correct TS,Correct TS
WUCBAA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUCBEE,Minimum,Not Minimum,Correct TS,Correct TS
WUCBUU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUCHAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUCNAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUCQIU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUCTAP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUDGUX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUDLUF,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUDPUJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUDVAS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUDWUO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
WUFTAU,Minimum,Not Minimum,Correct TS,Correct TS
WUFWAY,Not Minimum,Minimum,Incorrect TS,Correct TS
WUGDAE,Minimum,Minimum,Correct TS,Correct TS
WUGLIV,Minimum,Minimum,Incorrect TS,Correct TS
WUGLOB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUGROI,Minimum,Minimum,Correct TS,Correct TS
WUHFEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUHFOX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUHHAJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUHHAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUHYED,Minimum,Minimum,Correct TS,Correct TS
WUHYIH,Minimum,Minimum,Correct TS,Correct TS
WUJGIT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUJGOZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUJMIZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUJSEZ,Minimum,Minimum,Incorrect TS,Correct TS
WUJWAB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUJXAA,Minimum,Minimum,Correct TS,Correct TS
WUKCOX,Not Minimum,Minimum,Incorrect TS,Correct TS
WUKCUD,Minimum,Minimum,Correct TS,Correct TS
WUKLAP,Minimum,Not Minimum,Correct TS,Correct TS
WUKMIY,Not Minimum,Minimum,Correct TS,Correct TS
WUKNUN,Minimum,Minimum,Correct TS,Correct TS
WUKPIB,Minimum,Minimum,Incorrect TS,Correct TS
WUKQIC,Minimum,Minimum,Correct TS,Correct TS
WUKREC,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUKTED,Not Minimum,Minimum,Correct TS,Correct TS
WUKWIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUKXUV,Minimum,Minimum,Correct TS,Correct TS
WUKZAE,Minimum,Minimum,Correct TS,Correct TS
WUKZIO,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
WULDEN,Minimum,Minimum,Incorrect TS,Correct TS
WULDUD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WULJEU,Minimum,Minimum,Correct TS,Correct TS
WULPUP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WULTEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WULXOS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WULYIN,Minimum,Minimum,Incorrect TS,Correct TS
WUMBEN,Not Minimum,Minimum,Correct TS,Correct TS
WUMGAN,Minimum,Not Minimum,Correct TS,Correct TS
WUMQAX,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUMSUT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUMTEE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUMXUZ,Minimum,Minimum,Correct TS,Correct TS
WUMYAG,Minimum,Minimum,Correct TS,Correct TS
WUNLUN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUNSOQ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUNSUW,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUNZOW,Minimum,Minimum,Correct TS,Correct TS
WUPBUH,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUPDUI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUPNUR,Minimum,Minimum,Correct TS,Correct TS
WUPYAI,Not Minimum,Minimum,Correct TS,Correct TS
WUPYEM,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUQKAW01,Minimum,Minimum,Correct TS,Correct TS
WUQKEA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUQKUP,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUQLID,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUQMUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUQSUY,Minimum,Minimum,Correct TS,Correct TS
WUQWAI,Not Minimum,Minimum,Incorrect TS,Correct TS
WUQWEM,Minimum,Not Minimum,Incorrect TS,Correct TS
WUQYOY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WURCOC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WURMEB,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
WURNAZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WURQAC,Minimum,Minimum,Correct TS,Correct TS
WURWOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
WURYAK,Minimum,Not Minimum,Incorrect TS,Correct TS
WURYAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WURYIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUSFOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUSGOH,Minimum,Minimum,Incorrect TS,Correct TS
WUSNII,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUSVIR,Minimum,Minimum,Incorrect TS,Correct TS
WUSVOX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUTBAP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUTDOF,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUTDUL,Minimum,Minimum,Correct TS,Correct TS
WUTFEX,Minimum,Minimum,Incorrect TS,Correct TS
WUTFIB,Minimum,Minimum,Correct TS,Correct TS
WUTLON,Minimum,Minimum,Incorrect TS,Incorrect TS
WUTVIQ,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUTWEP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUTWOY,Minimum,Minimum,Incorrect TS,Correct TS
WUVWAL,Minimum,Minimum,Correct TS,Correct TS
WUVWIT,Minimum,Minimum,Correct TS,Correct TS
WUVWOB,Minimum,Minimum,Correct TS,Correct TS
WUVXOA,Not Minimum,Minimum,Correct TS,Correct TS
WUVYUI,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUWHUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUWREN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUWYAQ,Minimum,Minimum,Correct TS,Correct TS
WUXGIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUXLAC,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
WUXYAQ,Not Minimum,Not Minimum,Correct TS,Calc Fail
WUXYAR,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUXYEV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
WUYPAI,Minimum,Minimum,Correct TS,Correct TS
WUZHAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUZHEG,Minimum,Not Minimum,Correct TS,Correct TS
WUZRUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
WUZSUH,Minimum,Not Minimum,Correct TS,Correct TS
XABCUZ,Minimum,Minimum,Correct TS,Correct TS
XABGIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XABMIX,Minimum,Minimum,Incorrect TS,Correct TS
XABNIA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XABPEZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XABQIB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XABWAA,Minimum,Minimum,Correct TS,Correct TS
XACDAJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XACGUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XACLOE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XACSOL,Minimum,Minimum,Correct TS,Correct TS
XADTIF,Minimum,Minimum,Incorrect TS,Correct TS
XADZEI,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAFDIV,Minimum,Minimum,Correct TS,Correct TS
XAFKIY,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAFMIB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAFSIG,Minimum,Minimum,Correct TS,Correct TS
XAGDUH,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XAGFUH,Minimum,Not Minimum,Correct TS,Correct TS
XAGGAO,Minimum,Minimum,Incorrect TS,Correct TS
XAGGOB,Minimum,Minimum,Correct TS,Correct TS
XAGKUL,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
XAGWAH,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAGWEL,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAGXEK,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAHBUG,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAHLID,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XAHPAX,Minimum,Minimum,Correct TS,Correct TS
XAHRIK,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
XAHWOT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAJDEU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
XAJDOC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAJSEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
XAJTIM,Minimum,Not Minimum,Incorrect TS,Correct TS
XAJWAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
