Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
TOMPER,77.31,15.13,170.32,1.93,-4.5536,-2.8709,0.355,-0.1454,1.3138,2.0476,5.8247,7.0193,0.139,0.9688,10.1306,6.2934,12.6064,9.7451,1.5171,1.4421,1.7024,0.4141,1.2661,0.0142,34.4
URICAC,82.85,-15.54,174.68,1.7,-3.5377,-1.6609,0.2842,-0.2154,1.3543,3.0485,6.0018,8.4803,0.139,1.0282,10.1776,6.3509,12.5456,9.8193,1.401,1.3948,1.141,0.0857,1.4825,0.0439,26.9
LAPXEG,72.37,7.47,175.38,2,-4.7131,-3.1399,0.3329,-0.122,1.339,2.9893,5.7235,8.4388,0.1394,0.9869,10.1179,6.3185,12.6171,9.7315,1.2905,1.4723,1.3059,0.0601,1.4464,0.0711,1.7
NOKJIJ,69.52,8.97,165.62,2.01,-4.7409,-3.9298,0.3455,-0.1185,1.2869,1.792,5.8164,6.9337,0.1395,1.0054,10.1093,6.3068,12.6271,9.7206,1.5773,1.4082,1.5863,0.5058,1.252,0.0147,17.2
TIDTAD,75.89,4.25,165.49,1.7,-4.2531,-2.6227,0.347,-0.1531,1.3365,2.0854,5.8356,6.8579,0.1399,0.9957,10.14,6.2932,12.5939,9.7658,1.481,1.4822,1.6434,0.3908,1.3714,0.0134,25.8
YEHBUI,81.46,15.09,176.63,3.89,-4.3973,-2.7608,0.3976,-0.1351,1.3451,2.0065,5.8431,8.3343,0.14,0.9907,10.1327,6.2903,12.5763,9.7358,1.5716,1.4287,1.591,0.3685,1.4858,0.0561,7.1
MENOGU,60.45,-3.02,169.8,1.7,-3.6287,-1.6294,0.238,-0.2269,1.3644,3.0271,6.0874,7.1013,0.1401,1.046,10.1809,6.3606,12.5659,9.8355,1.3892,1.4228,1.1978,0.0818,1.3778,0.0138,22.8
NUYYOX,74.46,6.97,174.53,1.88,-4.6645,-3.0767,0.2672,-0.1455,1.3351,3.2333,5.7826,7.0102,0.1405,1.0375,10.1302,6.3262,12.6504,9.7562,1.1955,1.4099,1.2244,0.0916,1.3631,0.0158,33.8
FALGUX,77.54,3.97,165.44,1.64,-4.571,-2.8872,0.3576,-0.1441,1.3157,2.065,5.7911,7.0456,0.1405,0.9989,10.1244,6.2951,12.6042,9.7432,1.4855,1.4838,1.6224,0.4115,1.3449,0.0106,27.6
SASFAU01,72.05,6.01,239.43,1.7,-4.3065,-3.2332,0.3303,-0.1539,1.306,3.1975,5.9771,8.4046,0.1406,0.9853,10.1324,6.2914,12.6567,9.7217,1.2395,1.3643,1.2005,0.0942,1.4793,0.0554,24.1
XAFDIU,73.57,15.39,190.12,3.39,-4.6225,-3.5172,0.384,-0.13,1.2872,2.0413,5.8115,7.0488,0.1408,0.9684,10.1186,6.3066,12.5895,9.7199,1.4645,1.4179,1.7224,0.4314,1.2547,0.0274,24.2
