Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PX_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,Cu-O,C-I,N-Cu-I,Cu-I-C,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Lowdin_Charge_Amide_C,Lowdin_Charge_Amide_O,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Bonded_Valence_Amide_C,Bonded_Valence_Amide_O,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Atomic_Population_Amide_C,Atomic_Population_Amide_O,Bond_Order_Cu-I,Bond_Order_Cu-C,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Cu-L2,Bond_Order_Amide_C-O,Bond_Order_Amide_C-N,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_N_s,Orbital_Charge_N_p,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dxy,Orbital_Charge_L2_dz2,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_C_p,Orbital_Charge_Amide_C_pz,Orbital_Charge_Amide_C_px,Orbital_Charge_Amide_C_py,Orbital_Charge_Amide_O_s,Orbital_Charge_Amide_O_p,Orbital_Charge_Amide_O_pz,Orbital_Charge_Amide_O_px,Orbital_Charge_Amide_O_py,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
LEFYAY,74.63,3.98,165.94,2.1,8.28,6.46,31.2,21.5,11.7,586.53,-4.1659,-2.8878,1.97,2.38,0.06,-0.24,2.59,3.25,1.92,2.33,62.35,82.41,89.15,74.03,0.3919,-0.1852,-0.0615,0.159,-0.5621,-0.3313,0.2239,-0.6637,2.0125,2.7398,3.6066,1.4408,2.0572,2.959,4.0123,2.0071,28.7469,7.1672,5.7936,25.1342,8.5329,7.6256,5.7072,8.4728,0.5466,0,0.8075,0,0.4286,0.1327,1.3752,1.5715,2.9254,0.8896,1.0396,1.1069,3.1936,3.9116,1.3159,1.4036,1.1921,3.7445,3.7079,3.5594,3.6705,10.1587,2.0391,2.0244,2.0496,2.0203,2.0253,6.3034,12.4649,4.0667,4.2099,4.1883,9.8398,1.9803,1.9804,1.9378,1.9549,1.9866,1.5083,1.7206,1.4419,0.4007,0.0635,0.078,0.0951,1.2377,1.3447,1.4976,0.0599,0.0092,0.0048,0.0179,2.7728,2.7663,0.8738,0.929,0.9635,3.5024,4.7633,1.6518,1.6735,1.4379,-365.14,1.26,128.49,30
AXETEE02,83.73,6.49,195.44,2.98,9.97,8.88,39.3,35.1,22.2,786.23,-4.3421,-2.5669,1.94,2.44,0,-0.19,2.55,3.19,2.89,2.48,86.42,78.63,88.86,102.9,0.1741,-0.1936,-0.0334,0.0511,0.0001,-0.1566,0.2086,-0.5834,2.1665,2.6714,3.6036,1.3781,3.1841,3.1071,3.9763,2.0617,28.8524,7.2734,5.8201,25.2284,7.0483,7.3134,5.7441,8.399,0.5784,0,0.6763,0.4075,0.6797,0.1337,1.9439,1.157,2.9307,1.063,1.0125,0.9346,3.2161,3.898,1.2044,1.2888,1.4049,3.7695,3.7309,3.8348,3.479,10.1348,2.0232,2.0341,2.0158,2.0241,2.0376,6.3862,12.5696,4.1742,4.1645,4.2309,9.8701,1.9854,1.9577,1.9726,1.9762,1.9782,1.2737,1.174,1.2362,0.1615,0.0274,0.0478,0.0168,1.3948,1.3127,1.1759,0.1181,0.0179,0.033,0.0136,2.7928,2.7589,0.9561,0.9411,0.8617,3.5562,4.7221,1.4902,1.6934,1.5385,-428.79,1.23,124.75,31
XEZLET,62.08,0.91,171.35,2.43,5.85,7.32,29,23.8,14,580.46,-3.9254,-2.5188,1.92,2.37,0.03,-0.08,2.52,3.11,3.09,2.5,88.66,76.57,88.79,98.79,0.1512,-0.1858,-0.0306,-0.0099,-0.1633,-0.4202,0.2042,-0.577,2.0388,2.7095,3.7154,1.3378,3.2745,2.8448,4.0565,2.0851,28.8035,7.2676,5.9086,25.2658,7.1501,7.2536,5.7742,8.3993,0.5873,0,0.6353,0.4076,0.5576,0.1343,1.9844,1.1818,2.9331,0.9937,1.1031,0.9096,3.2132,3.8931,1.3274,1.2143,1.3515,3.773,3.542,3.9201,3.6364,10.1384,2.0201,2.0526,2.0143,2.0328,2.0186,6.3994,12.5732,4.2223,4.0869,4.2639,9.8763,1.9904,1.9707,1.9728,1.9767,1.9657,1.2631,1.2459,1.4134,0.0923,0.0143,0.0232,0.01,1.4504,1.2437,1.3818,0.0762,0.0132,0.0141,0.01,2.7933,2.7624,0.9984,0.9732,0.7908,3.5558,4.7287,1.6295,1.6215,1.4777,-425.65,1.22,125.34,35.4
PEMXEL,76.35,3.56,167.51,2.33,9.08,6.8,32.6,23.5,15.3,701.12,-4.008,-2.3477,1.97,2.38,0,-0.16,2.51,3.28,1.99,2.35,63.51,84.95,89.61,74.96,0.3147,-0.1889,-0.0594,0.1484,-0.6752,-0.3432,0.2236,-0.6502,2.0864,2.759,3.6795,1.5054,2.0246,2.9997,3.9709,1.9736,28.8382,7.1669,5.8161,25.1315,8.585,7.6056,5.6777,8.4917,0.6685,0,0.7722,0,0.4847,0.1346,1.3664,1.5701,2.9265,0.9973,0.8935,1.1429,3.1952,3.9141,1.3968,1.3248,1.1925,3.733,3.5323,3.721,3.6963,10.1689,2.0442,2.0328,2.0237,2.0426,2.0257,6.2968,12.5205,4.1957,4.1076,4.2172,9.868,1.97,1.9939,1.9612,1.9634,1.9794,1.5313,1.7673,1.4365,0.4328,0.0593,0.101,0.0659,1.3165,1.3091,1.4608,0.0582,0.0169,0.0071,0.0094,2.7737,2.7657,0.9604,0.8488,0.9564,3.512,4.7531,1.599,1.631,1.5231,-366.95,1.26,127.98,28.2
YEYREB,82.06,1.08,185.75,3.81,7.23,8.62,41.2,32.8,20.1,693.37,-2.588,-2.0106,1.97,2.35,-0.01,-0.09,2.52,3.23,3.13,2.43,83.57,81.33,88.4,99.39,0.3638,-0.1814,-0.0519,0.0162,-0.7818,-0.727,0.1982,-0.6288,2.1064,2.5913,3.7003,1.3208,1.8008,1.7027,4.0747,2.0981,28.8095,7.2559,5.8327,25.3101,8.584,8.2991,5.7929,8.4253,0.579,0,0.6903,0.2936,0.5936,0.1367,1.9962,1.2385,2.9361,1.0224,1.056,0.945,3.2119,3.8901,1.216,1.3708,1.3032,3.7533,3.5433,3.8062,3.7056,10.1754,2.0269,2.0514,2.0311,2.0338,2.0321,6.2844,12.4894,4.1406,4.15,4.1988,9.8623,1.975,2.0004,1.9978,1.9681,1.9209,1.7486,1.6919,1.3702,0.4229,0.0366,0.1085,0.0716,1.3638,1.6518,1.5984,0.6143,0.1121,0.1163,0.146,2.7883,2.7722,0.9695,0.9698,0.8329,3.5593,4.7688,1.4932,1.766,1.5096,-357.54,1.24,126.79,43.5
AFAXUC,75.28,3.23,168.16,2.32,10.22,6.81,32.4,23.9,14.3,686.1,-4.1012,-3.0457,1.93,2.37,0.02,-0.19,2.52,3.29,1.96,2.34,62.54,85.03,89.2,74.46,0.3534,-0.1877,-0.0614,0.1623,-0.6588,-0.3568,0.2245,-0.6438,2.1783,2.7494,3.6727,1.4966,2.0852,2.9336,3.9811,2.009,28.7947,7.164,5.8196,25.1154,8.5344,7.6292,5.69,8.4776,0.6317,0,0.777,0,0.5189,0.1376,1.3705,1.5631,2.9258,0.9967,0.8985,1.1409,3.1961,3.9117,1.4011,1.3258,1.1848,3.7331,3.5819,3.6496,3.705,10.1681,2.0423,2.0327,2.0241,2.0406,2.0284,6.2959,12.5215,4.2047,4.1003,4.2165,9.8293,1.9803,1.9653,1.9563,1.9485,1.9788,1.5219,1.7467,1.4388,0.4538,0.0608,0.1123,0.063,1.3158,1.2919,1.4885,0.0602,0.0222,0.0097,0.0071,2.7732,2.766,0.9722,0.8409,0.953,3.508,4.7503,1.6354,1.6252,1.4897,-367.24,1.26,128.06,30.3
WIVGIU,77.45,2.6,201.79,2.83,10.9,6.79,39.3,29.7,20.1,793.84,-3.9531,-2.1284,2,2.35,0.02,-0.18,2.52,3.4,1.98,2.35,64.2,88.65,89.42,80.13,0.2117,-0.1902,-0.0586,0.1435,-0.1632,-0.3777,0.2254,-0.6789,2.1141,2.7782,3.6899,1.5129,3.1471,2.979,3.8368,1.9387,28.849,7.1804,5.8287,25.1423,7.1662,7.6415,5.6431,8.4915,0.6622,0,0.7681,0,0.4764,0.1391,1.3111,1.5566,2.9263,1.0485,1.0817,0.9029,3.1955,3.9149,1.4057,1.2032,1.306,3.7314,3.5632,3.8,3.5911,10.1707,2.0405,2.0502,2.0244,2.0303,2.0253,6.3361,12.5716,4.2264,4.177,4.1681,9.8807,1.9746,1.9747,1.9812,1.9752,1.975,1.3284,1.329,1.26,0.0945,0.0147,0.017,0.0192,1.2246,1.2796,1.6044,0.0582,0.02,0.0051,0.0139,2.7747,2.7616,0.9381,0.9657,0.8578,3.5105,4.7561,1.6819,1.4632,1.611,-374.29,1.26,127.4,40.8
DOWWOE,74.95,3.51,176.09,2.79,5.3,7.16,31.3,21.5,10.9,568.55,-4.1275,-2.1634,2.09,2.32,-0.02,-0.15,2.55,3.25,1.96,2.33,63.36,83.31,90.36,74.75,0.2295,-0.1842,-0.0646,0.1329,-0.3745,-0.102,0.2225,-0.6668,2.0005,2.7412,3.6917,1.4604,2.9392,3.1822,3.9408,2.0179,28.7857,7.1638,5.8324,25.1446,7.7742,7.2602,5.6652,8.5069,0.6071,0,0.7946,0,0.3712,0.1407,1.3523,1.5395,2.9249,0.9327,1.0969,1.0092,3.1929,3.9113,1.2862,1.3613,1.2638,3.7372,3.9154,3.6065,3.439,10.169,2.0294,2.0213,2.0566,2.0249,2.0368,6.3369,12.5432,4.1747,4.2063,4.1622,9.8904,1.9868,1.9631,1.9777,1.9801,1.9827,1.3603,1.3192,1.4272,0.0627,0.0099,0.0138,0.0155,1.0969,1.4011,1.3613,0.1249,0.0343,0.0062,0.0411,2.7744,2.7656,0.9604,0.9008,0.9044,3.5065,4.7673,1.6128,1.6478,1.5067,-383.11,1.26,127.96,33.2
GUNFAY,92.48,-3.38,196.23,3.97,10.42,8.92,43.2,34.3,21,787.27,-4.7763,-2.9124,1.87,2.39,0.06,-0.14,2.48,3.08,2.8,2.55,92.01,75.44,87.44,99.57,0.2477,-0.1629,-0.0138,0.0914,-0.0039,-0.5168,0.2095,-0.5714,2.9919,2.8061,3.6889,1.455,3.0703,1.8654,3.9255,2.0527,29.1436,7.2056,5.9561,25.1439,6.8678,8.4078,5.7256,8.3948,0.6665,0,0.6246,0.5273,0.6131,0.141,1.9263,1.1588,2.9312,1.0124,1.0573,0.9226,3.2002,3.8827,1.2665,1.2521,1.364,3.766,3.5381,3.894,3.5888,10.1216,2.019,2.0428,2.0114,2.0294,2.019,6.3405,12.6494,4.2683,4.1258,4.2553,9.7625,1.995,1.815,1.9757,1.9861,1.9906,1.1105,1.3556,1.1687,0.1644,0.0485,0.0177,0.0391,1.4484,1.6855,1.4881,0.376,0.0416,0.0923,0.0573,2.7914,2.7589,0.9857,0.9444,0.8288,3.5552,4.7102,1.5247,1.657,1.5285,-425.5,1.22,123.56,26.8
THIRDN10,59.07,-5.08,177.05,2.65,6.6,9.44,29.2,23.9,15.9,658.98,-3.8371,-2.4808,1.94,2.47,-0.01,0.26,2.53,3.14,3.02,2.5,87.83,77.31,88.27,100.72,0.2173,-0.1879,-0.0315,-0.0041,-0.1615,-0.6531,0.2079,-0.5899,2.044,2.6928,3.6775,1.3383,3.1388,1.9419,3.9887,2.0988,28.8436,7.2863,5.8677,25.2687,7.2151,8.5764,5.7218,8.3997,0.6101,0,0.6324,0.406,0.5962,0.1412,1.9854,1.1631,2.934,1.0002,1.1022,0.9041,3.2125,3.8956,1.2875,1.2615,1.3466,3.7744,3.5591,3.9184,3.6149,10.1373,2.0189,2.0537,2.0117,2.0317,2.0213,6.393,12.5314,4.2043,4.0744,4.2528,9.8582,1.9781,1.9672,1.9746,1.9749,1.9634,1.3363,1.1941,1.3966,0.0878,0.0114,0.0251,0.0112,1.5531,1.6395,1.5388,0.3878,0.07,0.1074,0.0465,2.7918,2.7607,1.0125,0.9703,0.7779,3.5566,4.7274,1.5815,1.6884,1.4575,-414.97,1.23,125.68,42.3
KENDUC,58.14,-13.13,145.18,2.45,4.4,8.45,22.5,14.3,8.3,545.17,-3.7738,-2.4928,2.01,2.47,1.13,-0.57,2.54,2.99,3.01,2.47,87.8,73.16,90.83,95.37,0.3047,-0.1772,-0.0359,0.0071,-0.66,-0.5168,0.2058,-0.5885,1.798,2.6607,3.6568,1.3148,1.9561,1.9567,4.0229,2.0823,28.7948,7.2829,5.9046,25.2732,8.6583,8.5129,5.7574,8.3941,0.5768,0,0.6338,0.409,0.5172,0.1416,1.9843,1.1543,2.9303,1.0006,1.07,0.9409,3.2083,3.8881,1.274,1.2433,1.3707,3.7689,3.5197,3.91,3.6466,10.1476,2.027,2.055,2.0133,2.0332,2.0191,6.3472,12.4587,4.1913,4.0678,4.1996,9.8894,1.9816,1.9905,1.9614,1.9833,1.9726,1.5955,1.467,1.6782,0.3986,0.0617,0.1064,0.056,1.4998,1.6663,1.5225,0.2912,0.0383,0.0732,0.0393,2.7925,2.7622,0.9952,0.9655,0.8015,3.5571,4.7243,1.5655,1.6691,1.4898,-447.07,1.23,125.17,42.2
XOHFEG,73.41,-8.96,242.11,1.99,11.16,6.81,37.3,29.1,21.2,789.25,-4.5077,-2.6011,2.18,2.52,-0.29,1.5,2.55,2.98,2.91,2.47,87.74,72.86,90.11,95.37,0.2662,-0.1812,-0.0295,0.1159,-0.5949,0.1894,0.206,-0.5933,2.2535,2.707,3.7389,1.3898,1.9122,3.1215,3.9613,2.0707,28.8279,7.2682,5.9467,25.2131,8.4755,6.2433,5.735,8.3923,0.5905,0,0.6499,0.4449,0.2599,0.1421,1.9589,1.1541,2.9291,1.0178,0.9067,1.0821,3.2075,3.8933,1.2037,1.2767,1.4129,3.7584,3.5949,3.7326,3.6555,10.1426,2.0263,2.0398,2.0208,2.0314,2.0243,6.3364,12.5387,4.1439,4.2154,4.1793,9.8588,1.9897,1.9916,1.9608,1.972,1.9447,1.5629,1.6903,1.4579,0.3548,0.0389,0.0771,0.0638,1.1695,1.1691,1.2369,0.231,0.0025,0.074,0.0149,2.791,2.7631,0.9974,0.8491,0.9166,3.556,4.7177,1.5017,1.5365,1.6795,-449.67,1.22,124.33,27.9
AZOROX,76.81,4.39,168.51,1.75,8.15,6.62,31,19.6,10.6,575.58,-4.3635,-2.8193,1.91,2.47,0.08,-0.3,2.62,3.23,1.88,2.35,62.63,81.01,88.65,73.98,0.4203,-0.1817,-0.0572,0.1434,-0.6441,-0.2441,0.2255,-0.6637,2.1265,2.746,3.6044,1.4026,2.1134,2.9878,4.0357,2.0394,28.7682,7.1722,5.813,25.1443,8.4934,7.5284,5.7113,8.4731,0.5095,0,0.8029,0,0.5146,0.1448,1.3705,1.5856,2.9259,0.9366,0.9933,1.102,3.1931,3.9087,1.3572,1.3556,1.1959,3.7524,3.569,3.7226,3.6594,10.1531,2.0235,2.0345,2.0412,2.0329,2.021,6.3118,12.4615,4.066,4.207,4.1884,9.8064,1.9776,1.9798,1.9055,1.9532,1.9903,1.5163,1.7336,1.4819,0.4055,0.0794,0.069,0.1072,1.2122,1.2807,1.4645,0.0897,0.0186,0.0072,0.0297,2.7725,2.7661,0.8207,0.9839,0.9614,3.4954,4.7651,1.6236,1.7079,1.4336,-364.36,1.27,128.8,29.6
JOXKOY,80.83,1.58,172.05,2.77,4.65,9.78,28.4,18.8,11,588.45,-2.9699,-2.3612,1.92,2.42,-0.03,-0.05,2.51,3.29,3.07,2.5,86.45,82.38,88.16,102.8,0.2936,-0.1884,-0.0399,-0.0028,-0.8522,-0.7735,0.204,-0.6036,2.0176,2.6075,3.7605,1.3807,1.8566,1.7789,4.0231,2.0817,28.8354,7.2519,5.8832,25.2754,8.5306,8.5362,5.759,8.4327,0.6466,0,0.6605,0.3157,0.6493,0.1457,1.961,1.2123,2.9371,0.9867,1.1104,0.9158,3.2215,3.8886,1.3466,1.2476,1.2944,3.7672,3.6323,3.8395,3.618,10.1458,2.0242,2.0457,2.0287,2.0305,2.0166,6.3555,12.5,4.1977,4.0928,4.2095,9.851,1.9702,1.9995,1.9787,1.9596,1.943,1.7389,1.6806,1.4708,0.4135,0.0438,0.0961,0.066,1.425,1.7964,1.5932,0.4228,0.0471,0.0898,0.1012,2.7895,2.7661,1.003,0.9453,0.8178,3.5588,4.7516,1.6825,1.5772,1.4919,-375.14,1.23,126.68,44.9
KEGKUC,75.79,2.2,189.94,4.24,7.88,7.99,41,37.1,24.5,693.35,-3.0229,-2.1394,1.94,2.4,-0.03,-0.06,2.55,3.27,3.19,2.4,81.35,82.68,89.81,101.98,0.2703,-0.1875,-0.0536,0.0599,-0.8597,-0.216,0.1974,-0.6218,1.858,2.5542,3.7308,1.3841,1.6776,2.9437,4.0469,2.0907,28.7935,7.238,5.8252,25.2467,8.5555,7.2911,5.8389,8.4219,0.5672,0,0.7,0.259,0.5965,0.1466,1.9792,1.226,2.9298,1.0587,1.0698,0.8999,3.2188,3.8895,1.3844,1.2015,1.3037,3.7534,3.7046,3.7387,3.5844,10.1591,2.031,2.0429,2.038,2.0187,2.0284,6.3593,12.482,4.1217,4.1882,4.1721,9.8884,1.9735,1.9938,1.9801,1.9647,1.9763,1.7493,1.7029,1.3961,0.4799,0.0531,0.1297,0.0744,1.309,1.2027,1.478,0.0824,0.015,0.0207,0.0221,2.7897,2.7721,0.9672,0.9931,0.8118,3.5586,4.7544,1.7629,1.5001,1.4914,-394.72,1.23,125.91,44.3
XIHXOC,73.93,4.62,170.14,2.26,12.68,6.4,33.6,24.5,15.8,809.64,-4.2809,-3.2606,1.89,2.37,0.05,-0.21,2.62,3.24,1.89,2.33,61.8,81.66,88.91,73.54,0.4503,-0.1824,-0.0609,0.1872,-0.7075,-0.3208,0.2256,-0.6612,2.2295,2.7457,3.6036,1.4446,2.0704,2.9675,4.0241,2.0304,28.7603,7.1766,5.7903,25.1206,8.5362,7.5886,5.7102,8.46,0.5153,0,0.8084,0,0.56,0.147,1.3724,1.5819,2.9254,0.9418,1.0021,1.0914,3.1923,3.91,1.346,1.3498,1.2142,3.746,3.4278,3.7085,3.7746,10.156,2.03,2.021,2.0355,2.0498,2.0197,6.3006,12.4635,4.0653,4.2042,4.194,9.7856,1.9648,1.9677,1.9014,1.9675,1.9841,1.5388,1.7531,1.4353,0.4804,0.089,0.0923,0.1,1.2469,1.324,1.4895,0.0602,0.0084,0.0053,0.0187,2.7717,2.7663,0.8335,0.981,0.9519,3.4976,4.7635,1.5978,1.7063,1.4594,-363.99,1.27,128.68,31.7
LUBRIM,73.53,4.22,171.97,1.84,5.99,7.15,30.3,22.6,12.2,550.38,-4.7447,-3.9212,1.94,2.43,0.13,-0.37,2.53,3.13,2.73,2.58,91.77,75.44,86.72,100.98,0.2619,-0.1837,-0.0113,0.038,0.1543,-0.0403,0.2114,-0.5945,2.2997,2.8211,3.7298,1.384,3.1967,2.6875,3.8586,2.0378,28.8048,7.2743,5.9427,25.1983,7.0733,7.1437,5.7186,8.3894,0.5864,0,0.6,0.5447,0.6488,0.1481,1.9128,1.1486,2.9344,1.066,1.0799,0.8425,3.2031,3.9005,1.2049,1.373,1.3226,3.7873,3.6816,3.7551,3.6185,10.1196,2.0234,2.0341,2.0264,2.021,2.0147,6.3833,12.5484,4.1743,4.1626,4.2115,9.8064,1.9849,1.952,1.9408,1.963,1.9657,1.3058,0.9901,1.2579,0.1373,0.0349,0.0329,0.016,1.2594,1.1515,1.3032,0.107,0.0175,0.0287,0.0164,2.7912,2.7586,0.9389,0.9928,0.8269,3.555,4.704,1.4894,1.7651,1.4495,-413.4,1.23,122.69,28.8
UJODON,74.98,3.24,168.21,1.98,10.1,6.83,32.7,24,14.5,689.7,-4.2012,-3.1964,1.93,2.36,0.02,-0.18,2.52,3.28,1.96,2.34,62.52,84.79,89.05,74.16,0.3646,-0.186,-0.0604,0.172,-0.6519,-0.349,0.2255,-0.6419,2.2302,2.7625,3.6583,1.505,2.081,2.9415,3.9695,2.0058,28.8032,7.171,5.8115,25.1038,8.5286,7.621,5.6789,8.4755,0.6356,0,0.772,0,0.533,0.1501,1.3604,1.5702,2.9257,1.0083,0.8867,1.1402,3.1958,3.9103,1.416,1.3086,1.1857,3.733,3.5089,3.7124,3.7077,10.166,2.0454,2.0337,2.0215,2.0413,2.0241,6.2972,12.521,4.1959,4.1092,4.2159,9.8172,1.98,1.9653,1.9424,1.9478,1.9817,1.5086,1.7597,1.4299,0.4568,0.0665,0.1068,0.0661,1.2978,1.3017,1.4885,0.0604,0.0221,0.0086,0.0077,2.7728,2.7657,0.9463,0.8683,0.9511,3.5078,4.7481,1.6163,1.6488,1.483,-365.98,1.27,128.02,30.8
ISODAW,77.71,2.26,225.44,1.7,9.31,7.18,51.6,36.5,23.2,696.79,-3.3497,-1.7644,1.98,2.4,-0.01,-0.1,2.64,3.18,3.13,2.37,79.12,78.66,89.29,100.58,0.4503,-0.1792,-0.0614,0.086,-0.6991,-0.8097,0.2082,-0.6216,2.9507,2.5654,3.7629,1.1975,1.8887,1.6405,3.9793,2.114,29.201,7.2617,5.8638,25.3016,8.4576,8.5105,5.7334,8.4099,0.4794,0,0.7663,0.3438,0.6159,0.1502,2.0152,1.1907,2.9283,1.0693,1.0059,0.96,3.2056,3.8941,1.1832,1.3643,1.3466,3.7476,3.6417,3.7466,3.6061,10.172,2.0311,2.0534,2.0303,2.024,2.0332,6.2276,12.5331,4.1728,4.1736,4.1867,9.789,1.9585,2.0064,1.968,1.9605,1.8957,1.6374,1.6876,1.4285,0.4219,0.0709,0.096,0.0631,1.7828,1.5136,1.4953,0.4808,0.0802,0.1031,0.0604,2.7872,2.763,0.9944,0.9885,0.7801,3.5567,4.7492,1.4974,1.7752,1.4767,-392.25,1.23,126.56,60.4
NUZCOA,77.89,9.98,186.44,3.73,9.9,9.61,40.2,30.1,22.8,894,-4.3177,-3.0002,2.26,2.37,-0.22,-0.34,2.59,3.07,2.87,2.49,87.09,74.5,89.1,100.2,0.3354,-0.1664,-0.0295,0.0278,-0.4993,-0.4862,0.2076,-0.5839,2.4333,2.7129,3.6618,1.3051,1.9004,1.9839,3.9418,2.059,28.8908,7.267,5.9201,25.2488,8.463,8.4061,5.7236,8.4025,0.5269,0,0.6689,0.4886,0.2109,0.1507,1.9355,1.1468,2.9296,0.9988,0.9942,1.014,3.2026,3.8831,1.2095,1.3242,1.3493,3.7778,3.6971,3.6616,3.7039,10.1318,2.0357,2.0246,2.0276,2.0214,2.0225,6.3221,12.5356,4.1462,4.1827,4.2067,9.8069,1.9679,1.9731,1.9295,1.983,1.9534,1.5196,1.6388,1.4475,0.3782,0.0507,0.0722,0.0614,1.4992,1.5982,1.5011,0.3696,0.0479,0.1124,0.0463,2.7917,2.7605,0.9775,0.9637,0.8194,3.5563,4.7188,1.508,1.6707,1.5401,-440.57,1.22,124.43,26.8
CACTIL,75.6,2.8,180.03,1.95,11.88,7.84,33.6,25.8,16.7,820.69,-3.9485,-2.2305,2,2.33,0.03,-0.2,2.56,3.28,1.95,2.33,62.67,83.93,89.74,75,0.3507,-0.1859,-0.0639,0.1538,-0.5706,-0.3453,0.2228,-0.6607,1.9541,2.7342,3.6508,1.4606,2.0539,2.926,3.9901,2.0059,28.7574,7.1685,5.8072,25.1381,8.5498,7.6605,5.699,8.4812,0.5767,0,0.7976,0,0.3903,0.1507,1.3897,1.5513,2.9252,0.9,1.0528,1.0855,3.1933,3.9127,1.286,1.418,1.2086,3.7371,3.7355,3.5021,3.703,10.1684,2.0456,2.0256,2.0499,2.0214,2.0259,6.296,12.4848,4.1138,4.1897,4.1813,9.8685,1.9854,1.9806,1.9689,1.9565,1.9772,1.5317,1.7083,1.4257,0.4163,0.0566,0.0911,0.0709,1.2608,1.3561,1.4724,0.0603,0.0064,0.0072,0.0203,2.7736,2.7659,0.9207,0.876,0.9692,3.506,4.7628,1.6772,1.6408,1.4447,-375.57,1.26,128.4,26.8
QEBDAF,77.52,13.42,189.41,2.56,8.12,7.71,34.9,28,17.3,687.48,-4.2786,-3.2152,1.97,2.46,0.04,-0.41,2.57,3.29,1.9,2.35,63.31,83.89,88.54,75.96,0.3593,-0.1824,-0.0538,0.1472,-0.5713,0.2388,0.2275,-0.6821,2.0287,2.7807,3.5635,1.4509,1.857,2.6988,3.9679,1.995,28.7579,7.1703,5.7743,25.1478,8.4013,6.9676,5.6846,8.5347,0.5635,0,0.7818,0,0.4092,0.1509,1.2585,1.6159,2.9261,0.8792,1.068,1.0816,3.1953,3.9073,1.3042,1.3912,1.2119,3.7449,3.8079,3.551,3.5874,10.1616,2.0358,2.0288,2.0569,2.0172,2.0229,6.3091,12.4873,4.1163,4.1852,4.1858,9.8443,1.987,1.9704,1.9393,1.9656,1.9821,1.3955,1.6905,1.4994,0.4397,0.0762,0.0768,0.1099,1.1169,1.0363,1.2719,0.1551,0.0295,0.0344,0.0234,2.774,2.7633,0.9327,0.8728,0.9577,3.4986,4.7724,1.6947,1.6453,1.4324,-366.17,1.27,128.35,34.9
