Ligand,Bite Angle (°),Cone Angle (°),% Buried Volume (5.0A),HOMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(px),Orbital Charge Cu(d),Orbital Charge Cu(dyz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L2(px),Ea
GEYYAK,101.23,219.02,33.9,-1.7246,2.06,1.96,0.2676,-0.2414,-0.9285,1.839,2.8956,28.8478,7.2388,0.5796,0.3839,0.5845,3.1692,6.4073,12.5004,4.1725,9.8248,1.9246,1.4075,1.1891,0.078,0.0138,1.5517,22.1
WUKPIB,86.03,188.58,21.8,-2.9206,1.97,1.93,0.4104,-0.2488,-0.8172,2.0195,2.8949,28.7681,7.2851,0.622,0.4682,0.5846,3.1672,6.3751,12.463,4.1173,9.7515,1.9644,1.6221,1.6108,0.3955,0.0676,1.6168,16.6
XUGBIN,84.61,182.19,19.2,-2.4104,2.11,1.94,0.3259,-0.2502,-0.8477,1.7436,2.9072,28.8398,7.2892,0.6364,0.3391,0.5847,3.1643,6.4339,12.4455,4.1717,9.7948,1.9053,1.6518,1.5245,0.3354,0.0683,1.4596,25.4
ASATOF,81.88,240.82,25.2,-4.0478,2.11,2.03,0.416,-0.219,-0.0272,2.3927,3.0022,28.8955,7.1958,0.5797,0.3764,0.5849,3.169,6.2861,12.5014,4.196,9.7965,1.9884,1.5338,1.6116,0.3402,0.0541,1.4278,12.8
WUQWEM,94.67,215.36,26.2,-3.2893,2,1.95,0.1726,-0.2639,-0.4332,1.9291,2.9308,28.8109,7.2759,0.6107,0.4532,0.5855,3.1739,6.4271,12.569,4.1924,9.8312,1.9529,1.4547,1.2152,0.0915,0.017,1.2026,19.9
JACCOF,86.01,190.58,26.8,-4.3276,1.87,1.98,0.5727,-0.1802,-0.543,2.794,3.0471,28.8698,7.1435,0.5549,0.641,0.5856,3.1585,6.2177,12.5099,4.1888,9.6997,1.9878,1.6589,1.522,0.4135,0.0743,1.4997,0.1
HIDWUN,85.09,213.1,28,-4.0365,2.11,1.97,0.3909,-0.2545,-0.0667,1.9584,2.9709,28.7872,7.2866,0.7097,0.3617,0.5861,3.1666,6.3908,12.4356,4.1928,9.7827,1.9794,1.5302,1.6541,0.3433,0.0547,1.3964,26.6
PAJWUV,79.19,174.53,21.9,-4.0937,2.3,1.92,0.3458,-0.266,-0.0361,1.7539,2.9576,28.7729,7.3177,0.7147,0.1923,0.5866,3.1643,6.4435,12.4109,4.1585,9.7997,1.9854,1.499,1.6674,0.3389,0.0491,1.3368,26.2
ZERCAC,81.47,191.84,24.8,-4.2207,2.26,1.95,0.3542,-0.2651,-0.098,1.8066,2.9642,28.7893,7.3275,0.7345,0.2427,0.5868,3.166,6.4243,12.4165,4.1144,9.805,1.9433,1.6504,1.5434,0.3691,0.0823,1.2236,19.7
XEGVUA,80.64,177.01,19.9,-3.1702,2.18,1.92,0.3692,-0.2521,-0.8201,1.698,2.9374,28.8302,7.277,0.67,0.2672,0.5868,3.1623,6.4373,12.409,4.1331,9.7845,1.9373,1.6771,1.4918,0.3568,0.0658,1.4638,17.1
OGUNAI,89.27,194.23,34.6,-2.0974,1.93,1.93,0.3704,-0.233,-0.8311,2.1576,2.9481,28.952,7.2514,0.6312,0.6615,0.5874,3.1605,6.3613,12.5144,4.1692,9.7539,1.9469,1.4647,1.6711,0.4304,0.0743,1.6426,30.6
LETNII,84.7,186.37,23.3,-3.7447,2.01,1.92,0.5019,-0.2408,-0.6542,2.086,2.974,28.7819,7.2778,0.7074,0.4349,0.5876,3.1654,6.3486,12.4185,4.0977,9.7311,1.9361,1.5601,1.5773,0.448,0.0693,1.5484,23.4
FUWDEH,91.68,211.37,28.1,-3.4314,2.03,1.92,0.2224,-0.2636,-0.4012,2.0166,2.9697,28.8419,7.2557,0.6369,0.3969,0.5877,3.1701,6.4507,12.5304,4.1414,9.7965,1.9316,1.4263,1.1937,0.093,0.018,1.1971,21.5
YIPREW,81.7,178.18,28.7,-3.2036,2.25,1.92,0.3713,-0.2538,-0.8529,1.6652,2.9268,28.8155,7.2831,0.6638,0.2133,0.5878,3.1622,6.4334,12.404,4.1867,9.7914,1.973,1.5454,1.5772,0.3647,0.0649,1.697,20
