Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
DUBHOZ,86.7,34.5,-3.6677,-2.7625,2.05,0.4662,-0.2448,-0.7471,1.8335,2.993,28.718,7.2939,0.6974,3.1656,6.3406,9.7905,1.9585,72.5
OXTETK,87.66,32.1,-2.7654,-1.1504,2.03,0.3916,-0.2494,-0.6724,1.8548,2.9156,28.8242,7.2844,0.637,3.1666,6.3897,9.784,1.97,44.2
WEVSEV,62.6,24.8,-3.1374,-0.053,2.13,0.3826,-0.2578,-0.5779,1.6521,2.9195,28.8401,7.3228,0.6788,3.1599,6.4414,9.8157,1.9286,38.8
BICMUY,91.82,29.8,-2.9385,-1.4313,1.99,0.4017,-0.2475,-0.6849,1.7473,2.9021,28.7059,7.2884,0.6206,3.1682,6.3594,9.8044,1.9188,41.5
OJOXAN,62.99,41.7,-3.6907,-3.1358,2.15,0.4707,-0.2517,-0.563,1.9158,2.9518,28.8633,7.2887,0.6957,3.1583,6.3716,9.7839,1.8917,39.5
QIGVEK,86.03,33.9,-4.0539,-2.7605,2.1,0.2617,-0.2694,-0.1183,1.8394,2.9515,28.7739,7.3259,0.6893,3.167,6.4213,9.8345,1.9447,34.1
CEKNIP,81.13,31.7,-4.1836,-3.2053,2.11,0.3894,-0.2409,-0.5766,1.8482,3.035,28.7478,7.2863,0.7093,3.1604,6.3931,9.7885,1.9313,39.5
HIMZEK,79.33,39.2,-4.0901,-2.5432,2.07,0.2464,-0.2663,-0.0987,1.8587,2.9691,28.8097,7.2978,0.6953,3.1695,6.4268,9.8408,1.9387,42.8
GOCJUG,88.15,30.1,-3.2318,-1.6389,2.04,0.4208,-0.2495,-0.6826,1.7826,2.9144,28.7713,7.3038,0.6587,3.1661,6.3739,9.7942,1.9211,42.6
VEPDUS,81.43,36.6,-3.9996,-2.6503,2.17,0.4367,-0.2226,-0.6073,2.3135,2.9851,28.8016,7.2208,0.5393,3.1704,6.2777,9.7933,1.9512,21.4
TOJCEB,64.67,32.5,-3.3483,-1.3687,2.08,0.2198,-0.2686,-0.1792,1.722,2.9307,28.8218,7.3269,0.6588,3.1665,6.4685,9.8521,1.9296,38.1
COCJEK,90.23,31.8,-3.2013,-1.5261,2,0.4233,-0.2479,-0.7146,1.8075,2.9227,28.7302,7.2846,0.6321,3.1675,6.3605,9.7928,1.9284,43
WINPEO,62.47,24.1,-3.1537,-0.556,2.13,0.3812,-0.2582,-0.5867,1.6341,2.9222,28.8353,7.3293,0.6774,3.1605,6.4427,9.8168,1.908,40.1
SOLHUY,62.88,24,-3.1956,-1.3004,2.13,0.3804,-0.2588,-0.5953,1.657,2.9183,28.8378,7.3222,0.6772,3.1604,6.4419,9.8139,1.9123,38.8
VEGYAH,88.54,35.3,-3.3926,-1.0919,2.04,0.4232,-0.2469,-0.6119,1.6581,2.9486,28.7255,7.2896,0.6673,3.1634,6.3495,9.8327,1.9531,36.9
MEFRIZ,90.5,36,-3.1216,-1.1526,2.03,0.4298,-0.249,-0.5685,1.7397,2.9189,28.7056,7.3001,0.6358,3.1664,6.3438,9.824,1.9719,35.7
IZEQAH,79.19,28.2,-2.9799,-1.2616,2.11,0.2365,-0.2575,-0.4424,1.7505,2.8877,28.8473,7.288,0.6313,3.1672,6.4633,9.8138,1.9402,41.8
TIDSUX,62.77,24.9,-3.2594,-1.5865,2.13,0.3929,-0.2585,-0.551,1.6742,2.9263,28.851,7.3269,0.6905,3.1595,6.4353,9.8142,1.9193,42.4
NIFVEG,94.86,30.1,-2.8978,-1.7162,2,0.3925,-0.2475,-0.6883,1.7306,2.8951,28.7099,7.2888,0.6082,3.1686,6.3557,9.8103,1.9353,43.1
GODZOO,83.77,32.6,-3.1077,-0.8758,2.1,0.1889,-0.2646,-0.2015,1.8373,2.8946,28.8694,7.3173,0.6222,3.1665,6.4393,9.8589,1.9607,36.4
CANKIL,84.09,38.7,-3.3111,-2.3697,2.08,0.2496,-0.2621,-0.2135,1.8776,2.915,28.7924,7.2869,0.649,3.1669,6.431,9.8247,1.9688,33.9
BOXPEL,62.02,23.9,-3.2662,0.0454,2.14,0.3853,-0.2583,-0.5672,1.6272,2.925,28.8411,7.3321,0.6825,3.1599,6.4439,9.8189,1.9124,37.8
OCAPIT,79.55,37.5,-3.6461,-2.4776,2.12,0.3689,-0.2501,-0.6283,1.807,2.9565,28.7395,7.2989,0.6978,3.1615,6.3849,9.8203,1.9537,32.9
YAMYOB,90.46,38.6,-3.0136,-1.6359,2.02,0.4062,-0.2415,-0.8962,1.9287,2.9188,28.8002,7.2576,0.6278,3.168,6.3837,9.7666,1.9764,42.9
BAFJIE,103.21,41.3,-3.0075,-1.7842,2.05,0.3493,-0.2445,-0.8901,2.0245,2.8836,28.7522,7.2481,0.6145,3.1643,6.3857,9.7714,1.9786,40.1
CERDIM,72.23,48.5,-4.4228,-3.5575,2.09,0.5418,-0.1842,-0.0017,2.1461,3.0238,28.7455,7.1764,0.677,3.1632,6.2763,9.7618,1.8814,33
FORMOQ,91.33,32.3,-4.831,-4.3949,1.96,0.5601,-0.2072,-0.4055,1.9891,3.0673,28.6203,7.2004,0.7109,3.1632,6.2881,9.7568,1.9739,30.5
GEYRIL,80.39,38.6,-3.7944,-2.7911,2.1,0.3951,-0.2476,-0.5432,1.8111,2.9619,28.6978,7.2677,0.6704,3.1627,6.3667,9.819,1.9491,31.5
NAJDOV,103.45,40.6,-4.075,-3.5776,2.11,0.5808,-0.2031,-0.5824,2.6428,2.98,28.9075,7.1403,0.564,3.167,6.2295,9.7193,1.8647,31.6
IDESES,94.01,40.5,-3.4013,-1.5096,2.03,0.3718,-0.2488,-0.7564,1.9601,2.9069,28.765,7.2492,0.6283,3.1684,6.3757,9.788,1.9568,38.5
VOMXIE,81.15,32.3,-4.4602,-3.118,2.07,0.4477,-0.22,0.035,2.3961,2.9921,28.8522,7.2364,0.6292,3.1669,6.2952,9.7687,1.9782,26.7
FOZLEM,90.48,34,-3.0195,-1.3487,2.03,0.1763,-0.2652,-0.1741,1.8543,2.9148,28.8138,7.2982,0.633,3.1703,6.4432,9.8408,1.9233,41.4
CAPKAF,85.48,31.1,-3.8432,-2.6425,2.01,0.3528,-0.2594,-0.378,1.8067,2.919,28.7482,7.3061,0.6688,3.1705,6.4091,9.8005,1.9655,37.9
WANREK,96.21,36.2,-3.956,-3.0229,2.03,0.423,-0.2481,-0.093,1.9251,2.9936,28.6938,7.2561,0.6704,3.1653,6.3317,9.8027,1.9817,29.6
WUKZAE,92.11,31.4,-3.2112,-2.3657,1.99,0.4266,-0.2468,-0.7062,1.8311,2.9182,28.7107,7.276,0.6312,3.168,6.3558,9.7841,1.9205,44
JIYPEN,87.41,33.6,-4.0729,-2.7744,2.11,0.2626,-0.2694,-0.1195,1.8485,2.9443,28.7891,7.3254,0.6879,3.1668,6.4179,9.8395,1.9432,33.7
HUBKIB,62.57,31.9,-3.6006,-1.6658,2.11,0.3338,-0.262,-0.69,1.639,2.9623,28.8267,7.2815,0.6824,3.1633,6.443,9.8347,1.93,49.2
OXUJEY,87.52,34.6,-4.0263,-2.9251,2.06,0.4129,-0.2485,-0.599,1.9256,3.0199,28.7431,7.2719,0.701,3.165,6.3543,9.8025,1.9666,30.5
SIWPEV,62.57,30.5,-3.1545,-0.8917,2.15,0.3957,-0.2559,-0.5617,1.6753,2.9041,28.8591,7.3166,0.6808,3.1601,6.4354,9.8139,1.9412,47.8
DEWLIA,62.26,23.8,-3.1466,-0.4662,2.13,0.378,-0.2589,-0.5801,1.6335,2.9205,28.8425,7.3289,0.6776,3.1611,6.4459,9.8182,1.9096,38.9
XIGVER,62.21,25.7,-3.1815,-1.5744,2.15,0.3816,-0.2589,-0.6152,1.6377,2.9247,28.8495,7.3268,0.6772,3.1604,6.4442,9.8168,1.9113,41.3
WODQAJ,62.73,24.3,-3.1438,-1.2439,2.13,0.3835,-0.2583,-0.5928,1.6634,2.9231,28.8442,7.3288,0.6778,3.16,6.4404,9.8141,1.9218,37.5
DEGDAV01,92.9,35.8,-2.9572,-2.2595,1.99,0.4333,-0.2409,-0.7021,1.7765,2.9244,28.6691,7.2607,0.6153,3.167,6.3399,9.7946,1.9674,36.8
WOTKEX,94.67,43.3,-3.6117,-2.5971,2.05,0.3843,-0.2426,-0.0385,1.8698,2.9461,28.7481,7.2629,0.6708,3.1664,6.3568,9.8233,1.9527,36.6
REYHUB,92.78,35.4,-2.9653,-1.3665,2,0.4096,-0.2419,-0.7005,1.8198,2.9019,28.7475,7.2843,0.6296,3.167,6.3577,9.8025,1.9501,37.7
HITWAJ,64.99,39.1,-3.6778,-2.0864,2.03,0.2375,-0.2514,-0.2089,1.8077,3.0633,28.8633,7.2621,0.6805,3.1626,6.4414,9.8561,1.9486,44.5
NOXGEP,62.8,24,-3.1948,-2.1005,2.13,0.3884,-0.2583,-0.586,1.6621,2.9223,28.8303,7.3288,0.6785,3.1602,6.4369,9.8151,1.9141,38.8
ZUQTOW,87.44,33.6,-4.049,-2.749,2.11,0.2613,-0.2694,-0.1201,1.8537,2.946,28.7928,7.3277,0.6882,3.1664,6.4185,9.8395,1.9457,34.4
SIZTAX,82,32.4,-3.827,-1.934,2.04,0.1998,-0.2484,-0.4003,1.9039,2.9928,28.8648,7.2541,0.6396,3.1705,6.4696,9.8203,1.9643,43
QASYIT,65.43,27.8,-2.878,-0.9112,2.13,0.2812,-0.2616,-0.1514,1.7833,2.9174,28.8666,7.3294,0.666,3.1629,6.4603,9.8253,1.9346,50.2
ROLYIA,62.65,24,-3.2509,-1.9808,2.13,0.3903,-0.2579,-0.5816,1.6595,2.9224,28.829,7.3269,0.6823,3.1597,6.4369,9.8148,1.9205,37.1
XEGKUS,62.86,24,-3.1088,-1.1533,2.13,0.3803,-0.258,-0.5878,1.6525,2.9175,28.8319,7.3239,0.676,3.1602,6.4419,9.8138,1.9067,38.8
GETTUW,62.43,28.6,-3.1877,-0.7648,2.14,0.3898,-0.2585,-0.5818,1.6515,2.9236,28.8482,7.3198,0.6751,3.1605,6.4367,9.8175,1.9147,37.9
JEYNOR,83.77,33.8,-3.7452,-2.5304,2.09,0.2549,-0.2648,-0.1358,1.9968,2.9496,28.8101,7.2946,0.6727,3.1651,6.4295,9.814,1.9675,33
CONYIN10,82.73,32.2,-4.0703,-2.8851,2.07,0.4948,-0.2293,-0.575,2.0957,2.9896,28.8029,7.2509,0.6828,3.1642,6.3073,9.7767,1.9329,33.3
LODTIH01,62.96,36.1,-3.1547,0.149,2.14,0.398,-0.256,-0.5555,1.7728,2.9511,28.9138,7.3159,0.7021,3.1582,6.4161,9.8166,1.9373,37.7
EPUKIL,77.78,41.2,-3.7662,-1.6115,2.03,0.3843,-0.249,-0.2185,1.574,2.9911,28.6974,7.2937,0.6962,3.1627,6.3897,9.8434,1.9651,32.8
PUSZIN,83.01,28.5,-4.0334,-2.8669,2.07,0.425,-0.259,-0.5151,1.5788,2.9378,28.7339,7.3254,0.7153,3.1641,6.3849,9.826,1.9321,36.8
KUZFOC,81.79,39.4,-3.8763,-2.4335,2.14,0.4252,-0.2168,-0.5872,2.2201,2.9824,28.8334,7.1858,0.5811,3.1675,6.2831,9.8125,1.9323,26
WAWLOY,80.19,38.6,-3.1419,-1.4942,2.05,0.3671,-0.2311,-0.6137,1.8346,2.9881,28.7779,7.2295,0.659,3.1609,6.377,9.8155,1.9596,33.5
WIFHID,64.12,40.5,-3.1695,-3.1333,2.15,0.4771,-0.2116,-0.5737,2.3729,2.961,28.9688,7.169,0.497,3.1757,6.2724,9.8095,1.962,24.4
BUCQEV,63.41,24.2,-3.063,-2.0186,2.11,0.381,-0.2588,-0.5808,1.6938,2.9193,28.8388,7.3272,0.676,3.1612,6.4372,9.8117,1.913,38.7
DUKCOE,81.71,38,-3.7345,-2.7575,2.11,0.3713,-0.2473,-0.6116,1.8694,2.9701,28.7655,7.2839,0.6855,3.1612,6.3759,9.8166,1.9524,36.5
PIMBAP07,91.2,31.4,-3.025,-1.9037,2.05,0.3916,-0.248,-0.5719,1.7267,2.9307,28.7665,7.2951,0.654,3.1653,6.3736,9.8113,1.9486,36
PILNAA,81.97,37,-3.8498,-2.774,2.16,0.413,-0.2268,-0.6098,2.3082,2.9452,28.8136,7.195,0.507,3.1735,6.2734,9.81,1.962,23.5
RUKVAW,62.39,26.2,-3.1904,-1.3022,2.15,0.3849,-0.2586,-0.589,1.6502,2.9265,28.8603,7.325,0.6833,3.1598,6.4414,9.8161,1.9159,36.9
SUVCET,82.49,28.8,-4.3663,-3.9106,2.06,0.5286,-0.2348,-0.5249,2.0315,2.9962,28.6494,7.3069,0.7354,3.1682,6.3342,9.7197,1.9415,32.6
HOZYEC,81.04,35.1,-3.9302,-3.0459,2.06,0.2577,-0.2694,-0.1209,1.8381,2.9684,28.7516,7.3151,0.6915,3.1698,6.428,9.8218,1.9392,34.2
YIBGOF,79.88,31.4,-4.132,-3.0171,2.1,0.3835,-0.241,-0.561,1.8583,3.0381,28.7595,7.2898,0.7128,3.1608,6.3932,9.7906,1.9291,40
TIJWUE,62.79,24.2,-3.1918,-1.3678,2.14,0.388,-0.2586,-0.5427,1.6761,2.9259,28.8503,7.3291,0.6829,3.1599,6.4391,9.8128,1.9091,39.1
MOSCEF,83.92,34.8,-3.1895,-1.4757,2.04,0.2981,-0.2544,-0.7235,1.777,2.9441,28.8234,7.2863,0.6572,3.1655,6.4038,9.8315,1.9587,42.9
ZITNUL,63.03,28.2,-3.1767,-2.1606,2.14,0.3963,-0.2593,-0.5861,1.6712,2.9354,28.8393,7.3312,0.6898,3.1593,6.4304,9.8087,1.9121,38.8
CALXES20,84.77,37.1,-2.6992,-0.395,2.05,0.2719,-0.2509,-0.2257,1.7749,2.927,28.8104,7.2923,0.6267,3.1676,6.4187,9.8271,1.95,42.5
ROGVAN,80.21,45,-3.6918,-2.759,2.11,0.2507,-0.2585,-0.1839,1.979,2.9866,28.8423,7.2873,0.6772,3.1666,6.4434,9.8223,1.9699,40.5
PIHLUO,65.88,39.8,-2.8213,-2.0467,2.02,0.2012,-0.2628,-0.2275,1.8667,2.9265,28.8431,7.2986,0.6425,3.1636,6.4494,9.8378,1.9228,39.8
FAJYOI,63.18,28.2,-3.1219,-0.5327,2.12,0.3824,-0.2554,-0.6176,1.684,2.9513,28.8702,7.3309,0.7066,3.1567,6.4288,9.8158,1.9105,37.7
PIMBAP01,91.28,31.4,-3.0229,-1.901,2.05,0.3916,-0.2478,-0.5719,1.7283,2.9316,28.7671,7.2947,0.6541,3.1653,6.3728,9.8116,1.9531,35.8
VONFEM,79.47,37.3,-3.6545,-2.5189,2.12,0.3668,-0.2513,-0.6253,1.8022,2.9496,28.7461,7.3013,0.6966,3.1624,6.3846,9.824,1.9411,33.5
NUWVEH,62.96,26.2,-3.2008,-1.607,2.11,0.3946,-0.2578,-0.5641,1.6724,2.925,28.8458,7.3267,0.6827,3.1597,6.4311,9.8137,1.9213,38.4
ORUXEF,78.91,43.5,-3.7391,-3.0708,2.08,0.4436,-0.2241,0.0184,1.944,2.9449,28.7776,7.2371,0.6917,3.16,6.3467,9.797,1.9086,33.4
WUMYAG,84.13,35.5,-4.2565,-3.6403,2.1,0.4188,-0.2509,-0.0726,1.9728,2.9749,28.7385,7.3037,0.7202,3.1672,6.3788,9.7688,1.951,33.1
HUNGEC,100.94,47.4,-3.7005,-2.0581,2.03,0.4784,-0.2256,-0.6399,1.877,2.9245,28.7506,7.2715,0.6851,3.1658,6.317,9.8151,1.9703,34.2
PATBEU,83.18,31,-3.9016,-2.2176,2.02,0.475,-0.2537,-0.5469,1.7808,2.954,28.67,7.3122,0.6825,3.1671,6.351,9.7947,1.9469,38.6
MIHNOI,81.36,35,-3.9969,-2.9439,2.06,0.2629,-0.2689,-0.1174,1.851,2.9707,28.7501,7.3166,0.6943,3.1696,6.4255,9.8196,1.9388,34.1
VUYJOO,88.13,32.3,-3.4821,-1.9384,2.03,0.4217,-0.2473,-0.6862,1.8307,2.9635,28.8117,7.2643,0.669,3.1659,6.3788,9.7861,1.941,40.9
LAJWIE,79.95,36.9,-3.7828,-3.0694,2.14,0.3805,-0.2521,-0.5999,1.8689,2.9573,28.7817,7.3128,0.7049,3.1656,6.3719,9.8204,1.951,32.6
VOHCAY,85.23,32.4,-3.7539,-1.9951,2.07,0.2553,-0.2563,-0.0983,1.9201,2.9953,28.8145,7.2504,0.6691,3.1633,6.3807,9.8614,1.9343,25.8
JATTOO,92.18,30.8,-3.0496,-1.7826,1.99,0.4141,-0.2466,-0.6947,1.7836,2.908,28.7062,7.2794,0.6173,3.1676,6.3523,9.7981,1.9278,42.1
WUXKIJ,62.38,24,-3.1681,-1.097,2.14,0.3804,-0.259,-0.591,1.6406,2.9217,28.848,7.3287,0.6794,3.1606,6.4444,9.8178,1.9272,39.1
XEXMUI,62.52,24.8,-3.1261,-0.5103,2.13,0.3806,-0.2585,-0.5719,1.648,2.9172,28.8514,7.3233,0.6767,3.1608,6.4432,9.8173,1.9196,39.7
HOLXIS,61.1,24.2,-3.5929,-1.0691,2.12,0.4106,-0.2579,-0.653,1.6019,2.9398,28.8294,7.335,0.6995,3.1597,6.4292,9.8246,1.9189,42.4
BADRAC,81.38,42.2,-3.9483,-3.1416,2.06,0.3777,-0.2358,-0.1087,2.3756,2.9952,28.7418,7.2513,0.663,3.1623,6.3488,9.739,1.9274,31
XUHVEC,63.19,24.1,-3.11,-2.094,2.11,0.382,-0.2584,-0.5833,1.6857,2.9191,28.837,7.3264,0.6766,3.1604,6.4389,9.8119,1.9089,38.3
WOCHUR,88.19,35,-3.4504,-1.2777,2.05,0.4257,-0.2502,-0.5864,1.7403,2.9399,28.738,7.3004,0.6652,3.1647,6.3501,9.8338,1.9567,36.5
SAHBAG,80.7,35.2,-3.9517,-2.8218,2.05,0.2594,-0.2691,-0.1204,1.8463,2.9719,28.7503,7.3129,0.6937,3.1695,6.4276,9.8199,1.9373,33.9
VAWMUD,96.43,38.9,-2.6702,-1.7181,2.04,0.3909,-0.2405,-0.8441,1.8899,2.9692,28.8336,7.2717,0.6303,3.1675,6.3472,9.813,1.9423,35.4
XURKIG,89.23,33.6,-3.8751,-1.8229,2.06,0.4675,-0.2312,-0.4361,1.675,3.0042,28.7291,7.2502,0.6697,3.1642,6.3028,9.849,1.9623,31.1
MENBUD,79.82,37.6,-3.7099,-2.7157,2.11,0.3773,-0.249,-0.6317,1.8503,2.9592,28.7442,7.2974,0.6989,3.1614,6.3804,9.8148,1.9521,33.3
TIGYUE,80.33,35.3,-3.9324,-2.808,2.05,0.2594,-0.2692,-0.1209,1.8438,2.9734,28.7496,7.3113,0.6945,3.1698,6.4284,9.8192,1.9385,34
VUGRIA,62.57,24.3,-3.2234,-1.4354,2.12,0.3888,-0.2587,-0.5784,1.6587,2.921,28.8439,7.329,0.6809,3.1602,6.4386,9.8149,1.9202,37.7
BEWNAV,62.5,32.1,-3.1224,-0.9438,2.14,0.3978,-0.2575,-0.5791,1.6446,2.929,28.838,7.3321,0.6691,3.1603,6.4296,9.8174,1.9798,39.5
MEMTOO,81.53,39.4,-3.8776,-2.5493,2.14,0.4166,-0.2193,-0.5934,2.2132,2.9813,28.8683,7.1978,0.5987,3.1671,6.2916,9.8169,1.9326,23.8
PEWROA,99.3,46.5,-2.0644,-0.4576,2.03,0.3171,-0.2379,-0.8349,1.8992,2.8586,28.7747,7.2718,0.5767,3.1678,6.3658,9.8139,1.9491,48.5
NICCEH,78.56,35.5,-3.5835,-1.5587,2.09,0.3493,-0.2557,-0.0452,1.7182,2.9772,28.7631,7.3066,0.6823,3.1648,6.4013,9.8367,1.9441,33.8
PEFFOX,62.95,24.1,-3.1696,-2.4212,2.12,0.3868,-0.258,-0.5837,1.6684,2.919,28.8327,7.3251,0.6791,3.1602,6.4368,9.8147,1.9032,39.8
TINVOC,84.38,36.8,-3.4603,-2.0077,2.04,0.3465,-0.2508,-0.603,1.8723,2.9621,28.7488,7.2862,0.686,3.1606,6.3827,9.814,1.969,34.3
KUFNIL,86.08,30.9,-4.1037,-3.6867,2.11,0.3866,-0.2567,-0.5561,1.8882,2.9612,28.7504,7.3323,0.7125,3.1668,6.3752,9.7996,1.9358,34.4
ROKKEI,85.19,41.5,-2.8557,-1.4386,2.01,0.2833,-0.2583,-0.8711,1.8553,2.9397,28.7918,7.2782,0.6238,3.1673,6.4088,9.8051,1.9358,41.7
SIVKEQ,77.49,37.2,-3.6885,-2.9797,2.11,0.4089,-0.2446,-0.6333,1.7931,2.9504,28.7427,7.2831,0.6929,3.1636,6.3773,9.808,1.9303,34.3
HONXOX,62.16,51.5,-3.8438,-2.8334,2.08,0.5823,-0.216,-0.5517,2.0708,3.0408,28.7935,7.2924,0,3.1276,6.2159,9.7968,1.9558,45.7
XIPWEA,88.93,38.1,-4.2128,-3.5087,2.15,0.4729,-0.1949,-0.5402,2.6928,3.0356,28.9291,7.1805,0.571,3.1626,6.2446,9.7513,1.95,20.5
AHIMUA,81.59,35,-4.0124,-2.8555,2.06,0.2639,-0.267,-0.111,1.851,2.9867,28.7557,7.3069,0.6962,3.1691,6.4237,9.8219,1.9342,34.4
EDEGUQ,81.12,35.2,-3.9627,-3.1014,2.05,0.2599,-0.2689,-0.1198,1.8446,2.9693,28.7495,7.3147,0.6923,3.1694,6.4263,9.8208,1.9395,33.9
DERRAW,94.11,41.4,-3.2123,-1.5457,2.04,0.4618,-0.237,-0.737,2.0633,2.9323,28.8581,7.2656,0.6556,3.1638,6.3445,9.7589,1.9666,37.9
YINGUY,77.72,37.3,-3.7023,-2.9637,2.06,0.4044,-0.2447,-0.0293,1.7725,2.9567,28.7521,7.2877,0.6995,3.1623,6.3795,9.8132,1.9436,34
FASDOS,85.82,31.9,-3.9025,-3.0218,2.04,0.4816,-0.233,-0.4832,1.8486,3.0268,28.7373,7.2405,0.7035,3.1641,6.3076,9.8097,1.9185,33
BOJYUV,93.3,30.8,-3.0168,-1.5384,1.99,0.4095,-0.246,-0.6898,1.7822,2.9032,28.7168,7.2888,0.6204,3.1673,6.3537,9.8021,1.9053,41.3
VIFBUK,81.23,35.5,-4.221,-3.3556,2.04,0.4353,-0.2539,0.2053,1.9615,2.9851,28.7119,7.3121,0.7196,3.1658,6.3681,9.7711,1.9465,35
DAWVAB,92.39,30.8,-2.9838,-1.7848,2,0.407,-0.2464,-0.7007,1.8051,2.9043,28.7347,7.2808,0.6202,3.1679,6.3592,9.7973,1.923,42.9
BOCWUN,94.9,30.3,-2.9235,-0.4223,2.01,0.4027,-0.2455,-0.5689,1.6252,2.8958,28.6755,7.2974,0.6171,3.1674,6.3501,9.8258,1.9307,41.6
COSFAU,79.87,33.4,-3.8754,-2.1983,2.07,0.2242,-0.2687,-0.0982,1.818,2.9554,28.7888,7.3088,0.6759,3.1687,6.4369,9.8385,1.9377,35.5
NILLAX,92.04,30,-3.1462,-1.9981,2,0.4185,-0.2475,-0.6805,1.8186,2.9092,28.7141,7.2847,0.6292,3.1675,6.3569,9.7932,1.9341,42.5
UHELAV,87.46,33.6,-4.0686,-2.7638,2.11,0.263,-0.2691,-0.1203,1.8457,2.947,28.7891,7.3306,0.6873,3.1665,6.4174,9.8404,1.9339,34.2
FEMFAE,81.03,49.1,-3.7298,-1.618,2.05,0.3749,-0.2444,-0.2309,1.6126,3.0032,28.7089,7.274,0.6938,3.1616,6.3689,9.8476,1.966,35.5
YAPJEH,62.9,31,-3.1574,-1.9663,2.13,0.396,-0.2572,-0.6319,1.6943,2.9371,28.8474,7.3322,0.6848,3.1588,6.4265,9.8118,1.9085,41.7
OJECEN,85.65,46.8,-3.1862,0.2186,2.03,0.2892,-0.2186,-0.2051,1.8026,3.0639,28.8117,7.2446,0.6226,3.1624,6.3903,9.8311,1.9028,58.8
SLBZAC01,63.46,27.5,-3.0075,-0.8715,2.16,0.3849,-0.2612,-0.5577,1.7192,2.9264,28.9354,7.3263,0.688,3.1618,6.4407,9.806,1.902,48.1
NABKAF,85.62,33.5,-3.3277,-1.546,2.03,0.4378,-0.2478,-0.705,1.7463,2.9419,28.7682,7.2907,0.6626,3.1653,6.3625,9.8028,1.9239,41.6
PALQUQ,81.49,42.5,-3.6989,-1.9556,2.07,0.3865,-0.2363,-0.4812,1.7781,3.0385,28.7515,7.2319,0.6874,3.1604,6.361,9.8323,1.958,33.4
BOXFIF,84.99,29.4,-2.7347,-1.5632,2.03,0.3555,-0.2495,-0.8475,1.8252,2.8976,28.8281,7.2853,0.6238,3.1672,6.4086,9.7879,1.9501,42.2
RAHRAV,81.18,40.2,-4.1291,-2.9079,2.13,0.2866,-0.2451,-0.1354,1.8696,2.997,28.7489,7.2988,0.6762,3.1665,6.4086,9.8306,1.949,34.5
SASJAY,84.33,39.7,-3.0029,-1.539,2.03,0.3147,-0.2533,-0.8552,1.9646,2.9721,28.8542,7.2844,0.6552,3.1633,6.3977,9.8067,1.9523,39.3
FETNID01,79.59,42,-4.593,-4.0953,2.01,0.5774,-0.2113,0.2545,2.6367,3.0139,28.7438,7.2198,0.6795,3.157,6.2687,9.6554,1.8667,26.1
EROGAU,81.2,31.2,-3.9763,-3.134,2.06,0.3699,-0.2595,-0.5602,1.8377,2.9743,28.7196,7.3245,0.7065,3.1657,6.3895,9.7968,1.9365,34.2
BAMACR,62.76,24,-3.1478,-1.3499,2.12,0.3837,-0.2583,-0.5794,1.6484,2.9205,28.8245,7.3277,0.6764,3.1605,6.4397,9.8147,1.9265,38.1
CADFIA,77.93,49.7,-3.8588,-2.4804,2.09,0.2383,-0.2619,-0.3727,1.8575,2.9321,28.7066,7.2848,0.6576,3.1718,6.4154,9.854,1.9847,42.4
WUWHUS,85.32,36.1,-2.4627,-1.9649,2.02,0.3214,-0.2437,-0.9266,2.1084,2.885,28.8175,7.2752,0.6279,3.165,6.4155,9.7565,1.9704,45.8
TOKQUF,87.68,29.3,-4.6279,-3.7799,2.14,0.5552,-0.1816,-0.5062,2.6581,3.0499,28.818,7.1287,0.5619,3.1571,6.2209,9.7149,1.9362,20.9
VAKVEK,62.56,24.5,-3.1495,-0.7944,2.13,0.3816,-0.2583,-0.5896,1.6488,2.9201,28.8451,7.3243,0.6777,3.1605,6.4418,9.8174,1.9094,39.5
UREDAX,82.72,36.9,-3.3357,-1.5931,2.09,0.1949,-0.2699,-0.1905,1.8644,2.9125,28.8443,7.3159,0.6477,3.1698,6.4468,9.8412,1.9615,36.6
PERBEU,62.95,31.9,-3.0057,-1.8785,2.07,0.4001,-0.249,-0.5638,1.6477,2.9371,28.8627,7.3095,0.7024,3.1591,6.4235,9.8163,1.9139,35.4
OBUXIU,79.98,38.5,-3.59,-1.937,2.07,0.2053,-0.2502,-0.146,1.9444,3.0158,28.8926,7.2571,0.6623,3.1659,6.4634,9.8206,1.9523,48.5
KACQAG,62.69,24.9,-3.223,-1.5757,2.13,0.3923,-0.2592,-0.5239,1.6939,2.9221,28.8595,7.3262,0.6864,3.1606,6.4362,9.8155,1.9205,38.6
XORJEW,89.26,30.2,-3.6847,-3.0352,1.99,0.4643,-0.249,-0.5928,1.7937,2.9399,28.672,7.3023,0.6668,3.1669,6.3414,9.794,1.9423,36.1
DUKXAL,63.11,26.5,-3.2354,-2.9462,2.12,0.4038,-0.2585,-0.5773,1.7501,2.9383,28.8401,7.3295,0.6881,3.1612,6.4272,9.8003,1.929,45.8
