Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
HIVSUB,83.4,33.8,-3.2751,-1.6649,1.93,0.442,-0.2368,-0.3676,1.8359,2.8786,28.7206,7.2558,0.4719,3.1838,6.297,9.8636,1.9733,22.8
PEFNAQ,62.7,24,-3.2533,-1.5611,2.07,0.3916,-0.2575,-0.6323,1.6723,2.9217,28.8464,7.3257,0.6805,3.1599,6.4337,9.8162,1.9038,39.1
TUBRUD,62.95,26.4,-3.1742,-1.5957,2.09,0.3878,-0.2577,-0.6034,1.6934,2.9197,28.8594,7.3247,0.6808,3.1594,6.4347,9.8147,1.9256,38.2
VARQAJ,95.3,38.5,-2.9305,-1.7628,1.99,0.3247,-0.2461,-0.6591,1.846,2.9089,28.726,7.2708,0.6089,3.1685,6.3683,9.8197,1.9514,40.7
YEGXAJ,85.06,31.6,-2.9737,-2.2709,1.99,0.4028,-0.2492,-0.8732,1.8779,2.9139,28.7541,7.2863,0.6263,3.1655,6.3776,9.7743,1.9234,40.3
DUMKED01,92.31,33.3,-3.3132,-2.1833,1.97,0.4441,-0.2377,-0.6014,1.9461,2.9828,28.766,7.2558,0.6669,3.1658,6.3384,9.7797,1.9806,33.6
ILAZAX,86.5,39,-4.078,-2.9564,2.08,0.4707,-0.2094,-0.5281,2.2593,2.9814,28.7671,7.2313,0.5461,3.1757,6.289,9.7879,1.9463,29.9
QEPFOH,65.04,27.2,-2.7654,0.4663,2.09,0.2785,-0.2606,-0.1716,1.7413,2.9118,28.8696,7.3273,0.6501,3.1642,6.4585,9.8368,1.9266,42.2
KECKUB,80.31,37.1,-4.0381,-3.1361,2.09,0.3888,-0.2501,-0.596,1.8804,2.9696,28.7316,7.2944,0.6963,3.1673,6.3776,9.8055,1.9302,35.8
OHOYAO,82.29,36.2,-5.0821,-4.0815,2.01,0.3563,-0.1778,-0.0515,2.0828,3.1767,28.6942,7.2594,0.6307,3.1603,6.3704,9.785,1.9812,41.6
MAFZID,91.64,36.6,-2.7439,-0.7802,2,0.1572,-0.2552,-0.2158,1.8457,2.8834,28.8314,7.2825,0.595,3.1693,6.4299,9.8492,1.9379,45.1
BIVLOH,102.18,44.4,-3.6981,-1.8239,1.98,0.483,-0.2382,-0.6742,2.0406,2.8641,28.7903,7.2114,0.4007,3.1911,6.2291,9.8516,1.957,26.7
CERHAL,62.51,27.3,-3.0882,-0.3045,2.09,0.3818,-0.2575,-0.5984,1.6794,2.921,28.877,7.3234,0.6771,3.1598,6.4406,9.8142,1.9104,38.1
ZZZJHO01,62.84,26.3,-3.1778,-1.6243,2.08,0.3953,-0.2583,-0.5657,1.6835,2.9249,28.8459,7.33,0.6843,3.1602,6.4331,9.812,1.9115,35.7
XEPXAS,86.46,31.8,-2.8593,-2.518,2,0.3986,-0.2486,-0.8337,1.9317,2.9009,28.7856,7.291,0.632,3.1657,6.3781,9.7651,1.9145,41.3
PAVJUT,79.37,37.2,-3.8036,-2.7654,2,0.3713,-0.2549,-0.0422,1.8112,2.9527,28.7501,7.2928,0.6883,3.1637,6.3856,9.8226,1.9505,33.4
EGUVAE,62.72,24,-3.2091,-1.6626,2.07,0.3871,-0.2577,-0.5818,1.6595,2.9242,28.8302,7.3299,0.6801,3.1593,6.4377,9.8151,1.9111,37.8
BUXWIA,81.93,36,-3.5535,-2.3336,1.98,0.391,-0.2578,0.2223,1.9917,2.9437,28.7388,7.3131,0.6731,3.1671,6.3746,9.7812,1.9441,36.8
XAGDUH,93.78,34.5,-4.0705,-3.6292,1.99,0.5135,-0.2203,-0.4544,1.9744,3.0743,28.6893,7.2084,0.6885,3.1619,6.2884,9.7738,1.9812,30.2
BATNOB,83.32,36.1,-3.1251,-2.2702,2.01,0.2005,-0.2688,-0.2492,1.875,2.913,28.807,7.316,0.6401,3.1707,6.4376,9.8281,1.9421,36.5
QANGUJ,86.48,31.8,-4.714,-4.4038,2.06,0.4772,-0.222,-0.5568,2.1769,3.0407,28.7131,7.3104,0.7537,3.1702,6.3377,9.7324,1.9592,31
LOLLOP,62.91,33.9,-3.0626,-0.3572,2.08,0.3898,-0.2564,-0.6008,1.7612,2.9459,28.8884,7.3025,0.6857,3.1589,6.4198,9.8148,1.9181,36.2
SEHCOY,62.01,24.2,-3.2611,-1.0305,2.06,0.3848,-0.2592,-0.5513,1.6145,2.9307,28.8391,7.325,0.6829,3.1608,6.4443,9.818,1.9321,43.5
DIRPUP,99.04,49.4,-3.7464,-1.4825,2.01,0.4497,-0.2066,-0.6169,1.8232,3.0161,28.7507,7.2611,0.6521,3.1623,6.3131,9.8243,1.9651,41.8
JIPPOQ,82.57,42.2,-4.1251,-3.5804,2.06,0.3426,-0.254,-0.1129,2.0648,2.9897,28.7158,7.2967,0.7118,3.1689,6.4008,9.77,1.9507,30.5
YIBROQ,81.16,37.3,-4.4613,-3.753,2,0.4299,-0.2427,0.0042,2.0987,3.0064,28.725,7.2705,0.7266,3.1703,6.3634,9.7509,1.9076,32.2
PIZSOJ,93.19,36.4,-3.6994,-2.2287,1.96,0.4632,-0.2476,-0.5539,1.8851,2.9437,28.7194,7.2877,0.6612,3.1648,6.323,9.8055,1.9391,34.1
HIHLAL,62.64,24.2,-3.2157,-1.177,2.07,0.389,-0.2581,-0.5561,1.6432,2.9232,28.8349,7.3266,0.6843,3.1601,6.4365,9.8179,1.9196,39.1
FEHQEQ,83.81,28.1,-4.4964,-3.9807,2.04,0.4939,-0.242,-0.4838,1.9389,2.9889,28.6996,7.3129,0.7523,3.1686,6.3527,9.7466,1.9383,34.7
GUVBEG,78.81,36.1,-3.965,-2.7844,2.08,0.2557,-0.2635,-0.1223,1.8563,3.0355,28.765,7.2887,0.6852,3.1692,6.4357,9.8253,1.935,35.6
